mod_id,historical_version_id,historical_version,relative_path,representation,best_distance,second_distance,top1_margin,true_distance,optimistic_rank,true_tie_size,best_tie_size,top1_unique_correct,top1_true_in_tie,top3_true,top5_true,top10_true,best_mods
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/gui/widget/LegacyTexturedButtonWidget$Builder.class,OPCODE_3GRAM,26,31,5,46,17,1,1,False,False,False,False,False,MOD0029
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/gui/widget/LegacyTexturedButtonWidget$Builder.class,OPCODE_STRUCT,31,32,1,42,13,3,1,False,False,False,False,False,MOD0022
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/gui/widget/LegacyTexturedButtonWidget$Builder.class,OPCODE_CONTEXT,24,32,8,41,11,2,1,False,False,False,False,False,MOD0005
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/gui/widget/LegacyTexturedButtonWidget.class,OPCODE_3GRAM,30,35,5,49,12,2,1,False,False,False,False,False,MOD0022
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/gui/widget/LegacyTexturedButtonWidget.class,OPCODE_STRUCT,31,34,3,40,6,3,1,False,False,False,False,True,MOD0022
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/gui/widget/LegacyTexturedButtonWidget.class,OPCODE_CONTEXT,20,23,3,33,10,2,1,False,False,False,False,True,MOD0022
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/gui/widget/UpdateCheckerTexturedButtonWidget.class,OPCODE_3GRAM,40,43,3,44,4,3,2,False,False,False,True,True,MOD0005|MOD0010
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/gui/widget/UpdateCheckerTexturedButtonWidget.class,OPCODE_STRUCT,38,39,1,39,2,1,1,False,False,True,True,True,MOD0020
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/gui/widget/UpdateCheckerTexturedButtonWidget.class,OPCODE_CONTEXT,31,34,3,31,1,1,1,True,True,True,True,True,MOD0002
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/mixin/AccessorClickableWidget.class,OPCODE_3GRAM,0,61,61,0,1,24,24,False,True,True,True,True,MOD0002|MOD0004|MOD0005|MOD0006|MOD0008|MOD0009|MOD0010|MOD0011|MOD0012|MOD0013|MOD0014|MOD0015|MOD0016|MOD0017|MOD0019|MOD0020|MOD0022|MOD0023|MOD0024|MOD0025|MOD0026|MOD0027|MOD0028|MOD0029
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/mixin/AccessorClickableWidget.class,OPCODE_STRUCT,0,27,27,0,1,17,17,False,True,True,True,True,MOD0002|MOD0004|MOD0005|MOD0006|MOD0010|MOD0011|MOD0013|MOD0014|MOD0015|MOD0017|MOD0019|MOD0020|MOD0022|MOD0025|MOD0027|MOD0028|MOD0029
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/mixin/AccessorClickableWidget.class,OPCODE_CONTEXT,0,27,27,0,1,17,17,False,True,True,True,True,MOD0002|MOD0004|MOD0005|MOD0006|MOD0010|MOD0011|MOD0013|MOD0014|MOD0015|MOD0017|MOD0019|MOD0020|MOD0022|MOD0025|MOD0027|MOD0028|MOD0029
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/mixin/AccessorGridWidget.class,OPCODE_3GRAM,0,61,61,0,1,24,24,False,True,True,True,True,MOD0002|MOD0004|MOD0005|MOD0006|MOD0008|MOD0009|MOD0010|MOD0011|MOD0012|MOD0013|MOD0014|MOD0015|MOD0016|MOD0017|MOD0019|MOD0020|MOD0022|MOD0023|MOD0024|MOD0025|MOD0026|MOD0027|MOD0028|MOD0029
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/mixin/AccessorGridWidget.class,OPCODE_STRUCT,0,27,27,0,1,17,17,False,True,True,True,True,MOD0002|MOD0004|MOD0005|MOD0006|MOD0010|MOD0011|MOD0013|MOD0014|MOD0015|MOD0017|MOD0019|MOD0020|MOD0022|MOD0025|MOD0027|MOD0028|MOD0029
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/mixin/AccessorGridWidget.class,OPCODE_CONTEXT,0,27,27,0,1,17,17,False,True,True,True,True,MOD0002|MOD0004|MOD0005|MOD0006|MOD0010|MOD0011|MOD0013|MOD0014|MOD0015|MOD0017|MOD0019|MOD0020|MOD0022|MOD0025|MOD0027|MOD0028|MOD0029
MOD0002,j2vTurvl,17.0.1-beta.1,com/terraformersmc/modmenu/mixin/MixinGameMenu.class,OPCODE_3GRAM,40,41,1,48,13,3,1,False,False,False,False,False,MOD0005
