mod_id,historical_version,historical_version_id,modality,relative_path,best_distance,second_distance,margin,best_mods,verdict
MOD0001,0.157.0+26.2,vmQp7ixA,STRUCTURED,fabric.mod.json,15,20,5,MOD0001,CORRECT_UNIQUE
MOD0001,0.156.3+26.3,Pp6ugxbI,STRUCTURED,fabric.mod.json,8,19,11,MOD0001,CORRECT_UNIQUE
MOD0001,0.156.2+26.3,zdqH5grm,STRUCTURED,fabric.mod.json,9,20,11,MOD0001,CORRECT_UNIQUE
MOD0002,20.0.1,njXb639R,STRUCTURED,fabric.mod.json,9,16,7,MOD0002,CORRECT_UNIQUE
MOD0002,17.0.1-beta.1,j2vTurvl,IMAGE,assets/modmenu/textures/gui/configure_button.png,17,20,3,MOD0029,WRONG_UNIQUE
MOD0002,17.0.1-beta.1,j2vTurvl,IMAGE,assets/modmenu/textures/gui/filters_button.png,19,20,1,MOD0029,WRONG_UNIQUE
MOD0002,17.0.1-beta.1,j2vTurvl,IMAGE,assets/modmenu/textures/gui/mods_button.png,16,17,1,MOD0021,WRONG_UNIQUE
MOD0002,17.0.1-beta.1,j2vTurvl,IMAGE,assets/modmenu/textures/gui/mods_button_alt.png,12,18,6,MOD0002|MOD0005|MOD0010|MOD0021|MOD0022|MOD0029,AMBIGUOUS_TRUE_INCLUDED
MOD0002,17.0.1-beta.1,j2vTurvl,IMAGE,assets/modmenu/textures/gui/mods_button_alt3.png,19,22,3,MOD0021,WRONG_UNIQUE
MOD0002,17.0.1-beta.1,j2vTurvl,CODE_BINARY,com/terraformersmc/modmenu/gui/widget/LegacyTexturedButtonWidget$Builder.class,12,14,2,MOD0029,WRONG_UNIQUE
MOD0002,17.0.1-beta.1,j2vTurvl,CODE_BINARY,com/terraformersmc/modmenu/gui/widget/LegacyTexturedButtonWidget.class,14,15,1,MOD0028,WRONG_UNIQUE
MOD0002,17.0.1-beta.1,j2vTurvl,CODE_BINARY,com/terraformersmc/modmenu/gui/widget/UpdateCheckerTexturedButtonWidget.class,17,18,1,MOD0019|MOD0022,AMBIGUOUS_WRONG
MOD0002,17.0.1-beta.1,j2vTurvl,CODE_BINARY,com/terraformersmc/modmenu/mixin/AccessorClickableWidget.class,10,15,5,MOD0022,WRONG_UNIQUE
MOD0002,17.0.1-beta.1,j2vTurvl,CODE_BINARY,com/terraformersmc/modmenu/mixin/AccessorGridWidget.class,12,14,2,MOD0010|MOD0015,AMBIGUOUS_WRONG
MOD0002,17.0.1-beta.1,j2vTurvl,CODE_BINARY,com/terraformersmc/modmenu/mixin/MixinGameMenu.class,17,18,1,MOD0010,WRONG_UNIQUE
