repo,url,license,stars,default_branch,java,kotlin,lua,json,yaml,xml,png,jpg,mixin_json,code_total,structured_total,image_total,tree_truncated
FabricMC/fabric-loom,https://github.com/FabricMC/fabric-loom,MIT,356,dev/1.17,540,10,0,60,3,5,5,0,23,550,68,5,False
TechReborn/TechReborn,https://github.com/TechReborn/TechReborn,MIT,354,26.2,696,0,0,730,3,0,988,0,3,696,733,988,False
refinedmods/refinedstorage2,https://github.com/refinedmods/refinedstorage2,MIT,274,develop,1616,0,0,2355,14,6,850,0,2,1616,2375,850,False
astei/lazydfu,https://github.com/astei/lazydfu,MIT,242,master,1,0,0,2,1,0,1,0,1,1,3,1,False
JsMacros/JsMacros,https://github.com/JsMacros/JsMacros,MPL-2.0,221,main,592,0,0,28,5,1,21,0,3,592,34,21,False
Ladysnake/Cardinal-Components-API,https://github.com/Ladysnake/Cardinal-Components-API,MIT,214,26.1,228,0,0,31,1,0,9,0,9,228,32,9,False
TeamMidnightDust/MidnightControls,https://github.com/TeamMidnightDust/MidnightControls,MIT,213,multiversion,123,1,0,22,2,0,41,0,2,124,24,41,False
GabrielOlvH/Industrial-Revolution,https://github.com/GabrielOlvH/Industrial-Revolution,Apache-2.0,199,master,24,365,0,1447,0,0,503,0,1,389,1447,503,False
odtheking/Odin,https://github.com/odtheking/Odin,BSD-3-Clause,187,main,22,211,0,9,2,0,8,0,1,233,11,8,False
senseiwells/ServerReplay,https://github.com/senseiwells/ServerReplay,MIT,178,26.2,0,25,0,1,2,0,1,0,0,25,3,1,False
