modrinth_id,title,slug,github_repo,source_url,license,downloads,manifest_count,java,kotlin,json,yaml,xml,png,jpg,code_total,structured_total,image_total
P7dR8mSH,Fabric API,fabric-api,FabricMC/fabric,https://github.com/FabricMC/fabric,Apache-2.0,229825433,38,821,0,181,0,0,39,0,821,181,39
mOgUt4GM,Mod Menu,modmenu,TerraformersMC/ModMenu,https://github.com/TerraformersMC/ModMenu,MIT,131477759,1,52,0,72,0,0,28,0,52,72,28
Ha28R6CL,Fabric Language Kotlin,fabric-language-kotlin,FabricMC/fabric-language-kotlin,https://github.com/FabricMC/fabric-language-kotlin/,Apache-2.0,106954401,1,0,2,1,0,0,1,0,2,1,1
Bh37bMuy,Reese's Sodium Options,reeses-sodium-options,FlashyReese/reeses-sodium-options,https://github.com/FlashyReese/reeses-sodium-options,MIT,74193347,1,68,0,20,0,0,3,0,68,20,3
u6dRKJwZ,Just Enough Items (JEI),jei,mezz/JustEnoughItems,https://github.com/mezz/JustEnoughItems,MIT,69173756,2,934,7,41,0,0,45,0,941,41,45
8BmcQJ2H,Geckolib,geckolib,bernie-g/geckolib,https://github.com/bernie-g/geckolib,MIT,62837787,1,350,1,3,0,0,1,0,351,3,1
LQ3K71Q1,Dynamic FPS,dynamic-fps,juliand665/Dynamic-FPS,https://github.com/juliand665/Dynamic-FPS,MIT,60297554,2,59,0,38,0,0,30,0,59,38,30
aC3cM3Vq,Mouse Tweaks,mouse-tweaks,YaLTeR/MouseTweaks,https://github.com/YaLTeR/MouseTweaks,BSD-3-Clause,53020938,1,26,0,3,0,0,1,0,26,3,1
Wb5oqrBJ,Chat Heads,chat-heads,dzwdz/chat_heads,https://github.com/dzwdz/chat_heads,MPL-2.0,44903313,1,47,0,17,0,0,2,0,47,17,2
ccKDOlHs,oωo (owo-lib),owo-lib,glisco03/owo-lib,https://github.com/glisco03/owo-lib,MIT,43922163,2,652,0,24,0,3,40,0,652,27,40
Orvt0mRa,Indium,indium,comp500/Indium,https://github.com/comp500/Indium,Apache-2.0,42488563,1,39,0,2,0,0,1,0,39,2,1
g96Z4WVZ,BadOptimizations,badoptimizations,ItsThosea/BadOpitmizations,https://github.com/ItsThosea/BadOpitmizations,MIT,38127918,1,33,0,2,0,0,2,0,33,2,2
uLbm7CG6,Language Reload,language-reload,Jerozgen/LanguageReload,https://github.com/Jerozgen/LanguageReload,MIT,37176713,1,33,0,21,0,0,9,0,33,21,9
fuuu3xnx,Searchables,searchables,jaredlll08/searchables,https://github.com/jaredlll08/searchables,MIT,35280031,1,44,0,31,0,0,1,0,44,31,1
xv94TkTM,Controlling,controlling,jaredlll08/Controlling,https://github.com/jaredlll08/Controlling,MIT,35233147,1,54,0,28,0,0,1,0,54,28,1
Wnxd13zP,Clumps,clumps,jaredlll08/Clumps,https://github.com/jaredlll08/Clumps,MIT,34825322,1,25,0,2,0,0,1,0,25,2,1
2M01OLQq,Shulker Box Tooltip,shulkerboxtooltip,MisterPeModder/ShulkerBoxTooltip,https://github.com/MisterPeModder/ShulkerBoxTooltip,MIT,34005651,1,175,0,21,0,0,4,0,175,21,4
VSNURh3q,Concurrent Chunk Management Engine (Fabric),c2me-fabric,RelativityMC/C2ME-fabric,https://github.com/RelativityMC/C2ME-fabric,MIT,33447629,23,624,0,46,0,0,1,0,624,46,1
G1hIVOrD,Resourceful Lib,resourceful-lib,Team-Resourceful/ResourcefulLib,https://github.com/Team-Resourceful/ResourcefulLib,MIT,32224690,1,214,0,3,0,0,0,0,214,3,0
8shC1gFX,BetterF3,betterf3,TreyRuffy/BetterF3,https://github.com/TreyRuffy/BetterF3,MIT,31531759,1,61,0,112,0,0,2,0,61,112,2
rI0hvYcd,Visuality,visuality,PinkGoosik/visuality,https://github.com/PinkGoosik/visuality,MIT,27064822,1,27,0,27,0,0,46,0,27,27,46
fRiHVvU7,EMI,emi,emilyploszaj/emi,https://github.com/emilyploszaj/emi/,MIT,26086953,1,341,0,70,0,0,9,0,341,70,9
c7m1mi73,Packet Fixer,packet-fixer,TonimatasDEV/PacketFixer,https://github.com/TonimatasDEV/PacketFixer,MIT,26028362,1,32,0,4,0,0,1,0,32,4,1
codAaoxh,MidnightLib,midnightlib,TeamMidnightDust/MidnightLib,https://github.com/TeamMidnightDust/MidnightLib,MIT,25146984,8,13,1,21,0,0,18,0,14,21,18
WhbRG4iK,Falling Leaves,fallingleaves,Fourmisain/fallingleaves,https://github.com/Fourmisain/fallingleaves,MIT,25071214,1,44,0,17,0,0,10,0,44,17,10
ETlrkaYF,Cubes Without Borders,cubes-without-borders,Kira-NT/cubes-without-borders,https://github.com/Kira-NT/cubes-without-borders,MIT,24857827,1,20,0,14,0,0,1,0,20,14,1
gedNE4y2,playerAnimator,playeranimator,KosmX/fabricPlayerAnimation,https://github.com/KosmX/fabricPlayerAnimation,MIT,24848139,1,102,0,4,0,0,0,0,102,4,0
4H6sumDB,Euphoria Patches,euphoria-patches,EuphoriaPatches/EuphoriaPatcher,https://github.com/EuphoriaPatches/EuphoriaPatcher,MPL-2.0,24496677,1,158,20,6,0,0,4,0,178,6,4
nfn13YXA,Roughly Enough Items (REI),rei,shedaniel/RoughlyEnoughItems,https://github.com/shedaniel/RoughlyEnoughItems,MIT,24267061,1,641,0,37,0,0,52,0,641,37,52
3IuO68q1,Puzzle,puzzle,PuzzleMC/Puzzle,https://github.com/PuzzleMC/Puzzle,MIT,23389941,1,11,1,17,0,0,4,0,12,17,4
