mod_id,title,role,nodes,class_nodes,structured_nodes,image_nodes,edges,class_ref_edges,resource_literal_edges,entrypoint_edges,mixin_config_edges,mixin_class_edges,structured_ref_edges,structured_class_ref_edges,connected_components,largest_component,largest_component_rate
MOD0001,Fabric API,BACKGROUND_LIBRARY,2,0,1,1,1,0,0,0,0,0,1,0,1,2,1.0
MOD0002,Mod Menu,TARGET_MOD,171,71,72,28,291,276,6,2,1,2,2,2,93,79,0.4619883040935672
MOD0003,Fabric Language Kotlin,BACKGROUND_LIBRARY,5,3,1,1,3,1,0,0,0,0,1,1,2,3,0.6
MOD0004,Reese's Sodium Options,TARGET_MOD,122,99,20,3,365,355,0,2,1,3,2,2,21,102,0.8360655737704918
MOD0005,Just Enough Items (JEI),BACKGROUND_LIBRARY,1120,1023,52,45,3398,3376,0,6,1,7,2,6,247,874,0.7803571428571429
MOD0006,Geckolib,BACKGROUND_LIBRARY,284,281,2,1,1117,1103,0,2,1,7,2,2,1,284,1.0
MOD0007,Dynamic FPS,TARGET_MOD,8,5,2,1,9,1,0,2,1,1,2,2,2,7,0.875
MOD0008,Mouse Tweaks,TARGET_MOD,28,23,4,1,52,41,0,2,2,2,3,2,4,25,0.8928571428571429
MOD0009,Chat Heads,TARGET_MOD,65,47,17,1,111,83,0,2,1,20,2,3,17,49,0.7538461538461538
MOD0010,oωo (owo-lib),BACKGROUND_LIBRARY,1146,1080,26,40,4511,4396,0,5,1,102,2,5,80,1048,0.9144851657940664
MOD0011,Indium,TARGET_MOD,56,52,3,1,132,119,0,1,1,7,3,1,1,56,1.0
MOD0012,BadOptimizations,TARGET_MOD,38,35,2,1,71,49,0,1,1,16,2,2,2,37,0.9736842105263158
MOD0013,Language Reload,TARGET_MOD,67,37,21,9,83,56,0,2,1,20,2,2,28,40,0.5970149253731343
MOD0014,Searchables,BACKGROUND_LIBRARY,73,41,31,1,94,88,0,0,2,1,3,0,39,35,0.4794520547945205
MOD0015,Controlling,TARGET_MOD,74,45,28,1,89,78,0,0,2,6,3,0,26,49,0.6621621621621622
MOD0016,Clumps,TARGET_MOD,20,16,3,1,25,20,0,0,1,2,2,0,3,18,0.9
MOD0017,Shulker Box Tooltip,TARGET_MOD,241,219,20,2,699,675,0,3,2,12,4,3,49,193,0.8008298755186722
MOD0018,Concurrent Chunk Management Engine (Fabric),TARGET_MOD,4,2,1,1,5,0,0,2,0,0,1,2,1,4,1.0
MOD0019,Resourceful Lib,BACKGROUND_LIBRARY,218,216,2,0,382,367,0,3,1,7,1,3,25,161,0.7385321100917431
MOD0020,BetterF3,TARGET_MOD,320,208,111,1,659,641,0,2,2,9,3,2,121,200,0.625
MOD0021,Visuality,TARGET_MOD,109,36,27,46,98,85,0,2,1,6,2,2,74,36,0.3302752293577982
MOD0022,EMI,BACKGROUND_LIBRARY,532,454,69,9,2291,2241,0,5,2,31,5,7,77,456,0.8571428571428571
MOD0023,Packet Fixer,TARGET_MOD,33,28,4,1,57,29,0,1,2,20,3,2,3,31,0.9393939393939394
MOD0024,MidnightLib,BACKGROUND_LIBRARY,42,24,14,4,76,66,0,3,1,1,2,3,17,26,0.6190476190476191
MOD0025,Falling Leaves,TARGET_MOD,77,50,17,10,143,122,0,2,1,13,2,3,28,50,0.6493506493506493
MOD0026,Cubes Without Borders,TARGET_MOD,52,36,15,1,109,98,0,2,1,4,2,2,14,39,0.75
MOD0027,playerAnimator,BACKGROUND_LIBRARY,132,128,4,0,377,354,0,1,1,17,2,2,6,127,0.9621212121212122
MOD0028,Euphoria Patches,TARGET_MOD,1439,1429,6,4,5586,5562,2,0,0,20,1,1,36,1404,0.9756775538568451
MOD0029,Roughly Enough Items (REI),TARGET_MOD,1167,1071,46,50,4995,4969,0,7,1,8,2,8,99,1068,0.9151670951156813
MOD0030,Puzzle,BACKGROUND_LIBRARY,32,12,17,3,35,23,0,1,2,5,3,1,17,16,0.5
