mod_id,title,role,nodes,base_edges,added_edges,total_edges_v2,heterogeneous_edges_v2,json_exact_path,json_identifier_ref,model_parent,texture_ref,fabric_icon,class_identifier_ref,largest_component,largest_component_rate_v2
MOD0001,Fabric API,BACKGROUND_LIBRARY,2,1,2,3,3,1,0,0,0,1,0,2,1.0
MOD0002,Mod Menu,TARGET_MOD,171,291,3,294,18,2,0,0,0,1,0,79,0.4619883040935672
MOD0003,Fabric Language Kotlin,BACKGROUND_LIBRARY,5,3,2,5,4,1,0,0,0,1,0,3,0.6
MOD0004,Reese's Sodium Options,TARGET_MOD,122,365,3,368,13,2,0,0,0,1,0,102,0.8360655737704918
MOD0005,Just Enough Items (JEI),BACKGROUND_LIBRARY,1120,3398,3,3401,25,2,0,0,0,1,0,874,0.7803571428571429
MOD0006,Geckolib,BACKGROUND_LIBRARY,284,1117,3,1120,17,2,0,0,0,1,0,284,1.0
MOD0007,Dynamic FPS,TARGET_MOD,8,9,3,12,11,2,0,0,0,1,0,7,0.875
MOD0008,Mouse Tweaks,TARGET_MOD,28,52,4,56,15,3,0,0,0,1,0,25,0.8928571428571429
MOD0009,Chat Heads,TARGET_MOD,65,111,3,114,31,2,0,0,0,1,0,49,0.7538461538461538
MOD0010,oωo (owo-lib),BACKGROUND_LIBRARY,1146,4511,3,4514,118,2,0,0,0,1,0,1048,0.9144851657940664
MOD0011,Indium,TARGET_MOD,56,132,4,136,17,3,0,0,0,1,0,56,1.0
MOD0012,BadOptimizations,TARGET_MOD,38,71,3,74,25,2,0,0,0,1,0,37,0.9736842105263158
MOD0013,Language Reload,TARGET_MOD,67,83,3,86,30,2,0,0,0,1,0,40,0.5970149253731343
MOD0014,Searchables,BACKGROUND_LIBRARY,73,94,4,98,10,3,0,0,0,1,0,35,0.4794520547945205
MOD0015,Controlling,TARGET_MOD,74,89,4,93,15,3,0,0,0,1,0,49,0.6621621621621622
MOD0016,Clumps,TARGET_MOD,20,25,3,28,8,2,0,0,0,1,0,18,0.9
MOD0017,Shulker Box Tooltip,TARGET_MOD,241,699,5,704,29,4,0,0,0,1,0,193,0.8008298755186722
MOD0018,Concurrent Chunk Management Engine (Fabric),TARGET_MOD,4,5,2,7,7,1,0,0,0,1,0,4,1.0
MOD0019,Resourceful Lib,BACKGROUND_LIBRARY,218,382,1,383,16,1,0,0,0,0,0,161,0.7385321100917431
MOD0020,BetterF3,TARGET_MOD,320,659,4,663,22,3,0,0,0,1,0,200,0.625
MOD0021,Visuality,TARGET_MOD,109,98,3,101,16,2,0,0,0,1,0,36,0.3302752293577982
MOD0022,EMI,BACKGROUND_LIBRARY,532,2291,35,2326,85,5,0,29,0,1,0,456,0.8571428571428571
MOD0023,Packet Fixer,TARGET_MOD,33,57,4,61,32,3,0,0,0,1,0,31,0.9393939393939394
MOD0024,MidnightLib,BACKGROUND_LIBRARY,42,76,3,79,13,2,0,0,0,1,0,26,0.6190476190476191
MOD0025,Falling Leaves,TARGET_MOD,77,143,3,146,24,2,0,0,0,1,0,50,0.6493506493506493
MOD0026,Cubes Without Borders,TARGET_MOD,52,109,3,112,14,2,0,0,0,1,0,39,0.75
MOD0027,playerAnimator,BACKGROUND_LIBRARY,132,377,2,379,25,2,0,0,0,0,0,127,0.9621212121212122
MOD0028,Euphoria Patches,TARGET_MOD,1439,5586,1,5587,25,1,0,0,0,0,0,1404,0.9756775538568451
MOD0029,Roughly Enough Items (REI),TARGET_MOD,1167,4995,3,4998,29,2,0,0,0,1,0,1068,0.9151670951156813
MOD0030,Puzzle,BACKGROUND_LIBRARY,32,35,4,39,16,3,0,0,0,1,0,16,0.5
