mod_id,historical_version_id,historical_version,class_nodes,class_edges,full_connected_components,largest_full_component,largest_full_component_rate,hard_path_failed_nodes,max_hard_nodes_in_one_full_component,hard_coverage_by_best_full_component,hard_induced_edges,hard_induced_components,largest_hard_induced_component,largest_hard_induced_rate,eligible_5,eligible_10,eligible_20
MOD0002,njXb639R,20.0.1,71,240,1,71,1.0,0,0,0.0,0,0,0,0.0,False,False,False
MOD0002,j2vTurvl,17.0.1-beta.1,74,236,1,74,1.0,6,6,1.0,4,2,5,0.8333333333333334,True,False,False
MOD0002,3rsoV1bk,18.0.0,73,238,1,73,1.0,4,4,1.0,2,2,3,0.75,False,False,False
MOD0003,Pd0xrHCw,1.13.12+kotlin.2.4.0,3,1,2,2,0.6666666666666666,0,0,0.0,0,0,0,0.0,False,False,False
MOD0003,2i87JpYj,1.13.11+kotlin.2.3.21,3,1,2,2,0.6666666666666666,0,0,0.0,0,0,0,0.0,False,False,False
MOD0003,21TRTKmh,1.13.10+kotlin.2.3.20,3,1,2,2,0.6666666666666666,0,0,0.0,0,0,0,0.0,False,False,False
MOD0004,laVM31w1,mc26.1.2-2.2.3+fabric,99,322,1,99,1.0,0,0,0.0,0,0,0,0.0,False,False,False
MOD0004,P0MH4cn0,mc1.21.11-2.2.3+fabric,99,320,1,99,1.0,0,0,0.0,0,0,0,0.0,False,False,False
MOD0004,jDOK2MQs,mc1.21.1-2.2.3+fabric,99,320,1,99,1.0,0,0,0.0,0,0,0,0.0,False,False,False
MOD0005,DPLgZYg3,11.39.0.1067,975,3023,155,821,0.8420512820512821,159,143,0.89937106918239,98,74,19,0.11949685534591195,True,True,True
MOD0005,HMZVMjWH,15.49.0.188,1006,3181,153,854,0.8489065606361829,102,98,0.9607843137254902,58,49,14,0.13725490196078433,True,True,True
MOD0005,HWSzfi9w,19.44.0.401,1026,3264,154,873,0.8508771929824561,57,54,0.9473684210526315,21,38,4,0.07017543859649122,True,True,True
MOD0006,L6bn4TS8,5.5.3,422,1159,57,366,0.8672985781990521,422,366,0.8672985781990521,1159,57,366,0.8672985781990521,True,True,True
MOD0006,XZTmZlwb,5.5.2,421,1159,57,365,0.8669833729216152,421,365,0.8669833729216152,1159,57,365,0.8669833729216152,True,True,True
MOD0006,sLlRgyS8,4.9.1,281,949,1,281,1.0,0,0,0.0,0,0,0,0.0,False,False,False
MOD0007,tDptM9tq,3.11.8,5,1,4,2,0.4,0,0,0.0,0,0,0,0.0,False,False,False
MOD0007,wMNsaKHd,3.11.8,70,140,4,67,0.9571428571428572,70,67,0.9571428571428572,140,4,67,0.9571428571428572,True,True,True
MOD0007,HV67Kt1R,3.11.7,5,1,4,2,0.4,0,0,0.0,0,0,0,0.0,False,False,False
MOD0008,EBIKCzuP,26.1-2.31-fabric,23,39,3,21,0.9130434782608695,0,0,0.0,0,0,0,0.0,False,False,False
MOD0008,i1duwnJl,1.21.11-2.30-fabric,23,38,4,20,0.8695652173913043,0,0,0.0,0,0,0,0.0,False,False,False
MOD0008,ULOi34Uh,1.21.9-2.29-fabric,23,38,4,20,0.8695652173913043,0,0,0.0,0,0,0,0.0,False,False,False
MOD0009,uQ4oSnyu,1.2.8,48,77,2,47,0.9791666666666666,2,1,0.5,0,2,1,0.5,False,False,False
MOD0009,wbQl9Dig,1.2.8,47,76,2,46,0.9787234042553191,2,1,0.5,0,2,1,0.5,False,False,False
MOD0009,6HkzfAoc,0.15.6,37,68,2,36,0.972972972972973,4,3,0.75,0,4,1,0.25,False,False,False
MOD0010,m3XmDd8j,0.13.0-alpha.15+1.21,1022,3711,29,973,0.952054794520548,134,119,0.8880597014925373,108,67,45,0.3358208955223881,True,True,True
