representation,method,parent_count,queries,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
OPCODE_3GRAM,B1_INDEPENDENT,2,100,0.25666666666666665,0.2583333333333333,0.555,0.34923809523809524,0.0,0.0
OPCODE_3GRAM,B1_INDEPENDENT,3,100,0.23555555555555555,0.29207142857142854,0.5599999999999999,0.38210606060606056,0.0,0.0
OPCODE_3GRAM,B2_EXACT_GLOBAL,2,100,0.32333333333333336,0.41,0.41,0.41,0.14,0.09
OPCODE_3GRAM,B2_EXACT_GLOBAL,3,100,0.2733333333333333,0.4099999999999999,0.4099999999999999,0.4099999999999999,0.02,0.0
OPCODE_3GRAM,B2_PACKAGE_AGGREGATION,2,100,0.2083333333333333,0.25,0.25,0.25,0.05,0.05
OPCODE_3GRAM,B2_PACKAGE_AGGREGATION,3,100,0.1511111111111111,0.24666666666666662,0.24666666666666662,0.24666666666666662,0.0,0.0
OPCODE_3GRAM,B3_DEPENDENCY,2,100,0.42,0.435,0.43,0.43166666666666664,0.17,0.17
OPCODE_3GRAM,B3_DEPENDENCY,3,100,0.4199999999999999,0.46999999999999986,0.4433333333333332,0.4539999999999999,0.04,0.04
OPCODE_CONTEXT,B1_INDEPENDENT,2,100,0.33166666666666667,0.2911666666666667,0.6,0.3884761904761904,0.01,0.0
OPCODE_CONTEXT,B1_INDEPENDENT,3,100,0.31222222222222223,0.34222619047619046,0.6333333333333333,0.4421847041847042,0.0,0.0
OPCODE_CONTEXT,B2_EXACT_GLOBAL,2,100,0.325,0.415,0.415,0.415,0.11,0.05
OPCODE_CONTEXT,B2_EXACT_GLOBAL,3,100,0.3266666666666667,0.4933333333333333,0.4933333333333333,0.4933333333333333,0.04,0.01
OPCODE_CONTEXT,B2_PACKAGE_AGGREGATION,2,100,0.2483333333333333,0.34,0.34,0.34,0.06,0.04
OPCODE_CONTEXT,B2_PACKAGE_AGGREGATION,3,100,0.18777777777777774,0.31,0.31,0.31,0.01,0.0
OPCODE_CONTEXT,B3_DEPENDENCY,2,100,0.4,0.43,0.42,0.4233333333333333,0.12,0.12
OPCODE_CONTEXT,B3_DEPENDENCY,3,100,0.3466666666666666,0.44,0.41333333333333333,0.424,0.03,0.03
OPCODE_STRUCT,B1_INDEPENDENT,2,100,0.26833333333333337,0.25533333333333336,0.565,0.349547619047619,0.0,0.0
OPCODE_STRUCT,B1_INDEPENDENT,3,100,0.2477777777777778,0.2826190476190476,0.5566666666666666,0.3731392496392496,0.0,0.0
OPCODE_STRUCT,B2_EXACT_GLOBAL,2,100,0.32,0.43,0.43,0.43,0.16,0.08
OPCODE_STRUCT,B2_EXACT_GLOBAL,3,100,0.26555555555555554,0.4366666666666666,0.4366666666666666,0.4366666666666666,0.04,0.02
OPCODE_STRUCT,B2_PACKAGE_AGGREGATION,2,100,0.20666666666666667,0.275,0.275,0.275,0.05,0.03
OPCODE_STRUCT,B2_PACKAGE_AGGREGATION,3,100,0.11888888888888889,0.2566666666666666,0.2566666666666666,0.2566666666666666,0.0,0.0
OPCODE_STRUCT,B3_DEPENDENCY,2,100,0.42,0.44,0.435,0.43666666666666665,0.17,0.17
OPCODE_STRUCT,B3_DEPENDENCY,3,100,0.4199999999999999,0.4483333333333332,0.4333333333333333,0.43933333333333324,0.04,0.04
OPCODE_3GRAM,B1_INDEPENDENT,ALL,200,0.24611111111111114,0.275202380952381,0.5575,0.36567207792207795,0.0,0.0
OPCODE_3GRAM,B2_EXACT_GLOBAL,ALL,200,0.29833333333333334,0.41,0.41,0.41,0.08,0.045
OPCODE_3GRAM,B2_PACKAGE_AGGREGATION,ALL,200,0.17972222222222223,0.24833333333333332,0.24833333333333332,0.24833333333333332,0.025,0.025
OPCODE_3GRAM,B3_DEPENDENCY,ALL,200,0.42,0.4525,0.43666666666666665,0.4428333333333333,0.105,0.105
OPCODE_CONTEXT,B1_INDEPENDENT,ALL,200,0.3219444444444444,0.31669642857142855,0.6166666666666667,0.4153304473304473,0.005,0.0
OPCODE_CONTEXT,B2_EXACT_GLOBAL,ALL,200,0.3258333333333333,0.45416666666666666,0.45416666666666666,0.45416666666666666,0.075,0.03
OPCODE_CONTEXT,B2_PACKAGE_AGGREGATION,ALL,200,0.21805555555555553,0.325,0.325,0.325,0.035,0.02
OPCODE_CONTEXT,B3_DEPENDENCY,ALL,200,0.37333333333333335,0.435,0.41666666666666663,0.4236666666666666,0.075,0.075
OPCODE_STRUCT,B1_INDEPENDENT,ALL,200,0.2580555555555556,0.2689761904761905,0.5608333333333333,0.36134343434343436,0.0,0.0
OPCODE_STRUCT,B2_EXACT_GLOBAL,ALL,200,0.2927777777777778,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.1,0.05
OPCODE_STRUCT,B2_PACKAGE_AGGREGATION,ALL,200,0.1627777777777778,0.2658333333333333,0.2658333333333333,0.2658333333333333,0.025,0.015
OPCODE_STRUCT,B3_DEPENDENCY,ALL,200,0.42,0.4441666666666667,0.43416666666666665,0.43799999999999994,0.105,0.105
