representation,component_bucket,packages,fractional_top1_unique,confidence_top1_unique
OPCODE_3GRAM,1,12,0.3333333333333333,0.3333333333333333
OPCODE_3GRAM,11-20,3,1.0,1.0
OPCODE_3GRAM,2-3,4,0.25,0.25
OPCODE_3GRAM,21+,18,0.6666666666666666,0.7222222222222222
OPCODE_3GRAM,4-5,2,0.0,0.0
OPCODE_3GRAM,6-10,6,0.0,0.0
OPCODE_CONTEXT,1,12,0.3333333333333333,0.3333333333333333
OPCODE_CONTEXT,11-20,3,1.0,1.0
OPCODE_CONTEXT,2-3,4,0.0,0.0
OPCODE_CONTEXT,21+,18,0.6666666666666666,0.7777777777777778
OPCODE_CONTEXT,4-5,2,0.0,0.0
OPCODE_CONTEXT,6-10,6,0.8333333333333334,0.8333333333333334
OPCODE_STRUCT,1,12,0.08333333333333333,0.08333333333333333
OPCODE_STRUCT,11-20,3,1.0,1.0
OPCODE_STRUCT,2-3,4,0.0,0.25
OPCODE_STRUCT,21+,18,0.8333333333333334,0.8333333333333334
OPCODE_STRUCT,4-5,2,0.0,0.0
OPCODE_STRUCT,6-10,6,0.3333333333333333,0.3333333333333333
