representation,true_mod,historical_version_id,component_count,fractional_best_mods,fractional_true_rank,fractional_top1_unique_correct,fractional_top1_true_in_tie,fractional_top3,fractional_top5,confidence_best_mods,confidence_true_rank,confidence_top1_unique_correct,confidence_top1_true_in_tie,confidence_top3,confidence_top5,component_bucket
OPCODE_3GRAM,MOD0002,j2vTurvl,6,MOD0005,5,False,False,False,True,MOD0029,5,False,False,False,True,6-10
OPCODE_STRUCT,MOD0002,j2vTurvl,6,MOD0022,4,False,False,False,True,MOD0022,4,False,False,False,True,6-10
OPCODE_CONTEXT,MOD0002,j2vTurvl,6,MOD0002|MOD0005|MOD0022,1,False,True,True,True,MOD0022,3,False,False,True,True,6-10
OPCODE_3GRAM,MOD0002,3rsoV1bk,4,MOD0022|MOD0029,5,False,False,False,True,MOD0029,5,False,False,False,True,4-5
OPCODE_STRUCT,MOD0002,3rsoV1bk,4,MOD0022,3,False,False,True,True,MOD0022,3,False,False,True,True,4-5
OPCODE_CONTEXT,MOD0002,3rsoV1bk,4,MOD0002|MOD0005|MOD0022,1,False,True,True,True,MOD0022,3,False,False,True,True,4-5
OPCODE_3GRAM,MOD0005,DPLgZYg3,159,MOD0005,1,True,True,True,True,MOD0005,1,True,True,True,True,21+
OPCODE_STRUCT,MOD0005,DPLgZYg3,159,MOD0005,1,True,True,True,True,MOD0005,1,True,True,True,True,21+
OPCODE_CONTEXT,MOD0005,DPLgZYg3,159,MOD0005,1,True,True,True,True,MOD0005,1,True,True,True,True,21+
OPCODE_3GRAM,MOD0005,HMZVMjWH,102,MOD0005,1,True,True,True,True,MOD0005,1,True,True,True,True,21+
OPCODE_STRUCT,MOD0005,HMZVMjWH,102,MOD0005,1,True,True,True,True,MOD0005,1,True,True,True,True,21+
OPCODE_CONTEXT,MOD0005,HMZVMjWH,102,MOD0005,1,True,True,True,True,MOD0005,1,True,True,True,True,21+
OPCODE_3GRAM,MOD0005,HWSzfi9w,57,MOD0005,1,True,True,True,True,MOD0005,1,True,True,True,True,21+
OPCODE_STRUCT,MOD0005,HWSzfi9w,57,MOD0005,1,True,True,True,True,MOD0005,1,True,True,True,True,21+
OPCODE_CONTEXT,MOD0005,HWSzfi9w,57,MOD0005,1,True,True,True,True,MOD0005,1,True,True,True,True,21+
OPCODE_3GRAM,MOD0006,L6bn4TS8,422,MOD0006,1,True,True,True,True,MOD0006,1,True,True,True,True,21+
OPCODE_STRUCT,MOD0006,L6bn4TS8,422,MOD0006,1,True,True,True,True,MOD0006,1,True,True,True,True,21+
OPCODE_CONTEXT,MOD0006,L6bn4TS8,422,MOD0006,1,True,True,True,True,MOD0006,1,True,True,True,True,21+
OPCODE_3GRAM,MOD0006,XZTmZlwb,421,MOD0006,1,True,True,True,True,MOD0006,1,True,True,True,True,21+
OPCODE_STRUCT,MOD0006,XZTmZlwb,421,MOD0006,1,True,True,True,True,MOD0006,1,True,True,True,True,21+
OPCODE_CONTEXT,MOD0006,XZTmZlwb,421,MOD0006,1,True,True,True,True,MOD0006,1,True,True,True,True,21+
OPCODE_3GRAM,MOD0007,wMNsaKHd,70,MOD0028,6,False,False,False,False,MOD0007,1,True,True,True,True,21+
OPCODE_STRUCT,MOD0007,wMNsaKHd,70,MOD0010,6,False,False,False,False,MOD0007,1,True,True,True,True,21+
OPCODE_CONTEXT,MOD0007,wMNsaKHd,70,MOD0029,6,False,False,False,False,MOD0007,1,True,True,True,True,21+
