method,role,components,unique_correct_rate,ambiguous_true_rate,wrong_rate,no_match_rate
BASENAME,BACKGROUND_LIBRARY,10967,0.7886386432023342,0.10677487006473968,0.01376857846266071,0.09081790827026534
BASENAME,TARGET_MOD,12357,0.8552237598122522,0.12260257344015538,0.004693695880877235,0.01747997086671522
FULL_PATH,BACKGROUND_LIBRARY,10967,0.8453542445518373,0.0041032187471505424,0.0,0.15054253670101211
FULL_PATH,TARGET_MOD,12357,0.9587278465647001,0.007283321194464676,0.000161851582099215,0.03382698065873594
OUTER_CLASS_NAME,BACKGROUND_LIBRARY,10967,0.7955685237530774,0.11835506519558676,0.01376857846266071,0.07230783258867511
OUTER_CLASS_NAME,TARGET_MOD,12357,0.8487496965282836,0.13012867200776887,0.004855547462976451,0.01626608400097111
SHA256,BACKGROUND_LIBRARY,10967,0.21683231512719978,0.0,0.0,0.7831676848728002
SHA256,TARGET_MOD,12357,0.5676944242129967,0.0,0.0,0.4323055757870033
SHA_OR_PATH,BACKGROUND_LIBRARY,10967,0.8520105771861037,0.0041032187471505424,0.0,0.14388620406674568
SHA_OR_PATH,TARGET_MOD,12357,0.9588896981467994,0.007283321194464676,0.000161851582099215,0.03366512907663673
