query_id,node_id,source_fresh_id,source_version_id,source_version_number,source_relative_path,source_component_sha256,expected_outer_class,expected_java_filename,project_id,github_repo,project_resolution_status,github_source_available
Q6K00181,Q6K00181_N01,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/mixin/ClientPacketListenerMixin.class,720d56106330c8a9c8fb138c276d933d72604a96af61173f8024c905efe8d965,ClientPacketListenerMixin,ClientPacketListenerMixin.java,Iudurxl8,https://github.com/TerminalMC/ChatNotify,GITHUB_SOURCE,True
Q6K00181,Q6K00181_N02,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/ChatNotify.class,88c475b851815a201d3305bd0df797638f98243d78ef78542829ed1f05fa25bb,ChatNotify,ChatNotify.java,Iudurxl8,https://github.com/TerminalMC/ChatNotify,GITHUB_SOURCE,True
Q6K00181,Q6K00181_N04,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/gui/widget/list/FilterList$Entry$NotifOptions.class,1cd28dac32b40b060b77751e9b5470a9b5c8103646b783e43fd220d51bd140cc,FilterList,FilterList.java,Iudurxl8,https://github.com/TerminalMC/ChatNotify,GITHUB_SOURCE,True
Q6K00181,Q6K00181_N05,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/command/Commands.class,a3a4291e944c476c0b60333fa0054b41b884e5f79c1dc815f74611e22785b408,Commands,Commands.java,Iudurxl8,https://github.com/TerminalMC/ChatNotify,GITHUB_SOURCE,True
Q6K00181,Q6K00181_N06,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/gui/screen/RootScreen.class,141f5827e4a822c02b7ca016db5ccd7a6e3643d36deb15c263cd6969350ac756,RootScreen,RootScreen.java,Iudurxl8,https://github.com/TerminalMC/ChatNotify,GITHUB_SOURCE,True
Q6K00182,Q6K00182_N01,FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,com/jfyx2025/mixin/SwapHandMixin.class,c3e2a265a7041fee1eff0c5f77a375f5463faf1dcdf145c980ff75f8db733d8b,SwapHandMixin,SwapHandMixin.java,ou65sqcG,,NO_SOURCE_URL,False
Q6K00182,Q6K00182_N02,FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,com/jfyx2025/client/EmptyHandClient.class,bc61c9b9da11f332786e836fe49b55276c1cb289047224ab4f7c0ffe7b76f738,EmptyHandClient,EmptyHandClient.java,ou65sqcG,,NO_SOURCE_URL,False
Q6K00182,Q6K00182_N04,FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,com/jfyx2025/mixin/ServerPacketMixin.class,1dbe8a34c227314dea6b2e22fa328d14fea312ff816ba488316ad5482bfce54d,ServerPacketMixin,ServerPacketMixin.java,ou65sqcG,,NO_SOURCE_URL,False
Q6K00182,Q6K00182_N05,FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,com/jfyx2025/access/InventoryAccess.class,842055dbd1cabdfb917147f1920eb443ab2a6ac55759a78a3189a2527d2c6d00,InventoryAccess,InventoryAccess.java,ou65sqcG,,NO_SOURCE_URL,False
Q6K00182,Q6K00182_N07,FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,com/jfyx2025/mixin/InventoryMixin.class,9b1c752cf0c1d540ea10460a2169b937ab2a7ed8b295afc64eeaf53c312561b8,InventoryMixin,InventoryMixin.java,ou65sqcG,,NO_SOURCE_URL,False
Q6K00183,Q6K00183_N01,FMOD0023,603d4gFf,26.201.1,org/betterx/betterend/blocks/entities/EndStoneSmelterBlockEntity$2.class,4044beab91db0262a21ab766fe5947b800589983a50859f4c02ee6d7609aaa7e,EndStoneSmelterBlockEntity,EndStoneSmelterBlockEntity.java,gc8OEnCC,https://github.com/quiqueck/BetterEnd,GITHUB_SOURCE,True
Q6K00183,Q6K00183_N03,FMOD0023,603d4gFf,26.201.1,org/betterx/betterend/blocks/entities/BlastingRecipeInfo.class,1176d08a3011dbbdfaa5a4bc8a1364c2fafca92bfb3422c8ba93d132f284e1f4,BlastingRecipeInfo,BlastingRecipeInfo.java,gc8OEnCC,https://github.com/quiqueck/BetterEnd,GITHUB_SOURCE,True
Q6K00183,Q6K00183_N05,FMOD0023,603d4gFf,26.201.1,org/betterx/betterend/blocks/entities/EndStoneSmelterBlockEntity.class,fefff847dd16a7e3051041ed7120377ad7929bbc7684fb551b94d7af0576bd39,EndStoneSmelterBlockEntity,EndStoneSmelterBlockEntity.java,gc8OEnCC,https://github.com/quiqueck/BetterEnd,GITHUB_SOURCE,True
Q6K00183,Q6K00183_N06,FMOD0023,603d4gFf,26.201.1,org/betterx/betterend/blocks/entities/MultiRecipeInfo.class,376ba87d7dcaf48f7b4db608ac92df3ba5c42babcc9d4c27e588c6eb6a4c01a3,MultiRecipeInfo,MultiRecipeInfo.java,gc8OEnCC,https://github.com/quiqueck/BetterEnd,GITHUB_SOURCE,True
Q6K00183,Q6K00183_N07,FMOD0023,603d4gFf,26.201.1,org/betterx/betterend/blocks/entities/AlloyingRecipeInfo.class,a5e305b63d95ff9825714b3ff4b8cee7bc63bb30ad1893b8e329694053aecb9d,AlloyingRecipeInfo,AlloyingRecipeInfo.java,gc8OEnCC,https://github.com/quiqueck/BetterEnd,GITHUB_SOURCE,True
Q6K00184,Q6K00184_N02,FMOD0004,gs62LOlx,1.1.0,com/skelly/deepstash/ExcaMateNetworking$VeinKeyStatePayload.class,c5a153d9936fc9f5bd1318e6057184bcade9488bab6c0e1b7c6b263cf6a1bee1,ExcaMateNetworking,ExcaMateNetworking.java,HtZJrAVB,https://github.com/SkellyX/ExcaMate,GITHUB_SOURCE,True
Q6K00184,Q6K00184_N03,FMOD0004,gs62LOlx,1.1.0,com/skelly/deepstash/ExcaMateXpCapture.class,ec13d2655f3aaeb43b54b42643ef05631909e23e00be1ee6a2d685f94259f4a4,ExcaMateXpCapture,ExcaMateXpCapture.java,HtZJrAVB,https://github.com/SkellyX/ExcaMate,GITHUB_SOURCE,True
Q6K00184,Q6K00184_N04,FMOD0004,gs62LOlx,1.1.0,com/skelly/deepstash/mixin/ServerPlayerGameModeMixin.class,0aa90ff05df994a8f48982de30241f85305e704a34086e9c6ef17f5526251c0d,ServerPlayerGameModeMixin,ServerPlayerGameModeMixin.java,HtZJrAVB,https://github.com/SkellyX/ExcaMate,GITHUB_SOURCE,True
Q6K00184,Q6K00184_N06,FMOD0004,gs62LOlx,1.1.0,com/skelly/deepstash/mixin/BlockXpMixin.class,6ade06d5048cf3cbb49039df57ef32a24a6c94dc07ba3a188c61884b78c0aa63,BlockXpMixin,BlockXpMixin.java,HtZJrAVB,https://github.com/SkellyX/ExcaMate,GITHUB_SOURCE,True
Q6K00184,Q6K00184_N07,FMOD0004,gs62LOlx,1.1.0,com/skelly/deepstash/ExcaMateNetworking.class,c3c153d90b3ca9d33fabd68e82d7adbc9ba614ad2f52df6cb6cb19b884b4e5a4,ExcaMateNetworking,ExcaMateNetworking.java,HtZJrAVB,https://github.com/SkellyX/ExcaMate,GITHUB_SOURCE,True
Q6K00185,Q6K00185_N01,FMOD0096,yhbCh01w,3.3.7,com/remarxk/guitween/mixin/ChatComponentMixin.class,74949643703cf493d2ae4bb9aa42e0463f381371893328646dfcd5aa22ed6aa9,ChatComponentMixin,ChatComponentMixin.java,6aRXFBGk,https://github.com/remarxk/GUI-Tween,GITHUB_SOURCE,True
Q6K00185,Q6K00185_N03,FMOD0096,yhbCh01w,3.3.7,com/remarxk/guitween/mixin/PictureInPictureRendererMixin.class,55de95c91298019fb71da4f09dbb2b7aea9ff1ed2d2b91317ad2b09624ee45d4,PictureInPictureRendererMixin,PictureInPictureRendererMixin.java,6aRXFBGk,https://github.com/remarxk/GUI-Tween,GITHUB_SOURCE,True
Q6K00185,Q6K00185_N04,FMOD0096,yhbCh01w,3.3.7,com/remarxk/guitween/mixin/ChatComponentMixin$1.class,b9469c961d6d61a855082af021de17be663f00dc5679f22e135ecba4ffb7d8bf,ChatComponentMixin,ChatComponentMixin.java,6aRXFBGk,https://github.com/remarxk/GUI-Tween,GITHUB_SOURCE,True
Q6K00185,Q6K00185_N06,FMOD0096,yhbCh01w,3.3.7,com/remarxk/guitween/mixin/AbstractContainerScreenMixin.class,2338d12e4f1aff5cad3001d5e82a9136fdcf1e698677c8035359995cd2f607ca,AbstractContainerScreenMixin,AbstractContainerScreenMixin.java,6aRXFBGk,https://github.com/remarxk/GUI-Tween,GITHUB_SOURCE,True
Q6K00185,Q6K00185_N07,FMOD0096,yhbCh01w,3.3.7,com/remarxk/guitween/mixin/FabricGuiMixin.class,bc6f2783cd7a40b1ecfc3008ec68e548a270f7f0d865f5e25bf88424321adc9f,FabricGuiMixin,FabricGuiMixin.java,6aRXFBGk,https://github.com/remarxk/GUI-Tween,GITHUB_SOURCE,True
Q6K00186,Q6K00186_N01,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/command/Commands.class,a3a4291e944c476c0b60333fa0054b41b884e5f79c1dc815f74611e22785b408,Commands,Commands.java,Iudurxl8,https://github.com/TerminalMC/ChatNotify,GITHUB_SOURCE,True
Q6K00186,Q6K00186_N02,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/mixin/ClientPacketListenerMixin.class,720d56106330c8a9c8fb138c276d933d72604a96af61173f8024c905efe8d965,ClientPacketListenerMixin,ClientPacketListenerMixin.java,Iudurxl8,https://github.com/TerminalMC/ChatNotify,GITHUB_SOURCE,True
Q6K00186,Q6K00186_N04,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/ChatNotify.class,88c475b851815a201d3305bd0df797638f98243d78ef78542829ed1f05fa25bb,ChatNotify,ChatNotify.java,Iudurxl8,https://github.com/TerminalMC/ChatNotify,GITHUB_SOURCE,True
Q6K00186,Q6K00186_N06,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/gui/widget/list/FilterList$Entry$NotifOptions.class,1cd28dac32b40b060b77751e9b5470a9b5c8103646b783e43fd220d51bd140cc,FilterList,FilterList.java,Iudurxl8,https://github.com/TerminalMC/ChatNotify,GITHUB_SOURCE,True
Q6K00186,Q6K00186_N07,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/gui/screen/RootScreen.class,141f5827e4a822c02b7ca016db5ccd7a6e3643d36deb15c263cd6969350ac756,RootScreen,RootScreen.java,Iudurxl8,https://github.com/TerminalMC/ChatNotify,GITHUB_SOURCE,True
Q6K00187,Q6K00187_N02,FMOD0086,CVeqqBLA,1.1.11+26.1.2,io/github/zhengzhengyiyi/gui/EditorScreen.class,0f432478fc25cf36848cdd710026fcad137ebf399af793b6261b6ee905c62dcf,EditorScreen,EditorScreen.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
Q6K00187,Q6K00187_N03,FMOD0086,CVeqqBLA,1.1.11+26.1.2,io/github/zhengzhengyiyi/NbtSaver.class,dd66a3267e32e61299a43c74310c6bae11aa6fa43cfa7fe14e6e7cb0957990cb,NbtSaver,NbtSaver.java,SHXjjvQ7,https://github.com/zhengzhengyiyi/config-editor,GITHUB_SOURCE,True
