query_id,node_id,source_fresh_id,source_version_id,source_version_number,source_relative_class_path,github_repo,snapshot_commit,snapshot_ref,snapshot_resolution,snapshot_exact_release_claim,java_path,java_mapping_status,java_candidate_count,source_resolvable,high_confidence_mapping
Q6K00181,Q6K00181_N01,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/mixin/ClientPacketListenerMixin.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/mixin/ClientPacketListenerMixin.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00181,Q6K00181_N02,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/ChatNotify.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/ChatNotify.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00181,Q6K00181_N04,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/gui/widget/list/FilterList$Entry$NotifOptions.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/gui/widget/list/FilterList.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00181,Q6K00181_N05,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/command/Commands.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/command/Commands.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00181,Q6K00181_N06,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/gui/screen/RootScreen.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/gui/screen/RootScreen.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00182,Q6K00182_N01,FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,com/jfyx2025/mixin/SwapHandMixin.class,,,,NO_GITHUB_REPOSITORY,False,,NO_BASENAME_MATCH,0,False,False
Q6K00182,Q6K00182_N02,FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,com/jfyx2025/client/EmptyHandClient.class,,,,NO_GITHUB_REPOSITORY,False,,NO_BASENAME_MATCH,0,False,False
Q6K00182,Q6K00182_N04,FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,com/jfyx2025/mixin/ServerPacketMixin.class,,,,NO_GITHUB_REPOSITORY,False,,NO_BASENAME_MATCH,0,False,False
Q6K00182,Q6K00182_N05,FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,com/jfyx2025/access/InventoryAccess.class,,,,NO_GITHUB_REPOSITORY,False,,NO_BASENAME_MATCH,0,False,False
Q6K00182,Q6K00182_N07,FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,com/jfyx2025/mixin/InventoryMixin.class,,,,NO_GITHUB_REPOSITORY,False,,NO_BASENAME_MATCH,0,False,False
Q6K00183,Q6K00183_N01,FMOD0023,603d4gFf,26.201.1,org/betterx/betterend/blocks/entities/EndStoneSmelterBlockEntity$2.class,https://github.com/quiqueck/BetterEnd,1721fb43c852eefbf1390defbc6fed5b35927317,,DATE_HEURISTIC,False,src/main/java/org/betterx/betterend/blocks/entities/EndStoneSmelterBlockEntity.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00183,Q6K00183_N03,FMOD0023,603d4gFf,26.201.1,org/betterx/betterend/blocks/entities/BlastingRecipeInfo.class,https://github.com/quiqueck/BetterEnd,1721fb43c852eefbf1390defbc6fed5b35927317,,DATE_HEURISTIC,False,,NO_BASENAME_MATCH,0,False,False
Q6K00183,Q6K00183_N05,FMOD0023,603d4gFf,26.201.1,org/betterx/betterend/blocks/entities/EndStoneSmelterBlockEntity.class,https://github.com/quiqueck/BetterEnd,1721fb43c852eefbf1390defbc6fed5b35927317,,DATE_HEURISTIC,False,src/main/java/org/betterx/betterend/blocks/entities/EndStoneSmelterBlockEntity.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00183,Q6K00183_N06,FMOD0023,603d4gFf,26.201.1,org/betterx/betterend/blocks/entities/MultiRecipeInfo.class,https://github.com/quiqueck/BetterEnd,1721fb43c852eefbf1390defbc6fed5b35927317,,DATE_HEURISTIC,False,,NO_BASENAME_MATCH,0,False,False
Q6K00183,Q6K00183_N07,FMOD0023,603d4gFf,26.201.1,org/betterx/betterend/blocks/entities/AlloyingRecipeInfo.class,https://github.com/quiqueck/BetterEnd,1721fb43c852eefbf1390defbc6fed5b35927317,,DATE_HEURISTIC,False,,NO_BASENAME_MATCH,0,False,False
Q6K00184,Q6K00184_N02,FMOD0004,gs62LOlx,1.1.0,com/skelly/deepstash/ExcaMateNetworking$VeinKeyStatePayload.class,https://github.com/SkellyX/ExcaMate,d2b83e38d988f3f03ee14d322e9072a6b1a3c9b4,v1.1.0,EXACT_NORMALIZED_TAG,True,src/main/java/com/skelly/deepstash/ExcaMateNetworking.java,EXACT_PACKAGE_SUFFIX,1,True,True
Q6K00184,Q6K00184_N03,FMOD0004,gs62LOlx,1.1.0,com/skelly/deepstash/ExcaMateXpCapture.class,https://github.com/SkellyX/ExcaMate,d2b83e38d988f3f03ee14d322e9072a6b1a3c9b4,v1.1.0,EXACT_NORMALIZED_TAG,True,src/main/java/com/skelly/deepstash/ExcaMateXpCapture.java,EXACT_PACKAGE_SUFFIX,1,True,True
Q6K00184,Q6K00184_N04,FMOD0004,gs62LOlx,1.1.0,com/skelly/deepstash/mixin/ServerPlayerGameModeMixin.class,https://github.com/SkellyX/ExcaMate,d2b83e38d988f3f03ee14d322e9072a6b1a3c9b4,v1.1.0,EXACT_NORMALIZED_TAG,True,src/main/java/com/skelly/deepstash/mixin/ServerPlayerGameModeMixin.java,EXACT_PACKAGE_SUFFIX,1,True,True
Q6K00184,Q6K00184_N06,FMOD0004,gs62LOlx,1.1.0,com/skelly/deepstash/mixin/BlockXpMixin.class,https://github.com/SkellyX/ExcaMate,d2b83e38d988f3f03ee14d322e9072a6b1a3c9b4,v1.1.0,EXACT_NORMALIZED_TAG,True,src/main/java/com/skelly/deepstash/mixin/BlockXpMixin.java,EXACT_PACKAGE_SUFFIX,1,True,True
Q6K00184,Q6K00184_N07,FMOD0004,gs62LOlx,1.1.0,com/skelly/deepstash/ExcaMateNetworking.class,https://github.com/SkellyX/ExcaMate,d2b83e38d988f3f03ee14d322e9072a6b1a3c9b4,v1.1.0,EXACT_NORMALIZED_TAG,True,src/main/java/com/skelly/deepstash/ExcaMateNetworking.java,EXACT_PACKAGE_SUFFIX,1,True,True
Q6K00185,Q6K00185_N01,FMOD0096,yhbCh01w,3.3.7,com/remarxk/guitween/mixin/ChatComponentMixin.class,https://github.com/remarxk/GUI-Tween,37f73ba40b456e7394f10d91a724ffce9b0000ad,,DATE_HEURISTIC,False,common/src/main/java/com/remarxk/guitween/mixin/ChatComponentMixin.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00185,Q6K00185_N03,FMOD0096,yhbCh01w,3.3.7,com/remarxk/guitween/mixin/PictureInPictureRendererMixin.class,https://github.com/remarxk/GUI-Tween,37f73ba40b456e7394f10d91a724ffce9b0000ad,,DATE_HEURISTIC,False,common/src/main/java/com/remarxk/guitween/mixin/PictureInPictureRendererMixin.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00185,Q6K00185_N04,FMOD0096,yhbCh01w,3.3.7,com/remarxk/guitween/mixin/ChatComponentMixin$1.class,https://github.com/remarxk/GUI-Tween,37f73ba40b456e7394f10d91a724ffce9b0000ad,,DATE_HEURISTIC,False,common/src/main/java/com/remarxk/guitween/mixin/ChatComponentMixin.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00185,Q6K00185_N06,FMOD0096,yhbCh01w,3.3.7,com/remarxk/guitween/mixin/AbstractContainerScreenMixin.class,https://github.com/remarxk/GUI-Tween,37f73ba40b456e7394f10d91a724ffce9b0000ad,,DATE_HEURISTIC,False,common/src/main/java/com/remarxk/guitween/mixin/AbstractContainerScreenMixin.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00185,Q6K00185_N07,FMOD0096,yhbCh01w,3.3.7,com/remarxk/guitween/mixin/FabricGuiMixin.class,https://github.com/remarxk/GUI-Tween,37f73ba40b456e7394f10d91a724ffce9b0000ad,,DATE_HEURISTIC,False,fabric/src/main/java/com/remarxk/guitween/mixin/FabricGuiMixin.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00186,Q6K00186_N01,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/command/Commands.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/command/Commands.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00186,Q6K00186_N02,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/mixin/ClientPacketListenerMixin.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/mixin/ClientPacketListenerMixin.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00186,Q6K00186_N04,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/ChatNotify.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/ChatNotify.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00186,Q6K00186_N06,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/gui/widget/list/FilterList$Entry$NotifOptions.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/gui/widget/list/FilterList.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00186,Q6K00186_N07,FMOD0077,n4xzuN3I,3.102.6+26.1.2,dev/terminalmc/chatnotify/gui/screen/RootScreen.class,https://github.com/TerminalMC/ChatNotify,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,common/src/main/java/dev/terminalmc/chatnotify/gui/screen/RootScreen.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00187,Q6K00187_N02,FMOD0086,CVeqqBLA,1.1.11+26.1.2,io/github/zhengzhengyiyi/gui/EditorScreen.class,https://github.com/zhengzhengyiyi/config-editor,8fd93ec5d19f02a3ca2d7c1cc375af7262e40fef,,DATE_HEURISTIC,False,src/client/java/io/github/zhengzhengyiyi/gui/EditorScreen.java,EXACT_PACKAGE_SUFFIX,1,True,False
Q6K00187,Q6K00187_N03,FMOD0086,CVeqqBLA,1.1.11+26.1.2,io/github/zhengzhengyiyi/NbtSaver.class,https://github.com/zhengzhengyiyi/config-editor,8fd93ec5d19f02a3ca2d7c1cc375af7262e40fef,,DATE_HEURISTIC,False,src/client/java/io/github/zhengzhengyiyi/NbtSaver.java,EXACT_PACKAGE_SUFFIX,1,True,False
