source_fresh_id,source_version_id,source_version_number,api_version_number,date_published,snapshot_commit,snapshot_ref,snapshot_resolution,snapshot_exact_release_claim,error
FMOD0077,n4xzuN3I,3.102.6+26.1.2,3.102.6+26.1.2,2026-08-02T11:17:59.105997Z,284b12dfeaee83e71c305d231edd74fb4e06d5f5,,DATE_HEURISTIC,False,
FMOD0001,bUJ7d0jM,1.21.11-fabric-1.0.1,1.21.11-fabric-1.0.1,2026-08-02T03:21:35.687347Z,,,NO_GITHUB_REPOSITORY,False,
FMOD0023,603d4gFf,26.201.1,26.201.1,2026-08-08T01:11:59.510814Z,1721fb43c852eefbf1390defbc6fed5b35927317,,DATE_HEURISTIC,False,
FMOD0004,gs62LOlx,1.1.0,1.1.0,2026-05-09T12:27:01.703042Z,d2b83e38d988f3f03ee14d322e9072a6b1a3c9b4,v1.1.0,EXACT_NORMALIZED_TAG,True,
FMOD0096,yhbCh01w,3.3.7,3.3.7,2026-06-12T14:14:59.637378Z,37f73ba40b456e7394f10d91a724ffce9b0000ad,,DATE_HEURISTIC,False,
FMOD0086,CVeqqBLA,1.1.11+26.1.2,1.1.11+26.1.2,2026-06-01T20:23:52.362409Z,8fd93ec5d19f02a3ca2d7c1cc375af7262e40fef,,DATE_HEURISTIC,False,
FMOD0001,vSbgx9lF,26.2-fabric-1.0.1,26.2-fabric-1.0.1,2026-08-02T03:21:24.407604Z,,,NO_GITHUB_REPOSITORY,False,
FMOD0087,IvA7ptS8,0.12.0-alpha.1,0.12.0-alpha.1,2026-05-10T22:39:38.909018Z,6b25f436c79cece3522f05ad4c6db8030b47272c,,DATE_HEURISTIC,False,
FMOD0050,8iqsxqzA,A0.3H1,A0.3H1,2026-07-13T14:38:08.983321Z,223264ecfa8fc6e68a7ba8fe92b591cd32ff38c1,A0.3H1,EXACT_NORMALIZED_TAG,True,
FMOD0086,dU1doC63,1.1.11+26.1.2,1.1.11+26.1.2,2026-06-01T20:22:27.684864Z,8fd93ec5d19f02a3ca2d7c1cc375af7262e40fef,,DATE_HEURISTIC,False,
FMOD0086,VxmUBIb6,1.1.11+26.1,1.1.11+26.1,2026-05-06T22:21:51.762404Z,8fd93ec5d19f02a3ca2d7c1cc375af7262e40fef,,DATE_HEURISTIC,False,
FMOD0025,SJkLNQa4,1.0.7,1.0.7,2026-08-03T18:10:45.780423Z,,,NO_GITHUB_REPOSITORY,False,
FMOD0083,OkGF8Kho,0.1.10,0.1.10,2025-09-29T19:00:33.398091Z,8ae9312413a930deb1fb15154b5ba71916b27001,,DATE_HEURISTIC,False,
