anonymous_parent_id,fresh_id,project_id,frozen_split,version_id,version_number,date_published,github_repo,snapshot_commit,snapshot_ref,snapshot_resolution,snapshot_exact_release_claim,error
P0001,FMOD0001,ou65sqcG,TEST_KNOWN,cDDF6G3t,1.20.1-fabric-1.0.1,2026-08-09T07:12:57.146448Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0002,FMOD0003,jn24bUJo,TEST_KNOWN,v3akWq27,26.2.0,2026-06-19T16:05:00.907306Z,https://github.com/Fuzss/skeletonaifix,ab2e4d40e238ec479373ff399ae32fe61c9db29e,,DATE_HEURISTIC,False,
P0003,FMOD0004,HtZJrAVB,TEST_KNOWN,tqLJR6RQ,1.3.0,2026-08-09T14:04:10.711288Z,https://github.com/SkellyX/ExcaMate,8592bb5746b0dc1efaab6bc54600acdbb12932e5,v1.3.0,EXACT_NORMALIZED_TAG,True,
P0004,FMOD0005,8YVMtzCO,TEST_KNOWN,aw3MUigR,0.6.6,2026-08-06T09:07:08.993822Z,https://github.com/stacode123/CreateRealism,67f73f695372d3e400c669f55eabe2d104ea1874,,DATE_HEURISTIC,False,
P0005,FMOD0008,wf7bWVKa,TEST_KNOWN,5rJFXgrL,1.0.0+26.2,2026-07-09T15:32:54.964264Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0006,FMOD0011,HON4Kh6L,TEST_KNOWN,F7CrvJto,1.6.0,2026-07-20T13:42:44.250876Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0007,FMOD0013,um3io6U4,TEST_KNOWN,nicrDUMu,0.6,2026-08-03T23:27:11.878645Z,https://github.com/chrissitxt/chrissi-nightvision,7d1277bf6038c5c39ddcb5054b6c36c61a235d55,,DATE_HEURISTIC,False,
P0008,FMOD0014,1XgPBDMh,TEST_KNOWN,2YZVptCu,0.6.0,2026-08-09T07:19:26.754639Z,https://github.com/jrxmod/lumiereplay,105d8899d2257df6f49e63705461a7df63216a49,,DATE_HEURISTIC,False,
P0009,FMOD0015,zpssE62T,TEST_KNOWN,ue5GyppO,1.20.1-fabric-1.0.1,2026-08-09T07:25:28.447077Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0010,FMOD0016,Na8nA0jA,TEST_KNOWN,PESWQyFD,2.0.0-beta4-fabric,2025-10-18T19:20:03.022696Z,https://github.com/SayWhatSayMon/VeganDelight,07cbe26b73cef0c765e4f2bc0abd72bb7b90494d,v2.0.0-beta4-fabric,EXACT_NORMALIZED_TAG,True,
P0011,FMOD0017,yUBXc3AH,TEST_BACKGROUND,tvtFvW21,1.1.0+1.21.1,2026-03-01T20:20:24.754879Z,https://github.com/Globox1997/LibZ,062cf214d0c3af7136590ff84f9115ecf1dc9620,,DATE_HEURISTIC,False,
P0012,FMOD0022,LTTvOp5L,TEST_KNOWN,erFVgWTv,26.07.01-26.2-fabric,2026-07-01T03:40:27.982529Z,https://github.com/axperty/storagedelight,6367312e101068439e01426a0e787da8d4d401a5,,DATE_HEURISTIC,False,
P0013,FMOD0023,gc8OEnCC,TEST_KNOWN,feoiqgRY,26.301.0,2026-08-08T01:39:45.032417Z,https://github.com/quiqueck/BetterEnd,b29d91e83ba915f850755c51372e72a7401d41e5,,DATE_HEURISTIC,False,
P0014,FMOD0024,vlUsQPHM,TEST_KNOWN,nXjmpzEN,1.5.5,2026-08-08T10:26:15.884502Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0015,FMOD0025,iyuwyWOH,TEST_KNOWN,QRQpfHMW,1.0.7,2026-08-03T18:11:57.142467Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0016,FMOD0031,nPQ9xkPg,TEST_BACKGROUND,C3DaRlTh,MC1.21.11-fabric-1.2.6,2026-08-09T11:31:37.106927Z,https://github.com/MightyPirates/MarkdownManual,e19ed29276257b3d557db4cefcec109735456501,,DATE_HEURISTIC,False,
P0017,FMOD0033,m6OyNFtX,TEST_KNOWN,Pl5VjL5d,0.2.5+hotfix.3,2026-08-09T08:26:01.155523Z,https://github.com/NLR-DevTeam/Fcitx5-Enhancer,be14d2a3defa63b6610c1bdb215a2e982da14b79,,DATE_HEURISTIC,False,
P0018,FMOD0035,vZoqTqwv,TEST_KNOWN,luhyJg7U,2.2,,https://github.com/hexnowloading/DungeonNowLoading,,,REPOSITORY_ERROR,False,"CalledProcessError(128, ['git', 'clone', '--filter=blob:none', '--no-checkout', 'https://github.com/hexnowloading/DungeonNowLoading', '/mnt/c/research/mod-provenance-research/data/phase10a4b_gallery_git_cache/hexnowloading__DungeonNowLoading'])"
P0019,FMOD0036,5VolwT6c,TEST_KNOWN,Bi8Uoo3W,8.7.3+26.3-snapshot-7-fabric,2026-08-08T15:39:53.726307Z,https://github.com/cassiancc/ReliableRecipeViewer,b71a86b03172319ddbbb6b825b475db035bec16d,,DATE_HEURISTIC,False,
P0020,FMOD0040,ORiydwz3,TEST_KNOWN,KGYXY6wf,4.0.2-fabric+1.21.11,2026-08-09T07:56:20.827541Z,https://github.com/ThatPreston/Mermod,df448b2fd1c9d9e903c331f5cd28100ac6c9344c,,DATE_HEURISTIC,False,
P0021,FMOD0043,McTtzw3T,TEST_KNOWN,3UeSOcUh,1.1.14,2026-08-09T17:25:33.157983Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0022,FMOD0044,qlagXNJP,TEST_KNOWN,3CFCpOfu,1.0.9,2026-08-06T00:16:31.388813Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0023,FMOD0049,pvcsfne4,TEST_KNOWN,EXu0Q4KH,1.0.5-fabric-1.21.11,2026-04-06T19:52:30.747338Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0024,FMOD0050,IvNJRZCq,TEST_KNOWN,TkAoj0D0,A0.4.2,2026-08-12T01:14:04.360586Z,https://github.com/StefanBraun2001/smart-auto-mine,848266593b38d996b3fcc99b3e43f33a962982db,A0.4.2,EXACT_NORMALIZED_TAG,True,
P0025,FMOD0051,c3Ja659P,TEST_KNOWN,S7KVLOGn,2.1.2-Fabric-mc26.2,2026-08-01T13:16:19.428795Z,https://github.com/MC-Mods-Pete/Contagion,c9c022831cf7f2a75a89ff075812192161ff3600,,DATE_HEURISTIC,False,
P0026,FMOD0053,laNoi025,TEST_KNOWN,id6Yni9S,26.2-fabric-1,2026-06-26T08:34:15.231696Z,https://github.com/LGatodu47/ScreenshotViewer,82dd0b8be130f5832badeeac9a9df74b2c4fd91a,,DATE_HEURISTIC,False,
P0027,FMOD0055,n2f1HbK8,TEST_KNOWN,w7JqnSrT,1.1.3,2026-08-07T15:07:00.003488Z,https://github.com/RapidMesck/cobblemon_smartphone_main,8f117c32a04b0f40fb127e417732e0794685f3af,,DATE_HEURISTIC,False,
P0028,FMOD0060,Y3gzAm57,TEST_KNOWN,GZ1uvjI6,1.1.0,2026-08-02T02:42:08.741766Z,https://github.com/Xurceo/TechReborn-New-Upgrades,fab959b227c94e780d71fa327d1ac8f3829b0caa,1.1.0,EXACT_NORMALIZED_TAG,True,
P0029,FMOD0061,Zkk0brtY,TEST_KNOWN,WoZRjFKz,1.2.0+26.2-26.2,2026-08-06T15:57:16.686424Z,https://github.com/DevPieter/Narratless,47b9cf2feb7cc6a34e29fbfd309f1d186cd7f755,,DATE_HEURISTIC,False,
P0030,FMOD0066,Ff3Cg2wn,TEST_KNOWN,CUZ9VXJW,1.1.0+mc26.2,2026-07-30T12:12:26.219592Z,https://github.com/iSlavok/Simple-Frames,c8580979c4859c89ade167392c6bc7ab69f22e99,,DATE_HEURISTIC,False,
P0031,FMOD0067,UUntxQ5e,TEST_KNOWN,KHClvKi9,1.4.0,2026-08-11T21:46:53.719522Z,https://github.com/Jom3a-J/Better-Shulker-Boxes,74c7349c990a36f2a9ef53622362819b25f826e1,1.4.0,EXACT_NORMALIZED_TAG,True,
P0032,FMOD0069,jvE0ZHV2,TEST_KNOWN,VH7czPMj,1.3.1+26.2,2026-08-10T13:11:19.151949Z,https://github.com/tobyprime/Mcedia,83dcd6ef68e0b46c8758840644459b7fd4016ce7,,DATE_HEURISTIC,False,
P0033,FMOD0073,gIl8fyUs,TEST_KNOWN,8sMwf9Tw,1.0.0+26.2,2026-07-27T13:43:27.517877Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0034,FMOD0074,WnbN2C6I,TEST_KNOWN,pVKqIYWy,26.2-1.11.2,2026-06-16T16:28:33.597879Z,https://github.com/fantahund/DurabilityViewer,c13e6c313612955a88d4576455bf6716db17933f,,DATE_HEURISTIC,False,
P0035,FMOD0075,ohNO6lps,TEST_BACKGROUND,rSd3GiG8,26.2.1,2026-06-21T09:19:05.384665Z,https://github.com/Fuzss/forgeconfigapiport,01e57781f5a3e2db131aa39eaa1772dbed0e3503,,DATE_HEURISTIC,False,
P0036,FMOD0076,CnLgiUvi,TEST_KNOWN,rrRqybh2,2.1.1.8,2026-08-05T19:48:09.335390Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
P0037,FMOD0077,Iudurxl8,TEST_KNOWN,BeAig6Jh,3.103.1+26.2,2026-08-02T12:30:45.285673Z,https://github.com/TerminalMC/ChatNotify,049e79f151a9f68454fe381f62058a4ef2264d3b,,DATE_HEURISTIC,False,
P0038,FMOD0079,KEFyvbuH,TEST_KNOWN,RA2zOJ5S,2.1.4+mc1.21.1,2024-09-27T02:39:47.964419Z,https://github.com/ix0rai/bodacious_berries,b04a09277001212ddf25d8c98296a24abd3b9e94,,DATE_HEURISTIC,False,
P0039,FMOD0080,dwVY5imH,TEST_KNOWN,7adWN5QC,2.2.4+mc26.2,2026-08-03T04:53:30.867189Z,https://github.com/kerlycanelita/KoHs-Crystal-Tweaks,1efd8e486bb606b16805c84ad7700231f6bef377,v2.2.4-mc26.2,EXACT_NORMALIZED_TAG,True,
P0040,FMOD0083,ySnjMzLg,TEST_KNOWN,pWxabbaf,0.1.12,2026-02-06T19:16:38.168752Z,https://github.com/wisp-forest/accessories-compat-layer,501df0b86754b56a962252f71d72734da27c8e08,,DATE_HEURISTIC,False,
P0041,FMOD0086,SHXjjvQ7,TEST_KNOWN,5i7wpHTb,1.1.11+26.2,2026-08-09T14:40:39.353835Z,https://github.com/zhengzhengyiyi/config-editor,8fd93ec5d19f02a3ca2d7c1cc375af7262e40fef,,DATE_HEURISTIC,False,
P0042,FMOD0087,E5Qy8rmu,TEST_KNOWN,XCNsSwQj,0.13.0,2026-08-11T21:52:55.475993Z,https://github.com/gniftygnome/ductwork,68cd6168d970faa371f5f6165cd3359f9755557c,,DATE_HEURISTIC,False,
P0043,FMOD0089,2fltysAl,TEST_KNOWN,MvJaIPCF,26.2.0,2026-06-18T11:49:59.502830Z,https://github.com/Fuzss/strawstatues,0197477e966f810b77c7849ac19a5dd78f02faac,,DATE_HEURISTIC,False,
P0044,FMOD0091,jEjEEHLL,TEST_BACKGROUND,2rGPrkTd,1.0.12+26.2,2026-08-10T17:38:46.157187Z,https://github.com/VillagerUnknown/VillagerCoin,3f75baa7ba8ce1e5a993fe4c2f1a2c45174e8d09,,DATE_HEURISTIC,False,
P0047,FMOD0096,6aRXFBGk,TEST_KNOWN,xnOJo6nC,3.3.8,2026-07-26T03:29:02.025687Z,https://github.com/remarxk/GUI-Tween,6954dfd95b9afc07913bf52b60c354cb2dbbcdc8,,DATE_HEURISTIC,False,
P0048,FMOD0099,80ulerjA,TEST_KNOWN,1S2TEbqR,1.9.4+1.20,2023-07-14T03:16:19.107271Z,https://github.com/ChloeDawn/Couplings,a3e06b5389a139cf2cc47e2d65e880de5a064003,1.9.4+1.20,EXACT_NORMALIZED_TAG,True,
P0050,FMOD0102,Nn8Wasaq,TEST_BACKGROUND,YS1XJpDW,26.2-3.1.2,2026-06-27T09:17:42.834437Z,https://github.com/firstdarkdev/CraterLib-mirror,89c3317e22a4c4c5c131a61ed17878646877f65c,,DATE_HEURISTIC,False,
P0051,FMOD0104,a9AsUNGn,TEST_BACKGROUND,6MFwerG8,4.2.9+1.14.4-1.20.4,2023-12-28T13:18:02.256777Z,https://github.com/Virtuoel/Statement,621d1a6cb71ea0da24d0d495665e8e87882d3362,,DATE_HEURISTIC,False,
P0052,FMOD0105,mWdDy9A0,TEST_BACKGROUND,vkAgziWj,20.1.5,2024-01-21T16:29:50.770047Z,https://github.com/PhantomLoader/PhantomLoader,c2afc54613d426668f308a7facf6a76192243308,v20.1.5,EXACT_NORMALIZED_TAG,True,
P0054,FMOD0109,LH6juGaI,TEST_BACKGROUND,ot6j4eBl,0.0.20,2026-08-08T18:20:08.605461Z,https://github.com/wyatt-herkamp/too-many-shortcuts,43519213849b3b494d8cc4460cedcc44df12cefa,0.0.20,EXACT_NORMALIZED_TAG,True,
P0055,FMOD0110,J81TRJWm,TEST_BACKGROUND,Ra1AWDOa,1.11.1-26.2-fabric,2026-06-26T04:03:54.898573Z,https://github.com/Keksuccino/Konkrete,eaed4db8a0f2a6106c8843a496828c7b937b6bb3,,DATE_HEURISTIC,False,
P0056,FMOD0113,9vQsbY6Y,TEST_BACKGROUND,vr9kqbcj,1.3.0,2026-08-06T04:50:31.650511Z,https://github.com/s220515001/aggstack,35ba83f1be94f6f4a1ced431db948b8241f1111e,,DATE_HEURISTIC,False,
P0058,FMOD0116,CVdyYsTz,TEST_BACKGROUND,eLGaQkgF,1.4.2-26.2,2026-08-06T16:33:52.437739Z,https://github.com/Kielson-Official/_Kielson-s-API,fd8747fb7e884c919c627bed1302dab6a7b5f8ec,,DATE_HEURISTIC,False,
P0059,FMOD0119,ufdDoWPd,TEST_BACKGROUND,G8gDBRJv,15.8.8+fabric,2026-07-28T10:09:38.023829Z,https://github.com/Snownee/Kiwi,488bdf6998b6557477120e279aa8593b20b4d327,,DATE_HEURISTIC,False,
P0060,FMOD0120,nT86WUER,TEST_BACKGROUND,jmug71pF,1.2.1+26.2-fabric,2026-06-18T20:23:40.896543Z,,,,NO_GITHUB_REPOSITORY,False,No GitHub repository in Modrinth project metadata
