node_id,anonymous_query_id,anonymous_component_id,anonymous_parent_id,parent_fresh_id,query_file,query_startline,query_endline,gallery_file,gallery_startline,gallery_endline
Q6K00237_N07,Q0057,Q0057_N05,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0057/Q0057_N05/Query.java,571,794,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,636,859
Q6K00243_N06,Q0063,Q0063_N04,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0063/Q0063_N04/Query.java,519,742,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,636,859
Q6K00199_N01,Q0019,Q0019_N01,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0019/Q0019_N01/Query.java,519,742,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,636,859
Q6K00251_N02,Q0071,Q0071_N02,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0071/Q0071_N02/Query.java,519,742,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,636,859
Q6K00277_N06,Q0097,Q0097_N05,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0097/Q0097_N05/Query.java,571,794,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,636,859
Q6K00446_N07,Q0266,Q0266_N05,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0266/Q0266_N05/Query.java,571,794,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,636,859
Q6K00438_N05,Q0258,Q0258_N03,P0012,FMOD0022,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0258/Q0258_N03/Query.java,8,172,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0012/P0012_S000023.java,8,172
Q6K00186_N06,Q0006,Q0006_N04,P0037,FMOD0077,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0006/Q0006_N04/Query.java,733,1098,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0037/P0037_S000033.java,733,1098
Q6K00181_N04,Q0001,Q0001_N03,P0037,FMOD0077,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0001/Q0001_N03/Query.java,733,1098,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0037/P0037_S000033.java,733,1098
Q6K00469_N05,Q0289,Q0289_N04,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0289/Q0289_N04/Query.java,1366,1542,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000017.java,1469,1643
Q6K00311_N06,Q0131,Q0131_N04,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0131/Q0131_N04/Query.java,1366,1542,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000017.java,1469,1643
Q6K00338_N04,Q0158,Q0158_N03,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0158/Q0158_N03/Query.java,1366,1542,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000017.java,1469,1643
Q6K00237_N01,Q0057,Q0057_N01,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0057/Q0057_N01/Query.java,1366,1542,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000017.java,1469,1643
Q6K00277_N03,Q0097,Q0097_N02,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0097/Q0097_N02/Query.java,1366,1542,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000017.java,1469,1643
Q6K00288_N02,Q0108,Q0108_N02,P0034,FMOD0074,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0108/Q0108_N02/Query.java,138,304,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0034/P0034_S000004.java,132,299
Q6K00220_N02,Q0040,Q0040_N01,P0034,FMOD0074,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0040/Q0040_N01/Query.java,138,304,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0034/P0034_S000004.java,132,299
Q6K00224_N07,Q0044,Q0044_N05,P0034,FMOD0074,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0044/Q0044_N05/Query.java,138,304,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0034/P0034_S000004.java,132,299
Q6K00249_N01,Q0069,Q0069_N01,P0034,FMOD0074,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0069/Q0069_N01/Query.java,138,304,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0034/P0034_S000004.java,132,299
Q6K00431_N06,Q0251,Q0251_N04,P0034,FMOD0074,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0251/Q0251_N04/Query.java,138,304,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0034/P0034_S000004.java,132,299
Q6K00199_N01,Q0019,Q0019_N01,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0019/Q0019_N01/Query.java,260,401,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,381,522
Q6K00237_N07,Q0057,Q0057_N05,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0057/Q0057_N05/Query.java,311,452,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,381,522
Q6K00446_N07,Q0266,Q0266_N05,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0266/Q0266_N05/Query.java,311,452,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,381,522
Q6K00243_N06,Q0063,Q0063_N04,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0063/Q0063_N04/Query.java,260,401,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,381,522
Q6K00277_N06,Q0097,Q0097_N05,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0097/Q0097_N05/Query.java,311,452,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,381,522
Q6K00251_N02,Q0071,Q0071_N02,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0071/Q0071_N02/Query.java,260,401,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000003.java,381,522
Q6K00261_N01,Q0081,Q0081_N01,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0081/Q0081_N01/Query.java,1135,1240,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000013.java,1260,1369
Q6K00288_N04,Q0108,Q0108_N03,P0031,FMOD0067,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0108/Q0108_N03/Query.java,1135,1240,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0031/P0031_S000013.java,1260,1369
Q6K00250_N06,Q0070,Q0070_N04,P0047,FMOD0096,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0070/Q0070_N04/Query.java,425,576,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0047/P0047_S000022.java,422,573
Q6K00258_N03,Q0078,Q0078_N02,P0047,FMOD0096,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0078/Q0078_N02/Query.java,425,576,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0047/P0047_S000022.java,422,573
Q6K00317_N07,Q0137,Q0137_N05,P0047,FMOD0096,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0137/Q0137_N05/Query.java,425,576,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0047/P0047_S000022.java,422,573
Q6K00185_N06,Q0005,Q0005_N04,P0047,FMOD0096,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0005/Q0005_N04/Query.java,425,576,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0047/P0047_S000022.java,422,573
Q6K00463_N04,Q0283,Q0283_N03,P0047,FMOD0096,nicadclones/phase10a4_nicad_query_corpus/phase10a4_nicad_query_corpus/Q0283/Q0283_N03/Query.java,425,576,nicadclones/phase10a4_nicad_query_corpus/phase10a4b_nicad_gallery_corpus/P0047/P0047_S000022.java,422,573
