anonymous_query_id,anonymous_filename,query_id,node_id,scenario,k_true,ground_truth_label,source_fresh_id,source_version_id,source_relative_path,payload_relpath,payload_sha256,stone_relpath
Q0001,Q0001_N01.class,Q6K00181,Q6K00181_N01,TEST_KNOWN_K1,1,FMOD0077,FMOD0077,n4xzuN3I,dev/terminalmc/chatnotify/mixin/ClientPacketListenerMixin.class,queries/Q6K00181/Q6K00181_N01.bin,720d56106330c8a9c8fb138c276d933d72604a96af61173f8024c905efe8d965,query/Q0001/Q0001_N01.class
Q0001,Q0001_N02.class,Q6K00181,Q6K00181_N02,TEST_KNOWN_K1,1,FMOD0077,FMOD0077,n4xzuN3I,dev/terminalmc/chatnotify/ChatNotify.class,queries/Q6K00181/Q6K00181_N02.bin,88c475b851815a201d3305bd0df797638f98243d78ef78542829ed1f05fa25bb,query/Q0001/Q0001_N02.class
Q0001,Q0001_N03.class,Q6K00181,Q6K00181_N04,TEST_KNOWN_K1,1,FMOD0077,FMOD0077,n4xzuN3I,dev/terminalmc/chatnotify/gui/widget/list/FilterList$Entry$NotifOptions.class,queries/Q6K00181/Q6K00181_N04.bin,1cd28dac32b40b060b77751e9b5470a9b5c8103646b783e43fd220d51bd140cc,query/Q0001/Q0001_N03.class
Q0001,Q0001_N04.class,Q6K00181,Q6K00181_N05,TEST_KNOWN_K1,1,FMOD0077,FMOD0077,n4xzuN3I,dev/terminalmc/chatnotify/command/Commands.class,queries/Q6K00181/Q6K00181_N05.bin,a3a4291e944c476c0b60333fa0054b41b884e5f79c1dc815f74611e22785b408,query/Q0001/Q0001_N04.class
Q0001,Q0001_N05.class,Q6K00181,Q6K00181_N06,TEST_KNOWN_K1,1,FMOD0077,FMOD0077,n4xzuN3I,dev/terminalmc/chatnotify/gui/screen/RootScreen.class,queries/Q6K00181/Q6K00181_N06.bin,141f5827e4a822c02b7ca016db5ccd7a6e3643d36deb15c263cd6969350ac756,query/Q0001/Q0001_N05.class
Q0002,Q0002_N01.class,Q6K00182,Q6K00182_N01,TEST_KNOWN_K1,1,FMOD0001,FMOD0001,bUJ7d0jM,com/jfyx2025/mixin/SwapHandMixin.class,queries/Q6K00182/Q6K00182_N01.bin,c3e2a265a7041fee1eff0c5f77a375f5463faf1dcdf145c980ff75f8db733d8b,query/Q0002/Q0002_N01.class
Q0002,Q0002_N02.class,Q6K00182,Q6K00182_N02,TEST_KNOWN_K1,1,FMOD0001,FMOD0001,bUJ7d0jM,com/jfyx2025/client/EmptyHandClient.class,queries/Q6K00182/Q6K00182_N02.bin,bc61c9b9da11f332786e836fe49b55276c1cb289047224ab4f7c0ffe7b76f738,query/Q0002/Q0002_N02.class
Q0002,Q0002_N03.class,Q6K00182,Q6K00182_N04,TEST_KNOWN_K1,1,FMOD0001,FMOD0001,bUJ7d0jM,com/jfyx2025/mixin/ServerPacketMixin.class,queries/Q6K00182/Q6K00182_N04.bin,1dbe8a34c227314dea6b2e22fa328d14fea312ff816ba488316ad5482bfce54d,query/Q0002/Q0002_N03.class
Q0002,Q0002_N04.class,Q6K00182,Q6K00182_N05,TEST_KNOWN_K1,1,FMOD0001,FMOD0001,bUJ7d0jM,com/jfyx2025/access/InventoryAccess.class,queries/Q6K00182/Q6K00182_N05.bin,842055dbd1cabdfb917147f1920eb443ab2a6ac55759a78a3189a2527d2c6d00,query/Q0002/Q0002_N04.class
Q0002,Q0002_N05.class,Q6K00182,Q6K00182_N07,TEST_KNOWN_K1,1,FMOD0001,FMOD0001,bUJ7d0jM,com/jfyx2025/mixin/InventoryMixin.class,queries/Q6K00182/Q6K00182_N07.bin,9b1c752cf0c1d540ea10460a2169b937ab2a7ed8b295afc64eeaf53c312561b8,query/Q0002/Q0002_N05.class
