query_id,stage,scenario,k_true_actual_sources,k_target_collapsed_unknown,known_parent_count,unknown_parent_count,known_parent_ids,unknown_parent_ids_private,evaluation_parent_labels,component_count,code_count,structured_count,image_count
Q11A0001,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0044""]","[""FMOD0090"", ""FMOD0094""]","[""FMOD0044"", ""UNKNOWN""]",7,5,1,1
Q11A0002,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0099""]","[""FMOD0046"", ""FMOD0048""]","[""FMOD0099"", ""UNKNOWN""]",7,5,1,1
Q11A0003,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0005""]","[""FMOD0007"", ""FMOD0090""]","[""FMOD0005"", ""UNKNOWN""]",7,5,1,1
Q11A0004,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0067""]","[""FMOD0054"", ""FMOD0084""]","[""FMOD0067"", ""UNKNOWN""]",7,5,1,1
Q11A0005,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0055""]","[""FMOD0007"", ""FMOD0062""]","[""FMOD0055"", ""UNKNOWN""]",7,5,1,1
Q11A0006,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0087""]","[""FMOD0007"", ""FMOD0094""]","[""FMOD0087"", ""UNKNOWN""]",7,5,1,1
Q11A0007,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0011""]","[""FMOD0054"", ""FMOD0062""]","[""FMOD0011"", ""UNKNOWN""]",7,5,1,1
Q11A0008,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0044""]","[""FMOD0009"", ""FMOD0048""]","[""FMOD0044"", ""UNKNOWN""]",7,5,1,1
Q11A0009,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0099""]","[""FMOD0048"", ""FMOD0054""]","[""FMOD0099"", ""UNKNOWN""]",7,5,1,1
Q11A0010,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0011""]","[""FMOD0028"", ""FMOD0090""]","[""FMOD0011"", ""UNKNOWN""]",7,5,1,1
Q11A0011,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0040""]","[""FMOD0009"", ""FMOD0028""]","[""FMOD0040"", ""UNKNOWN""]",7,5,1,1
Q11A0012,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0050""]","[""FMOD0054"", ""FMOD0068""]","[""FMOD0050"", ""UNKNOWN""]",7,5,1,1
Q11A0013,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0005""]","[""FMOD0009"", ""FMOD0084""]","[""FMOD0005"", ""UNKNOWN""]",7,5,1,1
Q11A0014,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0086""]","[""FMOD0009"", ""FMOD0085""]","[""FMOD0086"", ""UNKNOWN""]",7,5,1,1
Q11A0015,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0061""]","[""FMOD0070"", ""FMOD0090""]","[""FMOD0061"", ""UNKNOWN""]",7,5,1,1
Q11A0016,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0001""]","[""FMOD0009"", ""FMOD0028""]","[""FMOD0001"", ""UNKNOWN""]",7,5,1,1
Q11A0017,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0099""]","[""FMOD0046"", ""FMOD0070""]","[""FMOD0099"", ""UNKNOWN""]",7,5,1,1
Q11A0018,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0005""]","[""FMOD0006"", ""FMOD0070""]","[""FMOD0005"", ""UNKNOWN""]",7,5,1,1
Q11A0019,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0025""]","[""FMOD0027"", ""FMOD0090""]","[""FMOD0025"", ""UNKNOWN""]",7,5,1,1
Q11A0020,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0096""]","[""FMOD0027"", ""FMOD0028""]","[""FMOD0096"", ""UNKNOWN""]",7,5,1,1
Q11A0021,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0087""]","[""FMOD0046"", ""FMOD0084""]","[""FMOD0087"", ""UNKNOWN""]",7,5,1,1
Q11A0022,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0001""]","[""FMOD0062"", ""FMOD0085""]","[""FMOD0001"", ""UNKNOWN""]",7,5,1,1
Q11A0023,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0077""]","[""FMOD0028"", ""FMOD0085""]","[""FMOD0077"", ""UNKNOWN""]",7,5,1,1
Q11A0024,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0035""]","[""FMOD0007"", ""FMOD0009""]","[""FMOD0035"", ""UNKNOWN""]",7,5,1,1
Q11A0025,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0087""]","[""FMOD0028"", ""FMOD0094""]","[""FMOD0087"", ""UNKNOWN""]",7,5,1,1
Q11A0026,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0050""]","[""FMOD0006"", ""FMOD0084""]","[""FMOD0050"", ""UNKNOWN""]",7,5,1,1
Q11A0027,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0016""]","[""FMOD0009"", ""FMOD0090""]","[""FMOD0016"", ""UNKNOWN""]",7,5,1,1
Q11A0028,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0014""]","[""FMOD0068"", ""FMOD0070""]","[""FMOD0014"", ""UNKNOWN""]",7,5,1,1
Q11A0029,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0069""]","[""FMOD0046"", ""FMOD0084""]","[""FMOD0069"", ""UNKNOWN""]",7,5,1,1
Q11A0030,ROBUSTNESS_MULTI_UNKNOWN,MU_1K2U,3,2,1,2,"[""FMOD0040""]","[""FMOD0007"", ""FMOD0090""]","[""FMOD0040"", ""UNKNOWN""]",7,5,1,1
Q11A0031,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0005"", ""FMOD0060""]","[""FMOD0028"", ""FMOD0046""]","[""FMOD0005"", ""FMOD0060"", ""UNKNOWN""]",7,5,1,1
Q11A0032,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0023"", ""FMOD0036""]","[""FMOD0028"", ""FMOD0085""]","[""FMOD0023"", ""FMOD0036"", ""UNKNOWN""]",7,5,1,1
Q11A0033,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0023"", ""FMOD0043""]","[""FMOD0062"", ""FMOD0090""]","[""FMOD0023"", ""FMOD0043"", ""UNKNOWN""]",7,5,1,1
Q11A0034,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0025"", ""FMOD0043""]","[""FMOD0009"", ""FMOD0084""]","[""FMOD0025"", ""FMOD0043"", ""UNKNOWN""]",7,5,1,1
Q11A0035,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0035"", ""FMOD0055""]","[""FMOD0070"", ""FMOD0084""]","[""FMOD0035"", ""FMOD0055"", ""UNKNOWN""]",7,5,1,1
Q11A0036,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0003"", ""FMOD0087""]","[""FMOD0009"", ""FMOD0027""]","[""FMOD0003"", ""FMOD0087"", ""UNKNOWN""]",7,5,1,1
Q11A0037,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0014"", ""FMOD0077""]","[""FMOD0046"", ""FMOD0090""]","[""FMOD0014"", ""FMOD0077"", ""UNKNOWN""]",7,5,1,1
Q11A0038,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0003"", ""FMOD0025""]","[""FMOD0048"", ""FMOD0062""]","[""FMOD0003"", ""FMOD0025"", ""UNKNOWN""]",7,5,1,1
Q11A0039,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0023"", ""FMOD0096""]","[""FMOD0007"", ""FMOD0028""]","[""FMOD0023"", ""FMOD0096"", ""UNKNOWN""]",7,5,1,1
Q11A0040,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0061"", ""FMOD0083""]","[""FMOD0007"", ""FMOD0068""]","[""FMOD0061"", ""FMOD0083"", ""UNKNOWN""]",7,5,1,1
Q11A0041,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0040"", ""FMOD0060""]","[""FMOD0070"", ""FMOD0084""]","[""FMOD0040"", ""FMOD0060"", ""UNKNOWN""]",7,5,1,1
Q11A0042,ROBUSTNESS_MULTI_UNKNOWN,MU_2K2U,4,3,2,2,"[""FMOD0011"", ""FMOD0077""]","[""FMOD0048"", ""FMOD0094""]","[""FMOD0011"", ""FMOD0077"", ""UNKNOWN""]",7,5,1,1
