query_id,scenario,k_true,known_true_parent_count,known_true_parents_covered,known_parent_recall,all_known_true_parents_present,candidate_pool
Q11A0001,MU_1K2U,2,1,1,1.0,True,"[""FMOD0044"", ""FMOD0119"", ""FMOD0023"", ""FMOD0035"", ""FMOD0083"", ""FMOD0120"", ""FMOD0036"", ""FMOD0102"", ""FMOD0110"", ""FMOD0069""]"
Q11A0002,MU_1K2U,2,1,1,1.0,True,"[""FMOD0099"", ""FMOD0055"", ""FMOD0023"", ""FMOD0035"", ""FMOD0024"", ""FMOD0074"", ""FMOD0079"", ""FMOD0102"", ""FMOD0077"", ""FMOD0119""]"
Q11A0003,MU_1K2U,2,1,1,1.0,True,"[""FMOD0005"", ""FMOD0035"", ""FMOD0079"", ""FMOD0022"", ""FMOD0120"", ""FMOD0023"", ""FMOD0069"", ""FMOD0102"", ""FMOD0119"", ""FMOD0036""]"
Q11A0004,MU_1K2U,2,1,1,1.0,True,"[""FMOD0067"", ""FMOD0119"", ""FMOD0120"", ""FMOD0110"", ""FMOD0035"", ""FMOD0036"", ""FMOD0079"", ""FMOD0005"", ""FMOD0051"", ""FMOD0102""]"
Q11A0005,MU_1K2U,2,1,1,1.0,True,"[""FMOD0055"", ""FMOD0113"", ""FMOD0067"", ""FMOD0069"", ""FMOD0119"", ""FMOD0025"", ""FMOD0086"", ""FMOD0102"", ""FMOD0005"", ""FMOD0035""]"
Q11A0006,MU_1K2U,2,1,1,1.0,True,"[""FMOD0087"", ""FMOD0120"", ""FMOD0069"", ""FMOD0079"", ""FMOD0035"", ""FMOD0102"", ""FMOD0110"", ""FMOD0119"", ""FMOD0036"", ""FMOD0023""]"
Q11A0007,MU_1K2U,2,1,1,1.0,True,"[""FMOD0011"", ""FMOD0035"", ""FMOD0119"", ""FMOD0083"", ""FMOD0055"", ""FMOD0086"", ""FMOD0120"", ""FMOD0102"", ""FMOD0005"", ""FMOD0036""]"
Q11A0008,MU_1K2U,2,1,1,1.0,True,"[""FMOD0044"", ""FMOD0087"", ""FMOD0023"", ""FMOD0035"", ""FMOD0119"", ""FMOD0120"", ""FMOD0079"", ""FMOD0102"", ""FMOD0069"", ""FMOD0110""]"
Q11A0009,MU_1K2U,2,1,1,1.0,True,"[""FMOD0099"", ""FMOD0069"", ""FMOD0035"", ""FMOD0023"", ""FMOD0119"", ""FMOD0036"", ""FMOD0004"", ""FMOD0067"", ""FMOD0053"", ""FMOD0083""]"
Q11A0010,MU_1K2U,2,1,1,1.0,True,"[""FMOD0011"", ""FMOD0023"", ""FMOD0035"", ""FMOD0016"", ""FMOD0036"", ""FMOD0119"", ""FMOD0102"", ""FMOD0120"", ""FMOD0069"", ""FMOD0110""]"
