query_id,stage,scenario,k_true_actual_sources,k_target_collapsed_unknown,known_parent_count,unknown_parent_count,known_parent_ids,unknown_parent_ids_private,evaluation_parent_labels,component_count,code_count,structured_count,image_count,k_true,unknown_parent_ids,all_parent_ids
Q11A0001,TEST,MU_1K2U,3,2,1,2,"[""FMOD0044""]","[""FMOD0090"", ""FMOD0094""]","[""FMOD0044"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0044"", ""UNKNOWN""]"
Q11A0002,TEST,MU_1K2U,3,2,1,2,"[""FMOD0099""]","[""FMOD0046"", ""FMOD0048""]","[""FMOD0099"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0099"", ""UNKNOWN""]"
Q11A0003,TEST,MU_1K2U,3,2,1,2,"[""FMOD0005""]","[""FMOD0007"", ""FMOD0090""]","[""FMOD0005"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0005"", ""UNKNOWN""]"
Q11A0004,TEST,MU_1K2U,3,2,1,2,"[""FMOD0067""]","[""FMOD0054"", ""FMOD0084""]","[""FMOD0067"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0067"", ""UNKNOWN""]"
Q11A0005,TEST,MU_1K2U,3,2,1,2,"[""FMOD0055""]","[""FMOD0007"", ""FMOD0062""]","[""FMOD0055"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0055"", ""UNKNOWN""]"
Q11A0006,TEST,MU_1K2U,3,2,1,2,"[""FMOD0087""]","[""FMOD0007"", ""FMOD0094""]","[""FMOD0087"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0087"", ""UNKNOWN""]"
Q11A0007,TEST,MU_1K2U,3,2,1,2,"[""FMOD0011""]","[""FMOD0054"", ""FMOD0062""]","[""FMOD0011"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0011"", ""UNKNOWN""]"
Q11A0008,TEST,MU_1K2U,3,2,1,2,"[""FMOD0044""]","[""FMOD0009"", ""FMOD0048""]","[""FMOD0044"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0044"", ""UNKNOWN""]"
Q11A0009,TEST,MU_1K2U,3,2,1,2,"[""FMOD0099""]","[""FMOD0048"", ""FMOD0054""]","[""FMOD0099"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0099"", ""UNKNOWN""]"
Q11A0010,TEST,MU_1K2U,3,2,1,2,"[""FMOD0011""]","[""FMOD0028"", ""FMOD0090""]","[""FMOD0011"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0011"", ""UNKNOWN""]"
Q11A0011,TEST,MU_1K2U,3,2,1,2,"[""FMOD0040""]","[""FMOD0009"", ""FMOD0028""]","[""FMOD0040"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0040"", ""UNKNOWN""]"
Q11A0012,TEST,MU_1K2U,3,2,1,2,"[""FMOD0050""]","[""FMOD0054"", ""FMOD0068""]","[""FMOD0050"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0050"", ""UNKNOWN""]"
Q11A0013,TEST,MU_1K2U,3,2,1,2,"[""FMOD0005""]","[""FMOD0009"", ""FMOD0084""]","[""FMOD0005"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0005"", ""UNKNOWN""]"
Q11A0014,TEST,MU_1K2U,3,2,1,2,"[""FMOD0086""]","[""FMOD0009"", ""FMOD0085""]","[""FMOD0086"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0086"", ""UNKNOWN""]"
Q11A0015,TEST,MU_1K2U,3,2,1,2,"[""FMOD0061""]","[""FMOD0070"", ""FMOD0090""]","[""FMOD0061"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0061"", ""UNKNOWN""]"
Q11A0016,TEST,MU_1K2U,3,2,1,2,"[""FMOD0001""]","[""FMOD0009"", ""FMOD0028""]","[""FMOD0001"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0001"", ""UNKNOWN""]"
Q11A0017,TEST,MU_1K2U,3,2,1,2,"[""FMOD0099""]","[""FMOD0046"", ""FMOD0070""]","[""FMOD0099"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0099"", ""UNKNOWN""]"
Q11A0018,TEST,MU_1K2U,3,2,1,2,"[""FMOD0005""]","[""FMOD0006"", ""FMOD0070""]","[""FMOD0005"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0005"", ""UNKNOWN""]"
Q11A0019,TEST,MU_1K2U,3,2,1,2,"[""FMOD0025""]","[""FMOD0027"", ""FMOD0090""]","[""FMOD0025"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0025"", ""UNKNOWN""]"
Q11A0020,TEST,MU_1K2U,3,2,1,2,"[""FMOD0096""]","[""FMOD0027"", ""FMOD0028""]","[""FMOD0096"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0096"", ""UNKNOWN""]"
Q11A0021,TEST,MU_1K2U,3,2,1,2,"[""FMOD0087""]","[""FMOD0046"", ""FMOD0084""]","[""FMOD0087"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0087"", ""UNKNOWN""]"
Q11A0022,TEST,MU_1K2U,3,2,1,2,"[""FMOD0001""]","[""FMOD0062"", ""FMOD0085""]","[""FMOD0001"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0001"", ""UNKNOWN""]"
Q11A0023,TEST,MU_1K2U,3,2,1,2,"[""FMOD0077""]","[""FMOD0028"", ""FMOD0085""]","[""FMOD0077"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0077"", ""UNKNOWN""]"
Q11A0024,TEST,MU_1K2U,3,2,1,2,"[""FMOD0035""]","[""FMOD0007"", ""FMOD0009""]","[""FMOD0035"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0035"", ""UNKNOWN""]"
Q11A0025,TEST,MU_1K2U,3,2,1,2,"[""FMOD0087""]","[""FMOD0028"", ""FMOD0094""]","[""FMOD0087"", ""UNKNOWN""]",7,5,1,1,2,"[""UNKNOWN""]","[""FMOD0087"", ""UNKNOWN""]"
