scale,scale_type,backend,query_id,unique_registered_parents,effective_gallery_components,shortlist_parent_count,search_ms,candidate_pool,exact_top10_overlap,exact_top10_identical,shortlist_parent_count_before_fallback
20,REAL,EXACT,Q6K00183,20,15662,20,4.61513,"[""FMOD0023"", ""FMOD0035"", ""FMOD0102"", ""FMOD0110"", ""FMOD0005"", ""FMOD0031"", ""FMOD0113"", ""FMOD0067"", ""FMOD0083"", ""FMOD0089""]",1.0,True,
20,REAL,EXACT,Q6K00184,20,15662,20,4.551747,"[""FMOD0067"", ""FMOD0113"", ""FMOD0023"", ""FMOD0035"", ""FMOD0102"", ""FMOD0110"", ""FMOD0116"", ""FMOD0083"", ""FMOD0005"", ""FMOD0031""]",1.0,True,
20,REAL,EXACT,Q6K00193,20,15662,20,4.488586,"[""FMOD0023"", ""FMOD0102"", ""FMOD0035"", ""FMOD0005"", ""FMOD0031"", ""FMOD0113"", ""FMOD0080"", ""FMOD0100"", ""FMOD0110"", ""FMOD0083""]",1.0,True,
20,REAL,EXACT,Q6K00195,20,15662,20,4.476124,"[""FMOD0061"", ""FMOD0083"", ""FMOD0102"", ""FMOD0023"", ""FMOD0035"", ""FMOD0110"", ""FMOD0066"", ""FMOD0005"", ""FMOD0080"", ""FMOD0067""]",1.0,True,
20,REAL,EXACT,Q6K00197,20,15662,20,4.80305,"[""FMOD0102"", ""FMOD0005"", ""FMOD0110"", ""FMOD0083"", ""FMOD0035"", ""FMOD0016"", ""FMOD0023"", ""FMOD0031"", ""FMOD0113"", ""FMOD0104""]",1.0,True,
20,REAL,EXACT,Q6K00199,20,15662,20,4.581351,"[""FMOD0067"", ""FMOD0102"", ""FMOD0023"", ""FMOD0005"", ""FMOD0110"", ""FMOD0035"", ""FMOD0083"", ""FMOD0017"", ""FMOD0031"", ""FMOD0080""]",1.0,True,
20,REAL,EXACT,Q6K00200,20,15662,20,4.626635,"[""FMOD0023"", ""FMOD0102"", ""FMOD0035"", ""FMOD0016"", ""FMOD0110"", ""FMOD0005"", ""FMOD0083"", ""FMOD0031"", ""FMOD0067"", ""FMOD0089""]",1.0,True,
20,REAL,EXACT,Q6K00201,20,15662,20,4.642145,"[""FMOD0066"", ""FMOD0102"", ""FMOD0017"", ""FMOD0005"", ""FMOD0110"", ""FMOD0023"", ""FMOD0083"", ""FMOD0035"", ""FMOD0067"", ""FMOD0089""]",1.0,True,
20,REAL,EXACT,Q6K00205,20,15662,20,4.46171,"[""FMOD0023"", ""FMOD0035"", ""FMOD0016"", ""FMOD0102"", ""FMOD0005"", ""FMOD0067"", ""FMOD0083"", ""FMOD0110"", ""FMOD0113"", ""FMOD0089""]",1.0,True,
20,REAL,EXACT,Q6K00206,20,15662,20,4.726084,"[""FMOD0016"", ""FMOD0102"", ""FMOD0031"", ""FMOD0023"", ""FMOD0035"", ""FMOD0110"", ""FMOD0083"", ""FMOD0005"", ""FMOD0104"", ""FMOD0017""]",1.0,True,
