representation,condition,method,queries,component_accuracy,parent_f1,parent_set_exact,component_set_exact,mean_cut_edges
OPCODE_3GRAM,BRIDGE,B1_INDEPENDENT,150,0.24740740740740738,0.37049350649350643,0.0,0.0,0.0
OPCODE_3GRAM,BRIDGE,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.08666666666666667,0.04666666666666667,0.0
OPCODE_3GRAM,BRIDGE,B3_HARD_COMPONENT,150,0.25777777777777783,0.36,0.0,0.0,0.0
OPCODE_3GRAM,BRIDGE,B5_BOUNDARY_CUT,150,0.3318518518518518,0.412031746031746,0.05333333333333334,0.04666666666666667,0.7733333333333333
OPCODE_3GRAM,CLEAN,B1_INDEPENDENT,150,0.24740740740740738,0.37049350649350643,0.0,0.0,0.0
OPCODE_3GRAM,CLEAN,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.08666666666666667,0.04666666666666667,0.0
OPCODE_3GRAM,CLEAN,B3_HARD_COMPONENT,150,0.44,0.4620000000000001,0.12,0.12,0.0
OPCODE_3GRAM,CLEAN,B5_BOUNDARY_CUT,150,0.38074074074074077,0.4307142857142857,0.06,0.06,0.54
OPCODE_3GRAM,DROP30,B1_INDEPENDENT,150,0.24740740740740738,0.37049350649350643,0.0,0.0,0.0
OPCODE_3GRAM,DROP30,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.08666666666666667,0.04666666666666667,0.0
OPCODE_3GRAM,DROP30,B3_HARD_COMPONENT,150,0.36148148148148146,0.4102804232804233,0.013333333333333334,0.013333333333333334,0.0
OPCODE_3GRAM,DROP30,B5_BOUNDARY_CUT,150,0.3433333333333333,0.4032539682539682,0.006666666666666667,0.006666666666666667,0.29333333333333333
OPCODE_3GRAM,DROP30_BRIDGE,B1_INDEPENDENT,150,0.24740740740740738,0.37049350649350643,0.0,0.0,0.0
OPCODE_3GRAM,DROP30_BRIDGE,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.08666666666666667,0.04666666666666667,0.0
OPCODE_3GRAM,DROP30_BRIDGE,B3_HARD_COMPONENT,150,0.2785185185185185,0.3983492063492064,0.02,0.0,0.0
OPCODE_3GRAM,DROP30_BRIDGE,B5_BOUNDARY_CUT,150,0.3159259259259259,0.4165608465608465,0.02,0.006666666666666667,0.7533333333333333
OPCODE_CONTEXT,BRIDGE,B1_INDEPENDENT,150,0.32185185185185183,0.4232183742183742,0.0,0.0,0.0
OPCODE_CONTEXT,BRIDGE,B2_EXACT_GLOBAL,150,0.3377777777777778,0.4744444444444444,0.08,0.03333333333333333,0.0
OPCODE_CONTEXT,BRIDGE,B3_HARD_COMPONENT,150,0.19,0.26555555555555554,0.0,0.0,0.0
OPCODE_CONTEXT,BRIDGE,B5_BOUNDARY_CUT,150,0.32296296296296295,0.37985714285714284,0.006666666666666667,0.006666666666666667,2.8333333333333335
OPCODE_CONTEXT,CLEAN,B1_INDEPENDENT,150,0.32185185185185183,0.4232183742183742,0.0,0.0,0.0
OPCODE_CONTEXT,CLEAN,B2_EXACT_GLOBAL,150,0.3377777777777778,0.4744444444444444,0.08,0.03333333333333333,0.0
OPCODE_CONTEXT,CLEAN,B3_HARD_COMPONENT,150,0.38666666666666666,0.43866666666666676,0.08,0.08,0.0
OPCODE_CONTEXT,CLEAN,B5_BOUNDARY_CUT,150,0.38185185185185183,0.45790476190476187,0.04,0.04,1.2666666666666666
OPCODE_CONTEXT,DROP30,B1_INDEPENDENT,150,0.32185185185185183,0.4232183742183742,0.0,0.0,0.0
OPCODE_CONTEXT,DROP30,B2_EXACT_GLOBAL,150,0.3377777777777778,0.4744444444444444,0.08,0.03333333333333333,0.0
OPCODE_CONTEXT,DROP30,B3_HARD_COMPONENT,150,0.3951851851851852,0.4459312169312169,0.02,0.02,0.0
OPCODE_CONTEXT,DROP30,B5_BOUNDARY_CUT,150,0.3796296296296296,0.4508941798941798,0.006666666666666667,0.0,1.3266666666666667
OPCODE_CONTEXT,DROP30_BRIDGE,B1_INDEPENDENT,150,0.32185185185185183,0.4232183742183742,0.0,0.0,0.0
OPCODE_CONTEXT,DROP30_BRIDGE,B2_EXACT_GLOBAL,150,0.3377777777777778,0.4744444444444444,0.08,0.03333333333333333,0.0
OPCODE_CONTEXT,DROP30_BRIDGE,B3_HARD_COMPONENT,150,0.2462962962962963,0.366031746031746,0.02666666666666667,0.0,0.0
OPCODE_CONTEXT,DROP30_BRIDGE,B5_BOUNDARY_CUT,150,0.3207407407407407,0.4183333333333334,0.006666666666666667,0.0,2.3266666666666667
OPCODE_STRUCT,BRIDGE,B1_INDEPENDENT,150,0.2614814814814814,0.3697012987012987,0.0,0.0,0.0
OPCODE_STRUCT,BRIDGE,B2_EXACT_GLOBAL,150,0.3018518518518519,0.44777777777777783,0.11333333333333333,0.04666666666666667,0.0
OPCODE_STRUCT,BRIDGE,B3_HARD_COMPONENT,150,0.22555555555555554,0.31555555555555553,0.0,0.0,0.0
OPCODE_STRUCT,BRIDGE,B5_BOUNDARY_CUT,150,0.24814814814814815,0.3426666666666666,0.04666666666666667,0.006666666666666667,0.10666666666666667
OPCODE_STRUCT,CLEAN,B1_INDEPENDENT,150,0.2614814814814814,0.3697012987012987,0.0,0.0,0.0
OPCODE_STRUCT,CLEAN,B2_EXACT_GLOBAL,150,0.3018518518518519,0.44777777777777783,0.11333333333333333,0.04666666666666667,0.0
OPCODE_STRUCT,CLEAN,B3_HARD_COMPONENT,150,0.44,0.4533333333333333,0.12,0.12,0.0
OPCODE_STRUCT,CLEAN,B5_BOUNDARY_CUT,150,0.44,0.4533333333333333,0.12,0.12,0.0
OPCODE_STRUCT,DROP30,B1_INDEPENDENT,150,0.2614814814814814,0.3697012987012987,0.0,0.0,0.0
OPCODE_STRUCT,DROP30,B2_EXACT_GLOBAL,150,0.3018518518518519,0.44777777777777783,0.11333333333333333,0.04666666666666667,0.0
OPCODE_STRUCT,DROP30,B3_HARD_COMPONENT,150,0.34629629629629627,0.4114761904761905,0.0,0.0,0.0
OPCODE_STRUCT,DROP30,B5_BOUNDARY_CUT,150,0.34629629629629627,0.4114761904761905,0.0,0.0,0.0
OPCODE_STRUCT,DROP30_BRIDGE,B1_INDEPENDENT,150,0.2614814814814814,0.3697012987012987,0.0,0.0,0.0
OPCODE_STRUCT,DROP30_BRIDGE,B2_EXACT_GLOBAL,150,0.3018518518518519,0.44777777777777783,0.11333333333333333,0.04666666666666667,0.0
OPCODE_STRUCT,DROP30_BRIDGE,B3_HARD_COMPONENT,150,0.2662962962962963,0.38276190476190475,0.02666666666666667,0.0,0.0
OPCODE_STRUCT,DROP30_BRIDGE,B5_BOUNDARY_CUT,150,0.2785185185185185,0.39960317460317457,0.04,0.0,0.10666666666666667
