representation,condition,method,queries,component_accuracy,parent_f1,parent_set_exact,component_set_exact,mean_cut_edges
OPCODE_3GRAM,BRIDGE,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.08666666666666667,0.04666666666666667,0.0
OPCODE_3GRAM,BRIDGE,B3_HARD_COMPONENT,150,0.25777777777777783,0.36,0.0,0.0,0.0
OPCODE_3GRAM,BRIDGE,B6_PARENTSET_GRAPH,150,0.3159259259259259,0.4266666666666667,0.08666666666666667,0.06666666666666667,0.7466666666666667
OPCODE_3GRAM,BRIDGE,ORACLE_PARENTSET_GRAPH,150,0.5033333333333333,1.0,1.0,0.07333333333333333,0.6266666666666667
OPCODE_3GRAM,CLEAN,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.08666666666666667,0.04666666666666667,0.0
OPCODE_3GRAM,CLEAN,B3_HARD_COMPONENT,150,0.44,0.4620000000000001,0.12,0.12,0.0
OPCODE_3GRAM,CLEAN,B6_PARENTSET_GRAPH,150,0.38740740740740737,0.4266666666666667,0.08666666666666667,0.08,0.31333333333333335
OPCODE_3GRAM,CLEAN,ORACLE_PARENTSET_GRAPH,150,0.6666666666666666,1.0,1.0,0.31333333333333335,0.07333333333333333
OPCODE_3GRAM,DROP30,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.08666666666666667,0.04666666666666667,0.0
OPCODE_3GRAM,DROP30,B3_HARD_COMPONENT,150,0.36148148148148146,0.4102804232804233,0.013333333333333334,0.013333333333333334,0.0
OPCODE_3GRAM,DROP30,B6_PARENTSET_GRAPH,150,0.3555555555555555,0.4266666666666667,0.08666666666666667,0.06,0.17333333333333334
OPCODE_3GRAM,DROP30,ORACLE_PARENTSET_GRAPH,150,0.647037037037037,1.0,1.0,0.20666666666666667,0.04
OPCODE_3GRAM,DROP30_BRIDGE,B2_EXACT_GLOBAL,150,0.3062962962962963,0.4266666666666667,0.08666666666666667,0.04666666666666667,0.0
OPCODE_3GRAM,DROP30_BRIDGE,B3_HARD_COMPONENT,150,0.2785185185185185,0.3983492063492064,0.02,0.0,0.0
OPCODE_3GRAM,DROP30_BRIDGE,B6_PARENTSET_GRAPH,150,0.32555555555555554,0.4266666666666667,0.08666666666666667,0.05333333333333334,0.6666666666666666
OPCODE_3GRAM,DROP30_BRIDGE,ORACLE_PARENTSET_GRAPH,150,0.5433333333333333,1.0,1.0,0.05333333333333334,0.5266666666666666
OPCODE_CONTEXT,BRIDGE,B2_EXACT_GLOBAL,150,0.3377777777777778,0.4744444444444444,0.08,0.03333333333333333,0.0
OPCODE_CONTEXT,BRIDGE,B3_HARD_COMPONENT,150,0.19,0.26555555555555554,0.0,0.0,0.0
OPCODE_CONTEXT,BRIDGE,B6_PARENTSET_GRAPH,150,0.3551851851851852,0.4744444444444444,0.08,0.04666666666666667,4.713333333333333
OPCODE_CONTEXT,BRIDGE,ORACLE_PARENTSET_GRAPH,150,0.6874074074074075,1.0,1.0,0.24,3.3066666666666666
OPCODE_CONTEXT,CLEAN,B2_EXACT_GLOBAL,150,0.3377777777777778,0.4744444444444444,0.08,0.03333333333333333,0.0
OPCODE_CONTEXT,CLEAN,B3_HARD_COMPONENT,150,0.38666666666666666,0.43866666666666676,0.08,0.08,0.0
OPCODE_CONTEXT,CLEAN,B6_PARENTSET_GRAPH,150,0.36666666666666664,0.4744444444444444,0.08,0.04666666666666667,2.1666666666666665
