query_id,parent_count,method,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
Q0001,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0001,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0001,2,SINGLE_CONTEXT,0.8333333333333334,1.0,1.0,1.0,True,False
Q0001,2,MEAN_REGRET,0.8333333333333334,1.0,1.0,1.0,True,False
Q0001,2,MEDIAN_REGRET,0.8333333333333334,1.0,1.0,1.0,True,False
Q0001,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0002,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0002,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0002,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0002,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0002,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0002,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0003,2,SINGLE_3GRAM,0.8333333333333334,1.0,1.0,1.0,True,False
Q0003,2,SINGLE_STRUCT,0.6666666666666666,1.0,1.0,1.0,True,False
Q0003,2,SINGLE_CONTEXT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0003,2,MEAN_REGRET,0.8333333333333334,1.0,1.0,1.0,True,False
Q0003,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0003,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0004,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0004,2,SINGLE_STRUCT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0004,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0004,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0004,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0004,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0005,2,SINGLE_3GRAM,0.6666666666666666,1.0,1.0,1.0,True,False
Q0005,2,SINGLE_STRUCT,0.8333333333333334,1.0,1.0,1.0,True,False
Q0005,2,SINGLE_CONTEXT,1.0,1.0,1.0,1.0,True,True
Q0005,2,MEAN_REGRET,1.0,1.0,1.0,1.0,True,True
Q0005,2,MEDIAN_REGRET,1.0,1.0,1.0,1.0,True,True
Q0005,2,MEAN_RANK,0.16666666666666666,0.5,0.5,0.5,False,False
Q0006,2,SINGLE_3GRAM,1.0,1.0,1.0,1.0,True,True
Q0006,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0006,2,SINGLE_CONTEXT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0006,2,MEAN_REGRET,0.8333333333333334,1.0,1.0,1.0,True,False
Q0006,2,MEDIAN_REGRET,0.8333333333333334,1.0,1.0,1.0,True,False
Q0006,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0007,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0007,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0007,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0007,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0007,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0007,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0008,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0008,2,SINGLE_STRUCT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0008,2,SINGLE_CONTEXT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0008,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0008,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0008,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0009,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0009,2,SINGLE_STRUCT,0.5,0.5,0.5,0.5,False,False
Q0009,2,SINGLE_CONTEXT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0009,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0009,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0009,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0010,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0010,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0010,2,SINGLE_CONTEXT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0010,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0010,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0010,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0011,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0011,2,SINGLE_STRUCT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0011,2,SINGLE_CONTEXT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0011,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0011,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0011,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0012,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0012,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0012,2,SINGLE_CONTEXT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0012,2,MEAN_REGRET,0.6666666666666666,1.0,1.0,1.0,True,False
Q0012,2,MEDIAN_REGRET,0.6666666666666666,1.0,1.0,1.0,True,False
Q0012,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0013,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0013,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0013,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0013,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0013,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0013,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0014,2,SINGLE_3GRAM,0.16666666666666666,0.5,0.5,0.5,False,False
Q0014,2,SINGLE_STRUCT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0014,2,SINGLE_CONTEXT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0014,2,MEAN_REGRET,0.16666666666666666,0.5,0.5,0.5,False,False
Q0014,2,MEDIAN_REGRET,0.16666666666666666,0.5,0.5,0.5,False,False
Q0014,2,MEAN_RANK,0.16666666666666666,0.5,0.5,0.5,False,False
Q0015,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0015,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0015,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0015,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0015,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0015,2,MEAN_RANK,0.16666666666666666,0.5,0.5,0.5,False,False
Q0016,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0016,2,SINGLE_STRUCT,0.8333333333333334,1.0,1.0,1.0,True,False
Q0016,2,SINGLE_CONTEXT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0016,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0016,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0016,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0017,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0017,2,SINGLE_STRUCT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0017,2,SINGLE_CONTEXT,0.16666666666666666,0.5,0.5,0.5,False,False
Q0017,2,MEAN_REGRET,0.16666666666666666,0.5,0.5,0.5,False,False
Q0017,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0017,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0018,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0018,2,SINGLE_STRUCT,0.5,0.5,0.5,0.5,False,False
Q0018,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0018,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0018,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0018,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0019,2,SINGLE_3GRAM,1.0,1.0,1.0,1.0,True,True
Q0019,2,SINGLE_STRUCT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0019,2,SINGLE_CONTEXT,0.8333333333333334,1.0,1.0,1.0,True,False
Q0019,2,MEAN_REGRET,0.8333333333333334,1.0,1.0,1.0,True,False
Q0019,2,MEDIAN_REGRET,0.8333333333333334,1.0,1.0,1.0,True,False
Q0019,2,MEAN_RANK,0.3333333333333333,0.5,0.5,0.5,False,False
Q0020,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0020,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0020,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0020,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0020,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0020,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0021,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0021,2,SINGLE_STRUCT,0.5,0.5,0.5,0.5,False,False
Q0021,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0021,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0021,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0021,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0022,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0022,2,SINGLE_STRUCT,0.5,0.5,0.5,0.5,False,False
Q0022,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0022,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0022,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0022,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0023,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0023,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0023,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0023,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0023,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0023,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0024,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0024,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0024,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0024,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0024,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0024,2,MEAN_RANK,0.16666666666666666,0.5,0.5,0.5,False,False
Q0025,2,SINGLE_3GRAM,0.5,0.5,0.5,0.5,False,False
Q0025,2,SINGLE_STRUCT,0.5,0.5,0.5,0.5,False,False
Q0025,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0025,2,MEAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0025,2,MEDIAN_REGRET,0.5,0.5,0.5,0.5,False,False
Q0025,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0026,2,SINGLE_3GRAM,0.3333333333333333,0.5,0.5,0.5,False,False
Q0026,2,SINGLE_STRUCT,0.3333333333333333,0.5,0.5,0.5,False,False
Q0026,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0026,2,MEAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0026,2,MEDIAN_REGRET,0.3333333333333333,0.5,0.5,0.5,False,False
Q0026,2,MEAN_RANK,0.5,0.5,0.5,0.5,False,False
Q0027,2,SINGLE_3GRAM,0.0,0.0,0.0,0.0,False,False
Q0027,2,SINGLE_STRUCT,0.0,0.0,0.0,0.0,False,False
Q0027,2,SINGLE_CONTEXT,0.0,0.0,0.0,0.0,False,False
Q0027,2,MEAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0027,2,MEDIAN_REGRET,0.0,0.0,0.0,0.0,False,False
Q0027,2,MEAN_RANK,0.0,0.0,0.0,0.0,False,False
Q0028,2,SINGLE_3GRAM,1.0,1.0,1.0,1.0,True,True
Q0028,2,SINGLE_STRUCT,1.0,1.0,1.0,1.0,True,True
Q0028,2,SINGLE_CONTEXT,0.5,0.5,0.5,0.5,False,False
Q0028,2,MEAN_REGRET,1.0,1.0,1.0,1.0,True,True
Q0028,2,MEDIAN_REGRET,1.0,1.0,1.0,1.0,True,True
