method,parent_count,queries,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
MEAN_RANK,2,100,0.3483333333333334,0.435,0.435,0.435,0.11,0.08
MEAN_RANK,3,100,0.35555555555555574,0.5066666666666666,0.5066666666666666,0.5066666666666666,0.04,0.02
MEAN_REGRET,2,100,0.37833333333333335,0.47,0.47,0.47,0.23,0.09
MEAN_REGRET,3,100,0.34222222222222226,0.4966666666666666,0.4966666666666666,0.4966666666666666,0.05,0.02
MEDIAN_REGRET,2,100,0.3616666666666667,0.45,0.45,0.45,0.2,0.09
MEDIAN_REGRET,3,100,0.3311111111111112,0.46999999999999986,0.46999999999999986,0.46999999999999986,0.04,0.02
SINGLE_3GRAM,2,100,0.32333333333333336,0.41,0.41,0.41,0.14,0.09
SINGLE_3GRAM,3,100,0.2733333333333333,0.4099999999999999,0.4099999999999999,0.4099999999999999,0.02,0.0
SINGLE_CONTEXT,2,100,0.325,0.415,0.415,0.415,0.11,0.05
SINGLE_CONTEXT,3,100,0.3266666666666667,0.4933333333333333,0.4933333333333333,0.4933333333333333,0.04,0.01
SINGLE_STRUCT,2,100,0.32,0.43,0.43,0.43,0.16,0.08
SINGLE_STRUCT,3,100,0.26555555555555554,0.4366666666666666,0.4366666666666666,0.4366666666666666,0.04,0.02
MEAN_RANK,ALL,200,0.35194444444444445,0.47083333333333327,0.47083333333333327,0.47083333333333327,0.075,0.05
MEAN_REGRET,ALL,200,0.3602777777777778,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.14,0.055
MEDIAN_REGRET,ALL,200,0.34638888888888886,0.46,0.46,0.46,0.12,0.055
SINGLE_3GRAM,ALL,200,0.29833333333333334,0.41,0.41,0.41,0.08,0.045
SINGLE_CONTEXT,ALL,200,0.3258333333333333,0.45416666666666666,0.45416666666666666,0.45416666666666666,0.075,0.03
SINGLE_STRUCT,ALL,200,0.2927777777777778,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.1,0.05
