query_id,parent_count,condition,method,cut_edges,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact
Q0092,2,CLEAN,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0092,2,CLEAN,F2_FUSED_HIERARCHICAL,1,0.3333333333333333,0.5,0.5,0.5,False,False
Q0092,2,CLEAN,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0092,2,DROP30,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0092,2,DROP30,F2_FUSED_HIERARCHICAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0092,2,DROP30,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0092,2,BRIDGE,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0092,2,BRIDGE,F2_FUSED_HIERARCHICAL,1,0.3333333333333333,0.5,0.5,0.5,False,False
Q0092,2,BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0092,2,DROP30_BRIDGE,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0092,2,DROP30_BRIDGE,F2_FUSED_HIERARCHICAL,2,0.3333333333333333,0.5,0.5,0.5,False,False
Q0092,2,DROP30_BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0048,2,CLEAN,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0048,2,CLEAN,F2_FUSED_HIERARCHICAL,0,0.5,0.5,0.5,0.5,False,False
Q0048,2,CLEAN,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0048,2,DROP30,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0048,2,DROP30,F2_FUSED_HIERARCHICAL,0,0.5,0.5,0.5,0.5,False,False
Q0048,2,DROP30,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0048,2,BRIDGE,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0048,2,BRIDGE,F2_FUSED_HIERARCHICAL,4,0.5,0.5,0.5,0.5,False,False
Q0048,2,BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0048,2,DROP30_BRIDGE,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0048,2,DROP30_BRIDGE,F2_FUSED_HIERARCHICAL,3,0.5,0.5,0.5,0.5,False,False
Q0048,2,DROP30_BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0080,2,CLEAN,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0080,2,CLEAN,F2_FUSED_HIERARCHICAL,1,0.3333333333333333,0.5,0.5,0.5,False,False
Q0080,2,CLEAN,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0080,2,DROP30,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0080,2,DROP30,F2_FUSED_HIERARCHICAL,1,0.3333333333333333,0.5,0.5,0.5,False,False
Q0080,2,DROP30,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0080,2,BRIDGE,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0080,2,BRIDGE,F2_FUSED_HIERARCHICAL,6,0.3333333333333333,0.5,0.5,0.5,False,False
Q0080,2,BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0080,2,DROP30_BRIDGE,F1_FUSED_GLOBAL,0,0.3333333333333333,0.5,0.5,0.5,False,False
Q0080,2,DROP30_BRIDGE,F2_FUSED_HIERARCHICAL,2,0.3333333333333333,0.5,0.5,0.5,False,False
Q0080,2,DROP30_BRIDGE,ORACLE_FUSED_PARENTSET,0,0.8333333333333334,1.0,1.0,1.0,True,False
Q0094,2,CLEAN,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0094,2,CLEAN,F2_FUSED_HIERARCHICAL,0,1.0,1.0,1.0,1.0,True,True
Q0094,2,CLEAN,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0094,2,DROP30,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0094,2,DROP30,F2_FUSED_HIERARCHICAL,0,1.0,1.0,1.0,1.0,True,True
Q0094,2,DROP30,ORACLE_FUSED_PARENTSET,0,1.0,1.0,1.0,1.0,True,True
Q0094,2,BRIDGE,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0094,2,BRIDGE,F2_FUSED_HIERARCHICAL,3,1.0,1.0,1.0,1.0,True,True
Q0094,2,BRIDGE,ORACLE_FUSED_PARENTSET,3,1.0,1.0,1.0,1.0,True,True
Q0094,2,DROP30_BRIDGE,F1_FUSED_GLOBAL,0,1.0,1.0,1.0,1.0,True,True
Q0094,2,DROP30_BRIDGE,F2_FUSED_HIERARCHICAL,6,1.0,1.0,1.0,1.0,True,True
Q0094,2,DROP30_BRIDGE,ORACLE_FUSED_PARENTSET,6,1.0,1.0,1.0,1.0,True,True
Q0090,2,CLEAN,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0090,2,CLEAN,F2_FUSED_HIERARCHICAL,0,0.5,0.5,0.5,0.5,False,False
Q0090,2,CLEAN,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0090,2,DROP30,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0090,2,DROP30,F2_FUSED_HIERARCHICAL,0,0.5,0.5,0.5,0.5,False,False
Q0090,2,DROP30,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0090,2,BRIDGE,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0090,2,BRIDGE,F2_FUSED_HIERARCHICAL,3,0.5,0.5,0.5,0.5,False,False
Q0090,2,BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0090,2,DROP30_BRIDGE,F1_FUSED_GLOBAL,0,0.5,0.5,0.5,0.5,False,False
Q0090,2,DROP30_BRIDGE,F2_FUSED_HIERARCHICAL,3,0.5,0.5,0.5,0.5,False,False
Q0090,2,DROP30_BRIDGE,ORACLE_FUSED_PARENTSET,0,0.5,1.0,1.0,1.0,True,False
Q0069,2,CLEAN,F1_FUSED_GLOBAL,0,0.8333333333333334,1.0,1.0,1.0,True,False
Q0069,2,CLEAN,F2_FUSED_HIERARCHICAL,1,0.8333333333333334,1.0,1.0,1.0,True,False
Q0069,2,CLEAN,ORACLE_FUSED_PARENTSET,1,0.8333333333333334,1.0,1.0,1.0,True,False
Q0069,2,DROP30,F1_FUSED_GLOBAL,0,0.8333333333333334,1.0,1.0,1.0,True,False
Q0069,2,DROP30,F2_FUSED_HIERARCHICAL,0,0.8333333333333334,1.0,1.0,1.0,True,False
Q0069,2,DROP30,ORACLE_FUSED_PARENTSET,0,0.8333333333333334,1.0,1.0,1.0,True,False
Q0069,2,BRIDGE,F1_FUSED_GLOBAL,0,0.8333333333333334,1.0,1.0,1.0,True,False
Q0069,2,BRIDGE,F2_FUSED_HIERARCHICAL,3,0.8333333333333334,1.0,1.0,1.0,True,False
Q0069,2,BRIDGE,ORACLE_FUSED_PARENTSET,3,0.8333333333333334,1.0,1.0,1.0,True,False
