condition,parent_count,method,queries,component_accuracy,parent_precision,parent_recall,parent_f1,parent_set_exact,component_set_exact,mean_cut_edges
BRIDGE,ALL,F1_FUSED_GLOBAL,150,0.37037037037037035,0.5044444444444444,0.5044444444444444,0.5044444444444444,0.14666666666666667,0.05333333333333334,0.0
BRIDGE,ALL,F2_FUSED_HIERARCHICAL,150,0.36333333333333334,0.5044444444444444,0.5044444444444444,0.5044444444444444,0.14666666666666667,0.09333333333333334,2.2333333333333334
BRIDGE,ALL,ORACLE_FUSED_PARENTSET,150,0.6381481481481481,1.0,1.0,1.0,1.0,0.21333333333333335,2.033333333333333
CLEAN,ALL,F1_FUSED_GLOBAL,150,0.37037037037037035,0.5044444444444444,0.5044444444444444,0.5044444444444444,0.14666666666666667,0.05333333333333334,0.0
CLEAN,ALL,F2_FUSED_HIERARCHICAL,150,0.40518518518518515,0.5044444444444444,0.5044444444444444,0.5044444444444444,0.14666666666666667,0.1,1.18
CLEAN,ALL,ORACLE_FUSED_PARENTSET,150,0.7129629629629629,1.0,1.0,1.0,1.0,0.29333333333333333,0.4866666666666667
DROP30,ALL,F1_FUSED_GLOBAL,150,0.37037037037037035,0.5044444444444444,0.5044444444444444,0.5044444444444444,0.14666666666666667,0.05333333333333334,0.0
DROP30,ALL,F2_FUSED_HIERARCHICAL,150,0.39925925925925926,0.5044444444444444,0.5044444444444444,0.5044444444444444,0.14666666666666667,0.08,0.88
DROP30,ALL,ORACLE_FUSED_PARENTSET,150,0.7033333333333334,1.0,1.0,1.0,1.0,0.22,0.36
DROP30_BRIDGE,ALL,F1_FUSED_GLOBAL,150,0.37037037037037035,0.5044444444444444,0.5044444444444444,0.5044444444444444,0.14666666666666667,0.05333333333333334,0.0
DROP30_BRIDGE,ALL,F2_FUSED_HIERARCHICAL,150,0.3722222222222222,0.5044444444444444,0.5044444444444444,0.5044444444444444,0.14666666666666667,0.08666666666666667,2.14
DROP30_BRIDGE,ALL,ORACLE_FUSED_PARENTSET,150,0.6592592592592592,1.0,1.0,1.0,1.0,0.18,1.7733333333333334
BRIDGE,2,F1_FUSED_GLOBAL,75,0.38222222222222224,0.48,0.48,0.48,0.24,0.09333333333333334,0.0
BRIDGE,3,F1_FUSED_GLOBAL,75,0.35851851851851846,0.5288888888888889,0.5288888888888889,0.5288888888888889,0.05333333333333334,0.013333333333333334,0.0
BRIDGE,2,F2_FUSED_HIERARCHICAL,75,0.3977777777777778,0.48,0.48,0.48,0.24,0.13333333333333333,2.3466666666666667
BRIDGE,3,F2_FUSED_HIERARCHICAL,75,0.3288888888888888,0.5288888888888889,0.5288888888888889,0.5288888888888889,0.05333333333333334,0.05333333333333334,2.12
BRIDGE,2,ORACLE_FUSED_PARENTSET,75,0.7044444444444444,1.0,1.0,1.0,1.0,0.3333333333333333,1.3466666666666667
BRIDGE,3,ORACLE_FUSED_PARENTSET,75,0.5718518518518519,1.0,1.0,1.0,1.0,0.09333333333333334,2.72
CLEAN,2,F1_FUSED_GLOBAL,75,0.38222222222222224,0.48,0.48,0.48,0.24,0.09333333333333334,0.0
CLEAN,3,F1_FUSED_GLOBAL,75,0.35851851851851846,0.5288888888888889,0.5288888888888889,0.5288888888888889,0.05333333333333334,0.013333333333333334,0.0
CLEAN,2,F2_FUSED_HIERARCHICAL,75,0.41333333333333333,0.48,0.48,0.48,0.24,0.14666666666666667,0.8533333333333334
CLEAN,3,F2_FUSED_HIERARCHICAL,75,0.397037037037037,0.5288888888888889,0.5288888888888889,0.5288888888888889,0.05333333333333334,0.05333333333333334,1.5066666666666666
CLEAN,2,ORACLE_FUSED_PARENTSET,75,0.7533333333333333,1.0,1.0,1.0,1.0,0.41333333333333333,0.25333333333333335
