fresh_id,project_id,slug,title,author,role,license,categories,display_categories,downloads,date_created,date_modified,valid_fabric_version_count,current_version_id,current_version_number,current_date_published,current_filename,current_url,current_sha1,current_sha512,historical_version_ids,historical_version_numbers,historical_dates,historical_filenames,historical_urls,historical_sha1,historical_sha512
FMOD0001,ou65sqcG,-empty-hand-,-Empty Hand-,jfyx2025,TARGET_MOD,MIT,"[""adventure"", ""fabric"", ""management""]","[""adventure"", ""fabric"", ""management""]",78,2026-07-16T21:52:27.903668+00:00,2026-08-09T07:12:56.842516+00:00,4,cDDF6G3t,1.20.1-fabric-1.0.1,2026-08-09T07:12:57.146448Z,EmptyHand-1.20.1-fabric-1.0.1.jar,https://cdn.modrinth.com/data/ou65sqcG/versions/cDDF6G3t/EmptyHand-1.20.1-fabric-1.0.1.jar,b1efd9cd2a7ae851de04dddd3c6ef10df2186bcf,299de74b50d1510746e54b309640f31305c57185edc68958db494455fa57b4855e698087b12a7828aaf050aee3a88df556a4f3c1a5f11021252c2d78b0444d0b,"[""NKfar19f"", ""bUJ7d0jM"", ""vSbgx9lF""]","[""1.21.1-fabric-1.0.1"", ""1.21.11-fabric-1.0.1"", ""26.2-fabric-1.0.1""]","[""2026-08-02T03:21:47.624062Z"", ""2026-08-02T03:21:35.687347Z"", ""2026-08-02T03:21:24.407604Z""]","[""EmptyHand-1.21.1-fabric-1.0.1.jar"", ""EmptyHand-1.21.11-fabric-1.0.1.jar"", ""EmptyHand-26.2-fabric-1.0.1.jar""]","[""https://cdn.modrinth.com/data/ou65sqcG/versions/NKfar19f/EmptyHand-1.21.1-fabric-1.0.1.jar"", ""https://cdn.modrinth.com/data/ou65sqcG/versions/bUJ7d0jM/EmptyHand-1.21.11-fabric-1.0.1.jar"", ""https://cdn.modrinth.com/data/ou65sqcG/versions/vSbgx9lF/EmptyHand-26.2-fabric-1.0.1.jar""]","[""f93f9ccb1bc62f6a94b994fc3a2a3f1c9347f11d"", ""f32d239a1e46ce46d7532b594e7c653743a4be51"", ""3f18844552f4e8e801fbad76507504aa99fa3e16""]","[""18a7200832c6bcbf3698ffcd34fc3abb366ddbe8a377a1b8b9bf6d6f122833a28fb5e47dbd3d6d4ce22ed5171b28f3e0922712293c07982a4bce1a55bea2bb77"", ""bf1bae2613b0fccb4e9e7de9de646530fb2ad62557f2aa6fba5d7ff61514430d79396ebe5cea6454733cbc4a89c467b98a648c0314b5981ca3d35ca141b54cb7"", ""28aa1bfa0622430e8fda8ed70a1607651304ae43db655a8fd13adde860e496b3d317160051a8c4e94a305eb838c9a7b192b954e4b0ae8c7fcead8b2db8a48c51""]"
FMOD0002,pvw6KZeZ,pillager-deterrent,Pillager Deterrent,will-y,TARGET_MOD,MIT,"[""equipment"", ""fabric"", ""forge"", ""neoforge"", ""utility""]","[""equipment"", ""fabric"", ""forge"", ""neoforge"", ""utility""]",1630,2025-03-24T20:44:19.590039+00:00,2026-08-12T03:37:29.536840+00:00,10,dt3uxfQ4,1.20.1-1.1.0,2026-08-12T03:37:29.938317Z,pillager-deterrent-1.20.1-1.1.0.jar,https://cdn.modrinth.com/data/pvw6KZeZ/versions/dt3uxfQ4/pillager-deterrent-1.20.1-1.1.0.jar,66165f9a97f4deb6c04edb798fc4114006186514,dcdb48b17a97b3c7c41084facb93a012ba003d5482c658bd8671b4d48ca54a306dd00b334bc7696f3579b7db703d3eaf29b391eb662c51b169b6a4532f11572f,"[""Jlib30fO"", ""8RRjwtxl"", ""LIVM3gNO""]","[""1.21.1-1.1.0"", ""1.20.1-1.0.1"", ""26.2.2.1""]","[""2026-08-12T03:30:32.673205Z"", ""2026-08-08T20:26:09.837379Z"", ""2026-08-08T20:23:35.225902Z""]","[""pillager-deterrent-1.21.1-1.1.0.jar"", ""pillager-deterrent-1.20.1-1.0.1.jar"", ""pillager_deterrent-fabric-26.2-26.2.2.1.jar""]","[""https://cdn.modrinth.com/data/pvw6KZeZ/versions/Jlib30fO/pillager-deterrent-1.21.1-1.1.0.jar"", ""https://cdn.modrinth.com/data/pvw6KZeZ/versions/8RRjwtxl/pillager-deterrent-1.20.1-1.0.1.jar"", ""https://cdn.modrinth.com/data/pvw6KZeZ/versions/LIVM3gNO/pillager_deterrent-fabric-26.2-26.2.2.1.jar""]","[""e30e69825dcfa481d8e4adde9bc4a1928e08823d"", ""bba1f63501411766f987239155e5ad53f3bb4fb1"", ""5bdb1b38f7c82ce3fb946ddcbf8ed16a5be1ce9f""]","[""7c8b23c81ce223a2db522b0bfc8cd598414a567b7740efa80335f69bef9079fe4a2fefc57d5da31b399df14607cca989095dcadbf38dfd75c8f04b97e2d1148f"", ""d1a3765796b7ab6f875501708ab89e415420fa2fa15f6de035e805b649143642bca329afd3c21146698eeb054e1285d7cd14f15d11a4e029d93e8e71141e6dd9"", ""6cf8966ddd5ce2fb0cd42398f9a19ab399d9a454ddcf7c0aad5e3897ac09cd2c1bc398b082ee204626b0e232e62da94a2ab191bfe84846110228870527b52f70""]"
FMOD0003,jn24bUJo,skeleton-ai-fix,Skeleton AI Fix,Fuzs,TARGET_MOD,MPL-2.0,"[""fabric"", ""forge"", ""game-mechanics"", ""mobs"", ""neoforge"", ""optimization"", ""utility""]","[""fabric"", ""forge"", ""game-mechanics"", ""mobs"", ""neoforge""]",844434,2025-05-05T18:10:28.112861+00:00,2026-06-19T16:05:00.495699+00:00,16,v3akWq27,26.2.0,2026-06-19T16:05:00.907306Z,SkeletonAIFix-v26.2.0-mc26.2.x-Fabric.jar,https://cdn.modrinth.com/data/jn24bUJo/versions/v3akWq27/SkeletonAIFix-v26.2.0-mc26.2.x-Fabric.jar,b1526810d2ec15336135dea07f3f95793aff6ce5,0b2a1c9b3971ce00538a711de3ec48c032b9d13cdf20002113921156fecfb9a5cb99eeb126ed5d24644141a930bdda630c9a8b34cd2c93ada8dbaa47ce792570,"[""LtSqON3b"", ""kf7gMwfX"", ""Kde5eDAb""]","[""26.1.0"", ""21.11.0"", ""21.10.0""]","[""2026-04-28T16:07:43.483180Z"", ""2025-12-15T14:46:54.160151Z"", ""2025-10-08T20:19:34.740613Z""]","[""SkeletonAIFix-v26.1.0-mc26.1.x-Fabric.jar"", ""SkeletonAIFix-v21.11.0-mc1.21.11-Fabric.jar"", ""SkeletonAIFix-v21.10.0+mc1.21.10-Fabric.jar""]","[""https://cdn.modrinth.com/data/jn24bUJo/versions/LtSqON3b/SkeletonAIFix-v26.1.0-mc26.1.x-Fabric.jar"", ""https://cdn.modrinth.com/data/jn24bUJo/versions/kf7gMwfX/SkeletonAIFix-v21.11.0-mc1.21.11-Fabric.jar"", ""https://cdn.modrinth.com/data/jn24bUJo/versions/Kde5eDAb/SkeletonAIFix-v21.10.0%2Bmc1.21.10-Fabric.jar""]","[""1158651f1d0e52d21f06afd4579fca62931c3153"", ""90759fe51f93e10614d2c5e3894b1a6197c28f6c"", ""c1e59e003d538780f7da046fbdae0fb6f891e53b""]","[""a6c84bd3c8ae63baa4663aaf9aa1e39471f5048bc0e90bcfb807afb3923cbb0c32b140b3e4374601e2d1819c2fa1b738432ef8e9fe54a29c8d10bbe4b706999d"", ""9da3bad786b5ebe94551a778d4c6cb6dc02c1de1da9868e675aabc6e7fe92e470d44c515989e7c473db1cbca1ff2814062a0870b00c663dcb1b470ccd03c9705"", ""6267ff4cf662bc20805eddc5661470c1d0fe491dd3515dd896886f7b8715b83d53cd1d8409f9a7a660a5addf2947f63a21ec8a60608f010fd978efd5554a72c0""]"
FMOD0004,HtZJrAVB,excamate,ExcaMate,SkellyX,TARGET_MOD,MIT,"[""fabric"", ""game-mechanics"", ""technology"", ""utility""]","[""fabric"", ""game-mechanics"", ""technology"", ""utility""]",334,2026-04-29T22:06:53.899580+00:00,2026-08-09T14:04:10.317090+00:00,5,tqLJR6RQ,1.3.0,2026-08-09T14:04:10.711288Z,excamate-1.3.0.jar,https://cdn.modrinth.com/data/HtZJrAVB/versions/tqLJR6RQ/excamate-1.3.0.jar,733e0e5c9719d0a9244777a322ba7f2e3b1f3346,37d4e8c45723a09dfaf842cd3a42457ce8687ac13022638e2b35ae6b2efc60e29b5d740d310536c4b6bf904f748b1c7e0bde034089fd8bdc810e54e7642cb53a,"[""5gdROB0x"", ""gs62LOlx"", ""j8HOYirD""]","[""1.2.0"", ""1.1.0"", ""1.0.1""]","[""2026-05-10T08:52:37.093874Z"", ""2026-05-09T12:27:01.703042Z"", ""2026-05-03T08:22:27.524354Z""]","[""excamate-1.2.0.jar"", ""excamate-1.1.0.jar"", ""excamate-1.0.1.jar""]","[""https://cdn.modrinth.com/data/HtZJrAVB/versions/5gdROB0x/excamate-1.2.0.jar"", ""https://cdn.modrinth.com/data/HtZJrAVB/versions/gs62LOlx/excamate-1.1.0.jar"", ""https://cdn.modrinth.com/data/HtZJrAVB/versions/j8HOYirD/excamate-1.0.1.jar""]","[""1bef1787679b31c1d7d8ef2ff2cf0ee1bfedb01a"", ""8172b4bf491a03749ed6c021433bb36d20e6bf7d"", ""b03aead4cc48bbac3a0fe68f7dcf1289103ac506""]","[""9cb95fa20bfd2574022873543d755262a76d1345afce411646b3d7702d53fd2f9986208e173895417c4c2d4cfe4e08fe63771cfccfe5546c96c3095f5e809830"", ""e01e34ac0e3097a61212ed18808c88338449b159dbf16c1d4b637ec778619b425e6aa60db7b0c5516368718f843c3b2c5654d38d1be3ce50bc18ca02b408a1d0"", ""1e07655f94596a40364182b699c216f29aa61168d89a7eb08955ba71db39ce3bb82fdb9e477b0e7bc9646a59ba248e3f82e3f4b8297ca23a287237d5840197ab""]"
FMOD0005,8YVMtzCO,create-realism,Create Realism,stacode,TARGET_MOD,MIT,"[""fabric"", ""forge"", ""game-mechanics"", ""neoforge"", ""technology"", ""transportation""]","[""fabric"", ""forge"", ""game-mechanics"", ""neoforge"", ""technology"", ""transportation""]",25204,2025-02-12T01:22:06.717225+00:00,2026-08-06T09:09:28.174907+00:00,22,aw3MUigR,0.6.6,2026-08-06T09:07:08.993822Z,realism-0.6.6-mc1.20.1-fabric.jar,https://cdn.modrinth.com/data/8YVMtzCO/versions/aw3MUigR/realism-0.6.6-mc1.20.1-fabric.jar,816c7d4729357104eb647a760fe88813e8fde277,4564a8fb1553f79955154001db611b707566d3fb92347ad52603a57c03abb8faf1246ebc1a09bc6d5f2788fe55ab1790d3387b5e41f52ddc79022ba2cb7f95c6,"[""7AK843Km"", ""MU09ZTtd"", ""T1v8YBHE""]","[""0.6.5"", ""0.6.4"", ""0.6.3""]","[""2026-08-05T19:53:25.307918Z"", ""2026-06-20T19:48:37.642471Z"", ""2026-04-15T20:16:50.095394Z""]","[""realism-0.6.5-mc1.20.1-fabric.jar"", ""realism-0.6.4-mc1.20.1-fabric.jar"", ""realism-0.6.3-mc1.20.1-fabric.jar""]","[""https://cdn.modrinth.com/data/8YVMtzCO/versions/7AK843Km/realism-0.6.5-mc1.20.1-fabric.jar"", ""https://cdn.modrinth.com/data/8YVMtzCO/versions/MU09ZTtd/realism-0.6.4-mc1.20.1-fabric.jar"", ""https://cdn.modrinth.com/data/8YVMtzCO/versions/T1v8YBHE/realism-0.6.3-mc1.20.1-fabric.jar""]","[""3ae65cf82c24883ca39c3f9c30fa433e40f6ede0"", ""f78dac3849cd55191661709bc7eebb21d72bd038"", ""b703667aef7d69d6dd0aa8c422784d20710b4592""]","[""6b6c5821379f8f3490e079aea52448f70dfaf88ff743869c50302efcd1aaab0bb8188709f360782aaabea9ee54e20df224bf14975305c3cf400211b14fa27a65"", ""581421d9fa37ca7931b969465df580928346df188c3220a89885fdd78d3ea7f677b7c600d036d9c9b095fb03081fbf520db2477e7749be8d4d456bf494d002e4"", ""0a73df375c258586f8a8104ab15a94ba1e8392bc0364a4349470f3492fb802313ba2f71b380d3555bd552dc421dbb7449cd91541946d42cce7b1f99a75e4b956""]"
FMOD0006,Tx85779b,reinforced-barrels,Reinforced Barrels,Aton-Kish,TARGET_MOD,MIT,"[""cursed"", ""fabric"", ""storage""]","[""cursed"", ""fabric"", ""storage""]",1217223,2022-12-31T17:43:40.244846+00:00,2026-02-06T20:27:10.111925+00:00,23,vGZTFNe8,2.7.5+1.21.11,2026-02-06T20:27:11.421200Z,reinforced-barrels-2.7.5+1.21.11.jar,https://cdn.modrinth.com/data/Tx85779b/versions/vGZTFNe8/reinforced-barrels-2.7.5%2B1.21.11.jar,98580f40ca49baff3eb553cc88783704f34d926b,edd897a3e7e08c08cf609947f11ab5356d69d09e2b7151ecf768b354afe269963effb4315757f1d3c6708d2ed5e5d4cab3954754a28c9c20dc72e3b3ec4068e0,"[""vHo8oelp"", ""3GkJlgYo"", ""oS8qIab2""]","[""2.7.4+1.21.10"", ""2.7.3+1.21.8"", ""2.7.2+1.21.5""]","[""2025-11-15T15:14:26.823815Z"", ""2025-07-26T08:49:19.568610Z"", ""2025-04-16T13:37:13.407223Z""]","[""reinforced-barrels-2.7.4+1.21.10.jar"", ""reinforced-barrels-2.7.3+1.21.8.jar"", ""reinforced-barrels-2.7.2+1.21.5.jar""]","[""https://cdn.modrinth.com/data/Tx85779b/versions/vHo8oelp/reinforced-barrels-2.7.4%2B1.21.10.jar"", ""https://cdn.modrinth.com/data/Tx85779b/versions/3GkJlgYo/reinforced-barrels-2.7.3%2B1.21.8.jar"", ""https://cdn.modrinth.com/data/Tx85779b/versions/oS8qIab2/reinforced-barrels-2.7.2%2B1.21.5.jar""]","[""5af4b2f711379ae5bf66b299c5cdc21f204a63af"", ""3928815441e357d1779cebc079798aca636d8215"", ""dce170223ca65e45b121c28f163016b35dbf681b""]","[""9748469aebe8416574894957a86df95b6f49a995c3f2c2532969ff5a6a09a43078a3923c5c306d737c69c12777f951b787cc5a2ec6a55e38e85cd0739af45eda"", ""8285fe98de506435ab350bbea995c762679ad5431412b680cbe34da51d67ec1acc3a86ee4fa42f92ba5be84ed587443130fed21b2d34b1d742844ade99d286fc"", ""15b0d56d1c06c11a94553372d1018d963d5a3c1c8ff8013bb96ee6b65f6eab22de7f62d9aa25bb3fa02abf5e1bc4dfb17cce8c28870140619e6ab4d921161f91""]"
FMOD0007,d0f1a75r,simple-uncrafting-table,Simple Uncrafting Table,pitan76,TARGET_MOD,MIT,"[""fabric"", ""forge"", ""neoforge"", ""utility""]","[""fabric"", ""forge"", ""neoforge"", ""utility""]",449722,2022-11-14T22:40:08.404507+00:00,2026-04-06T13:32:43.295357+00:00,34,Tv5AwjFD,1.5.6-fabric,2026-04-06T13:32:25.820385Z,UncraftingTable-fabric-1.5.6.jar,https://cdn.modrinth.com/data/d0f1a75r/versions/Tv5AwjFD/UncraftingTable-fabric-1.5.6.jar,1ed7876a757a040cb076e80ed6edeb37bc02144f,27004a8d1fd45b0c452d28a6cac9bd2d77bf0126c6e5ae4897bcc7b99597c572f7157993d737509508ded3e3c69484add2adc358df4ad2e7dc1d7df199b4e1bf,"[""3eU1mije"", ""LXliTCS0"", ""LYRPe9S3""]","[""1.5.4-fabric"", ""1.5.3-fabric"", ""1.5.2-fabric""]","[""2025-10-20T12:47:22.237798Z"", ""2025-09-17T08:59:32.791404Z"", ""2025-06-07T07:09:50.960429Z""]","[""UncraftingTable-fabric-1.5.4.jar"", ""UncraftingTable-fabric-1.5.3.jar"", ""UncraftingTable-fabric-1.5.2.jar""]","[""https://cdn.modrinth.com/data/d0f1a75r/versions/3eU1mije/UncraftingTable-fabric-1.5.4.jar"", ""https://cdn.modrinth.com/data/d0f1a75r/versions/LXliTCS0/UncraftingTable-fabric-1.5.3.jar"", ""https://cdn.modrinth.com/data/d0f1a75r/versions/LYRPe9S3/UncraftingTable-fabric-1.5.2.jar""]","[""9ad7ddb12de0a706a6d8476765834a76cbd9824e"", ""9fd78fa0f6a8283b78d7118bad30edb856b0db2a"", ""78e42f94e703a0d8070683e4ab1a831e00336a58""]","[""e45f84750bd07c941669f7559fe908b75b1d6e4718a5ff55953b59afa43c23085b112a1f9634c98a26d423b1fe319b691395a6700f88ffdce92a044acb24d2b8"", ""f0797f93d856b7aa19373a86f7860e8e5e32fd0c1d53d0cf7aaa1035954fc16f276326ab8e0d0fd414811de23cb53ee932d18c4d9020d646e4b8551d6b0de3a7"", ""b6a0ba4c9f441742c84b698d421d1c3cc256cc3e2f0151d8538fad69017c74d93fbd5c7b184995a09710c24cf5a27f9bd6786756de978cec7731ed8478b23e17""]"
FMOD0008,wf7bWVKa,world-copies-me,World Copies Me,Plmaker,TARGET_MOD,MIT,"[""adventure"", ""cursed"", ""fabric"", ""neoforge""]","[""adventure"", ""cursed"", ""fabric"", ""neoforge""]",5843,2026-07-16T23:09:26.956771+00:00,2026-07-12T15:08:16.638048+00:00,4,5rJFXgrL,1.0.0+26.2,2026-07-09T15:32:54.964264Z,worldcopiesme-1.0.0+26.2.jar,https://cdn.modrinth.com/data/wf7bWVKa/versions/5rJFXgrL/worldcopiesme-1.0.0%2B26.2.jar,f59187dbb5ec93ec4e7138e8f5a060f5471adba7,4f8a312e071e2dbe63136d2a5cca3e2df38b6ad3954bee0a7a4cf38e9df4d904dd6d1497c9df9ca2858d5fa76ce15e83e18f8e813ead686009b02a69edd71179,"[""TS0GdbQA"", ""JevSY0EQ"", ""nSsvnMT2""]","[""1.0.0+26.1.2"", ""1.0.0+1.21.11"", ""1.0.0+1.21.1""]","[""2026-07-09T12:03:49.135434Z"", ""2026-07-08T20:57:52.355705Z"", ""2026-07-08T20:17:18.604309Z""]","[""worldcopiesme-1.0.0+26.1.2.jar"", ""worldcopiesme-1.0.0+1.21.11.jar"", ""worldcopiesme-1.0.0+1.21.1.jar""]","[""https://cdn.modrinth.com/data/wf7bWVKa/versions/TS0GdbQA/worldcopiesme-1.0.0%2B26.1.2.jar"", ""https://cdn.modrinth.com/data/wf7bWVKa/versions/JevSY0EQ/worldcopiesme-1.0.0%2B1.21.11.jar"", ""https://cdn.modrinth.com/data/wf7bWVKa/versions/nSsvnMT2/worldcopiesme-1.0.0%2B1.21.1.jar""]","[""8731e0cbbd4b0cf3e88e2e3cc3030a5cccff1448"", ""c17f58dea89e96f49381785a6e39d864dc3a9910"", ""fbddc5d044ca54f2947778d64048cff721604e9a""]","[""1ea204ceac0d5e087d5d89502318b46c649b24b3c64b506cd64fa30e67b2fa119d8f933cbae6f22accc509144b1c229660ed5464c05bb9c3d3cfd15fc82497cd"", ""042f79670f6b753c0427650f201e9ab145ec3a20c8b60589c6e3ac617492736f73103be4a4d95af49c40758c5c3c5b7fd2e8bc02b9f849613345c9323b17b635"", ""31d195f412c5b002fcc1e56e9f04d350553ea7551327d2a18f8816e7ccc8ce7ec88b549ebdba00ab65572295d4d4b16bb23232ce60992b2b4fd82c351ada693a""]"
FMOD0009,uYFKfOSD,tool-remix,Tool Remix,violetshiver,TARGET_MOD,MIT,"[""adventure"", ""equipment"", ""fabric"", ""game-mechanics"", ""worldgen""]","[""equipment"", ""fabric"", ""game-mechanics""]",149,2026-07-17T23:54:42.500072+00:00,2026-07-26T20:16:00.140189+00:00,8,qpM8OUZk,1.2.0-26.1.2,2026-07-26T20:16:00.474380Z,tool-remix-1.2.0-26.1.2.jar,https://cdn.modrinth.com/data/uYFKfOSD/versions/qpM8OUZk/tool-remix-1.2.0-26.1.2.jar,f306f708d8e42957e6d5ae09aab296b68b3609cd,f3045596545652b7c2ac30390f45e80d272b8cabed4d6d5ba980292cbad5980b7ffa077406db5f9a7d7427ddad116da31f263b037e07c35952dc9147cc836ece,"[""RjEaKfKR"", ""hfQeMHwy"", ""Zh5EyrNF""]","[""1.2.0-26.2"", ""1.1.0-1.21.1"", ""1.1.0-26.1.2""]","[""2026-07-26T20:15:42.883229Z"", ""2026-07-21T07:22:19.992519Z"", ""2026-07-21T07:21:54.598504Z""]","[""tool-remix-1.2.0-26.2.jar"", ""tool-remix-1.1.0-1.21.1.jar"", ""tool-remix-1.1.0-26.1.2.jar""]","[""https://cdn.modrinth.com/data/uYFKfOSD/versions/RjEaKfKR/tool-remix-1.2.0-26.2.jar"", ""https://cdn.modrinth.com/data/uYFKfOSD/versions/hfQeMHwy/tool-remix-1.1.0-1.21.1.jar"", ""https://cdn.modrinth.com/data/uYFKfOSD/versions/Zh5EyrNF/tool-remix-1.1.0-26.1.2.jar""]","[""8c85853108b6359ddb0bea9eb3c8e4c1c0980a6e"", ""736d847c8e3c01b50f26276080b26f70d04e315e"", ""009258ce85d1fc20aec25af242a4180f7beb6d99""]","[""3549ad3b6e46477b55f796330781038b34548a8aae7bfb8b0fee6e2712f3525c6e1dfabe716b448f6903891320fa3d364fc2acfc1332a07595c72778a2466be1"", ""4bc1ecf96ff31a7a2530a9ebae74551d6b4862528b0f80a45451c9681ccc673aa8de8ea221e59c1221813f2801b3afa5df2e8055c3cc989c5cad0b54433da12d"", ""5a093644184f76b8738cc04e23fd9a507e2f69af1c2ad645d319e02f76a26a8a133196ae10954007c2612fcf7851c8ea7fe4f32346bd182fe923635349b9fb42""]"
FMOD0010,FDGHOWuC,deltaboxlib,Deltabox Lib,danbrown,BACKGROUND_LIBRARY,MIT,"[""fabric"", ""forge"", ""game-mechanics"", ""library"", ""worldgen""]","[""fabric"", ""forge"", ""library""]",1707084,2024-09-03T00:22:23.551154+00:00,2026-02-13T02:50:06.212421+00:00,6,jvWocoI8,3.0.1,2026-02-13T02:50:07.706595Z,deltaboxlib-fabric-3.0.1+1.21.1.jar,https://cdn.modrinth.com/data/FDGHOWuC/versions/jvWocoI8/deltaboxlib-fabric-3.0.1%2B1.21.1.jar,3b9a6338a7e482ad926665277bd6b020d12880a7,41758f9c9736962731b2881ada64e11a70d91cd2ced7e4360acb99b529793ccd5afd48b29e2e93f42b13b172f186bc3058a9f2500a1888aeda8a37da01d6babc,"[""gLppJDAv"", ""c4xDJPXg"", ""UDQG0hOg""]","[""3.0.0"", ""2.2.0"", ""2.1.1""]","[""2026-01-29T16:52:01.708213Z"", ""2025-06-24T15:26:00.314715Z"", ""2025-04-28T13:29:43.959667Z""]","[""deltaboxlib-fabric-3.0.0+1.21.1.jar"", ""deltaboxlib-fabric-2.2.0+1.20.1.jar"", ""deltaboxlib-2.1.1-fabric-1.20.1.jar""]","[""https://cdn.modrinth.com/data/FDGHOWuC/versions/gLppJDAv/deltaboxlib-fabric-3.0.0%2B1.21.1.jar"", ""https://cdn.modrinth.com/data/FDGHOWuC/versions/c4xDJPXg/deltaboxlib-fabric-2.2.0%2B1.20.1.jar"", ""https://cdn.modrinth.com/data/FDGHOWuC/versions/UDQG0hOg/deltaboxlib-2.1.1-fabric-1.20.1.jar""]","[""31a45ed590e078469a4e7e75afb627edbbff6533"", ""c708db41117782ae11dea52e3002f94b4e6348b7"", ""c67fe294466f5e9b509c4b9063bb456463af9d41""]","[""eba8db5c95daa07120262e771d43d3bbe21b60114c73643f7c0627b38ce96ef98d4b915d31e66214bc9f86a72973cf74ad77ba39569ead0d35214f74c5e2d445"", ""28eebafdaa648696267d7fe9127d5b0ea172519a3b646fedd95f6db1cf0ad3421bf006458441cbf7b3614eb1c15bd48ba17e4e7a32951cd34942334a353bf923"", ""0916fd289334ff3c758985602545878d466de8ce8ca596f2257d133d6026d19ec1abfc5da563772d70fd1385c3cf2a38320ff8eeeb084e368ef2528b829d1781""]"
