fresh_id,frozen_split,version_id,version_number,jar_filename,code_nodes,class_ref_edges,connected_components,largest_component_size,largest_component_rate,hard_code_nodes,strict_code_nodes,max_hard_in_one_component,max_strict_in_one_component,hard_coverage_by_best_component,strict_coverage_by_best_component,best_hard_component_size,best_hard_connector_count,eligible_hard_h3,eligible_hard_h5,eligible_hard_h10,eligible_strict_h3,eligible_strict_h5
FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,EmptyHand-1.21.1-fabric-1.0.1.jar,10,10,1,10,1.0,10,2,10,2,1.0,1.0,10,0,True,True,True,False,False
FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,EmptyHand-1.21.11-fabric-1.0.1.jar,12,11,2,11,0.9166666666666666,12,4,11,3,0.9166666666666666,0.75,11,0,True,True,True,True,False
FMOD0001,TEST_KNOWN,vSbgx9lF,26.2-fabric-1.0.1,EmptyHand-26.2-fabric-1.0.1.jar,12,12,2,11,0.9166666666666666,12,4,11,3,0.9166666666666666,0.75,11,0,True,True,True,True,False
FMOD0002,CALIBRATION_KNOWN,Jlib30fO,1.21.1-1.1.0,pillager-deterrent-1.21.1-1.1.0.jar,16,20,2,15,0.9375,16,0,15,0,0.9375,0.0,15,0,True,True,True,False,False
FMOD0002,CALIBRATION_KNOWN,8RRjwtxl,1.20.1-1.0.1,pillager-deterrent-1.20.1-1.0.1.jar,12,13,2,11,0.9166666666666666,4,0,4,0,1.0,0.0,11,7,True,False,False,False,False
FMOD0002,CALIBRATION_KNOWN,LIVM3gNO,26.2.2.1,pillager_deterrent-fabric-26.2-26.2.2.1.jar,20,35,1,20,1.0,20,9,20,9,1.0,1.0,20,0,True,True,True,True,True
FMOD0003,TEST_KNOWN,LtSqON3b,26.1.0,SkeletonAIFix-v26.1.0-mc26.1.x-Fabric.jar,7,7,1,7,1.0,0,0,0,0,0.0,0.0,0,0,False,False,False,False,False
FMOD0003,TEST_KNOWN,kf7gMwfX,21.11.0,SkeletonAIFix-v21.11.0-mc1.21.11-Fabric.jar,7,5,2,5,0.7142857142857143,7,5,5,4,0.7142857142857143,0.8,5,0,True,True,False,True,False
FMOD0003,TEST_KNOWN,Kde5eDAb,21.10.0,SkeletonAIFix-v21.10.0+mc1.21.10-Fabric.jar,8,5,3,5,0.625,8,6,5,4,0.625,0.6666666666666666,5,0,True,True,False,True,False
FMOD0004,TEST_KNOWN,5gdROB0x,1.2.0,excamate-1.2.0.jar,16,36,1,16,1.0,16,16,16,16,1.0,1.0,16,0,True,True,True,True,True
FMOD0004,TEST_KNOWN,gs62LOlx,1.1.0,excamate-1.1.0.jar,13,30,1,13,1.0,13,13,13,13,1.0,1.0,13,0,True,True,True,True,True
