fragment_id,fresh_id,frozen_split,version_id,version_number,variant_index,node_id,evaluation_role,strict_path_failed,source_relative_path,component_sha256
F6G000001,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,0,F6G000001_N0001,TARGET,False,com/jfyx2025/client/mixin/HotbarRenderMixin.class,8f805d659c21155cef6076e7f009058da64fde4ab07feb0951fe3984097101cf
F6G000001,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,0,F6G000001_N0002,TARGET,False,com/jfyx2025/mixin/SwapHandMixin.class,c571588d4895863661f56c1682426f6c3690784d1cba5ee7ee35bb5aa698b411
F6G000001,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,0,F6G000001_N0003,TARGET,False,com/jfyx2025/EmptyHand.class,3233fa66df53a4656fbeb5b94eaa9909ba42cc69810dfafbfe20447409c22e64
F6G000001,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,0,F6G000001_N0004,TARGET,False,com/jfyx2025/mixin/InventoryMixin.class,4cfd144f4cfb8c07dabee5bf03524ebe3d04dbe27098a844985c0a462c3dba31
F6G000001,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,0,F6G000001_N0005,TARGET,False,com/jfyx2025/access/InventoryAccess.class,842055dbd1cabdfb917147f1920eb443ab2a6ac55759a78a3189a2527d2c6d00
F6G000002,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,1,F6G000002_N0001,TARGET,False,com/jfyx2025/access/InventoryAccess.class,842055dbd1cabdfb917147f1920eb443ab2a6ac55759a78a3189a2527d2c6d00
F6G000002,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,1,F6G000002_N0002,TARGET,False,com/jfyx2025/mixin/SwapHandMixin.class,c571588d4895863661f56c1682426f6c3690784d1cba5ee7ee35bb5aa698b411
F6G000002,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,1,F6G000002_N0003,TARGET,False,com/jfyx2025/client/EmptyHandClient.class,b2ecd331d669ea8aa9343e2e7b47f319b5599005ec4e64092adf0232cd447986
F6G000002,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,1,F6G000002_N0004,TARGET,False,com/jfyx2025/mixin/ServerPacketMixin.class,1dbe8a34c227314dea6b2e22fa328d14fea312ff816ba488316ad5482bfce54d
F6G000002,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,1,F6G000002_N0005,TARGET,False,com/jfyx2025/EmptyHand.class,3233fa66df53a4656fbeb5b94eaa9909ba42cc69810dfafbfe20447409c22e64
F6G000003,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,2,F6G000003_N0001,TARGET,False,com/jfyx2025/access/InventoryAccess.class,842055dbd1cabdfb917147f1920eb443ab2a6ac55759a78a3189a2527d2c6d00
F6G000003,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,2,F6G000003_N0002,TARGET,False,com/jfyx2025/mixin/InventoryMixin.class,4cfd144f4cfb8c07dabee5bf03524ebe3d04dbe27098a844985c0a462c3dba31
F6G000003,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,2,F6G000003_N0003,TARGET,False,com/jfyx2025/mixin/ServerPacketMixin.class,1dbe8a34c227314dea6b2e22fa328d14fea312ff816ba488316ad5482bfce54d
F6G000003,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,2,F6G000003_N0004,TARGET,False,com/jfyx2025/mixin/SwapHandMixin.class,c571588d4895863661f56c1682426f6c3690784d1cba5ee7ee35bb5aa698b411
F6G000003,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,2,F6G000003_N0005,TARGET,False,com/jfyx2025/client/mixin/HotbarRenderMixin.class,8f805d659c21155cef6076e7f009058da64fde4ab07feb0951fe3984097101cf
F6G000004,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,0,F6G000004_N0001,TARGET,False,com/jfyx2025/mixin/SwapHandMixin.class,c3e2a265a7041fee1eff0c5f77a375f5463faf1dcdf145c980ff75f8db733d8b
