fragment_id,fresh_id,frozen_split,version_id,version_number,source_node_id,target_node_id,edge_type
F6G000001,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000001_N0003,F6G000001_N0005,CLASS_REF
F6G000001,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000001_N0001,F6G000001_N0005,CLASS_REF
F6G000001,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000001_N0004,F6G000001_N0005,CLASS_REF
F6G000001,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000001_N0002,F6G000001_N0005,CLASS_REF
F6G000002,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000002_N0005,F6G000002_N0001,CLASS_REF
F6G000002,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000002_N0003,F6G000002_N0001,CLASS_REF
F6G000002,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000002_N0004,F6G000002_N0001,CLASS_REF
F6G000002,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000002_N0002,F6G000002_N0001,CLASS_REF
F6G000003,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000003_N0005,F6G000003_N0001,CLASS_REF
F6G000003,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000003_N0002,F6G000003_N0001,CLASS_REF
F6G000003,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000003_N0003,F6G000003_N0001,CLASS_REF
F6G000003,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,F6G000003_N0004,F6G000003_N0001,CLASS_REF
F6G000004,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000004_N0002,F6G000004_N0005,CLASS_REF
F6G000004,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000004_N0004,F6G000004_N0005,CLASS_REF
F6G000004,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000004_N0003,F6G000004_N0005,CLASS_REF
F6G000004,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000004_N0001,F6G000004_N0005,CLASS_REF
F6G000005,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000005_N0005,F6G000005_N0003,CLASS_REF
F6G000005,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000005_N0004,F6G000005_N0002,CLASS_REF
F6G000005,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000005_N0004,F6G000005_N0003,CLASS_REF
F6G000005,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000005_N0001,F6G000005_N0002,CLASS_REF
F6G000006,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000006_N0005,F6G000006_N0003,CLASS_REF
F6G000006,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000006_N0001,F6G000006_N0003,CLASS_REF
F6G000006,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000006_N0002,F6G000006_N0003,CLASS_REF
F6G000006,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,F6G000006_N0004,F6G000006_N0003,CLASS_REF
F6G000007,FMOD0001,TEST_KNOWN,vSbgx9lF,26.2-fabric-1.0.1,F6G000007_N0002,F6G000007_N0001,CLASS_REF
