fragment_id,fresh_id,frozen_split,version_id,version_number,variant_index,hard_structured_components,own_current_exact_surviving_images,supports_A_5C_2S_1I,supports_B_5C_1S_2I,supports_C_4C_2S_2I
F6G000001,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,0,3,1,True,False,False
F6G000002,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,1,3,1,True,False,False
F6G000003,FMOD0001,TEST_KNOWN,NKfar19f,1.21.1-fabric-1.0.1,2,3,1,True,False,False
F6G000004,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,0,3,1,True,False,False
F6G000005,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,1,3,1,True,False,False
F6G000006,FMOD0001,TEST_KNOWN,bUJ7d0jM,1.21.11-fabric-1.0.1,2,3,1,True,False,False
F6G000007,FMOD0001,TEST_KNOWN,vSbgx9lF,26.2-fabric-1.0.1,0,5,1,True,False,False
F6G000008,FMOD0001,TEST_KNOWN,vSbgx9lF,26.2-fabric-1.0.1,1,5,1,True,False,False
F6G000009,FMOD0001,TEST_KNOWN,vSbgx9lF,26.2-fabric-1.0.1,2,5,1,True,False,False
F6G000010,FMOD0002,CALIBRATION_KNOWN,Jlib30fO,1.21.1-1.1.0,0,10,3,True,True,True
F6G000011,FMOD0002,CALIBRATION_KNOWN,Jlib30fO,1.21.1-1.1.0,1,10,3,True,True,True
F6G000012,FMOD0002,CALIBRATION_KNOWN,Jlib30fO,1.21.1-1.1.0,2,10,3,True,True,True
F6G000013,FMOD0002,CALIBRATION_KNOWN,LIVM3gNO,26.2.2.1,0,19,3,True,True,True
F6G000014,FMOD0002,CALIBRATION_KNOWN,LIVM3gNO,26.2.2.1,1,19,3,True,True,True
F6G000015,FMOD0002,CALIBRATION_KNOWN,LIVM3gNO,26.2.2.1,2,19,3,True,True,True
F6G000016,FMOD0003,TEST_KNOWN,kf7gMwfX,21.11.0,0,4,1,True,False,False
F6G000017,FMOD0003,TEST_KNOWN,Kde5eDAb,21.10.0,0,4,1,True,False,False
F6G000018,FMOD0004,TEST_KNOWN,5gdROB0x,1.2.0,0,3,1,True,False,False
F6G000019,FMOD0004,TEST_KNOWN,5gdROB0x,1.2.0,1,3,1,True,False,False
F6G000020,FMOD0004,TEST_KNOWN,5gdROB0x,1.2.0,2,3,1,True,False,False
F6G000021,FMOD0004,TEST_KNOWN,gs62LOlx,1.1.0,0,3,1,True,False,False
F6G000022,FMOD0004,TEST_KNOWN,gs62LOlx,1.1.0,1,3,1,True,False,False
F6G000023,FMOD0004,TEST_KNOWN,gs62LOlx,1.1.0,2,3,1,True,False,False
F6G000027,FMOD0005,TEST_KNOWN,T1v8YBHE,0.6.3,0,3,14,True,True,True
F6G000028,FMOD0005,TEST_KNOWN,T1v8YBHE,0.6.3,1,3,14,True,True,True
F6G000029,FMOD0005,TEST_KNOWN,T1v8YBHE,0.6.3,2,3,14,True,True,True
F6G000030,FMOD0006,UNKNOWN_HELDOUT,vHo8oelp,2.7.4+1.21.10,0,2,21,True,True,True
F6G000031,FMOD0006,UNKNOWN_HELDOUT,vHo8oelp,2.7.4+1.21.10,1,2,21,True,True,True
F6G000032,FMOD0006,UNKNOWN_HELDOUT,vHo8oelp,2.7.4+1.21.10,2,2,21,True,True,True
F6G000033,FMOD0006,UNKNOWN_HELDOUT,3GkJlgYo,2.7.3+1.21.8,0,5,21,True,True,True
F6G000034,FMOD0006,UNKNOWN_HELDOUT,3GkJlgYo,2.7.3+1.21.8,1,5,21,True,True,True
F6G000035,FMOD0006,UNKNOWN_HELDOUT,3GkJlgYo,2.7.3+1.21.8,2,5,21,True,True,True
F6G000036,FMOD0006,UNKNOWN_HELDOUT,oS8qIab2,2.7.2+1.21.5,0,4,21,True,True,True
F6G000037,FMOD0006,UNKNOWN_HELDOUT,oS8qIab2,2.7.2+1.21.5,1,4,21,True,True,True
F6G000038,FMOD0006,UNKNOWN_HELDOUT,oS8qIab2,2.7.2+1.21.5,2,4,21,True,True,True
F6G000039,FMOD0007,UNKNOWN_HELDOUT,3eU1mije,1.5.4-fabric,0,7,4,True,True,True
F6G000040,FMOD0007,UNKNOWN_HELDOUT,3eU1mije,1.5.4-fabric,1,7,4,True,True,True
F6G000041,FMOD0007,UNKNOWN_HELDOUT,LXliTCS0,1.5.3-fabric,0,1,4,False,True,False
F6G000042,FMOD0007,UNKNOWN_HELDOUT,LXliTCS0,1.5.3-fabric,1,1,4,False,True,False
F6G000043,FMOD0007,UNKNOWN_HELDOUT,LXliTCS0,1.5.3-fabric,2,1,4,False,True,False
F6G000044,FMOD0007,UNKNOWN_HELDOUT,LYRPe9S3,1.5.2-fabric,0,2,4,True,True,True
F6G000045,FMOD0007,UNKNOWN_HELDOUT,LYRPe9S3,1.5.2-fabric,2,2,4,True,True,True
F6G000052,FMOD0009,UNKNOWN_HELDOUT,hfQeMHwy,1.1.0-1.21.1,0,44,6,True,True,True
F6G000053,FMOD0009,UNKNOWN_HELDOUT,hfQeMHwy,1.1.0-1.21.1,2,44,6,True,True,True
F6G000054,FMOD0011,TEST_KNOWN,yW3wexrH,1.5.0,0,2,50,True,True,True
F6G000055,FMOD0014,TEST_KNOWN,OYyhfwOB,0.5.5,0,3,6,True,True,True
F6G000056,FMOD0014,TEST_KNOWN,OYyhfwOB,0.5.5,1,3,6,True,True,True
F6G000057,FMOD0014,TEST_KNOWN,OYyhfwOB,0.5.5,2,3,6,True,True,True
F6G000064,FMOD0016,TEST_KNOWN,vV2etbcV,2.0.0-beta3,0,115,46,True,True,True
F6G000065,FMOD0016,TEST_KNOWN,vV2etbcV,2.0.0-beta3,1,115,46,True,True,True
F6G000066,FMOD0016,TEST_KNOWN,vV2etbcV,2.0.0-beta3,2,115,46,True,True,True
F6G000067,FMOD0016,TEST_KNOWN,HOHCWaTE,2.0.0-beta2,0,111,46,True,True,True
F6G000068,FMOD0016,TEST_KNOWN,HOHCWaTE,2.0.0-beta2,1,111,46,True,True,True
F6G000069,FMOD0016,TEST_KNOWN,HOHCWaTE,2.0.0-beta2,2,111,46,True,True,True
F6G000070,FMOD0020,CALIBRATION_KNOWN,YbxZHAXj,1.12.16+26.2,0,1,18,False,True,False
F6G000071,FMOD0020,CALIBRATION_KNOWN,YbxZHAXj,1.12.16+26.2,2,1,18,False,True,False
F6G000072,FMOD0020,CALIBRATION_KNOWN,n2pEPUn7,1.11.8+1.21.1,0,3,18,True,True,True
F6G000073,FMOD0020,CALIBRATION_KNOWN,n2pEPUn7,1.11.8+1.21.1,1,3,18,True,True,True
F6G000074,FMOD0020,CALIBRATION_KNOWN,n2pEPUn7,1.11.8+1.21.1,2,3,18,True,True,True
F6G000075,FMOD0020,CALIBRATION_KNOWN,YJB5Y1tt,1.11.7+1.21.1,0,3,18,True,True,True
F6G000076,FMOD0020,CALIBRATION_KNOWN,YJB5Y1tt,1.11.7+1.21.1,1,3,18,True,True,True
F6G000077,FMOD0020,CALIBRATION_KNOWN,YJB5Y1tt,1.11.7+1.21.1,2,3,18,True,True,True
F6G000078,FMOD0022,TEST_KNOWN,YTi50SXM,26.07.01-1.21.11-fabric,0,89,437,True,True,True
F6G000079,FMOD0022,TEST_KNOWN,YTi50SXM,26.07.01-1.21.11-fabric,1,89,437,True,True,True
F6G000080,FMOD0022,TEST_KNOWN,YTi50SXM,26.07.01-1.21.11-fabric,2,89,437,True,True,True
F6G000081,FMOD0022,TEST_KNOWN,vRadvyPG,26.07.01-1.21.9-fabric,0,104,437,True,True,True
F6G000082,FMOD0022,TEST_KNOWN,vRadvyPG,26.07.01-1.21.9-fabric,1,104,437,True,True,True
F6G000083,FMOD0022,TEST_KNOWN,vRadvyPG,26.07.01-1.21.9-fabric,2,104,437,True,True,True
F6G000084,FMOD0023,TEST_KNOWN,603d4gFf,26.201.1,0,1690,1918,True,True,True
F6G000085,FMOD0023,TEST_KNOWN,603d4gFf,26.201.1,1,1690,1918,True,True,True
F6G000086,FMOD0023,TEST_KNOWN,603d4gFf,26.201.1,2,1690,1918,True,True,True
F6G000087,FMOD0023,TEST_KNOWN,1NFpFqMB,21.800.1,0,2452,1631,True,True,True
F6G000088,FMOD0023,TEST_KNOWN,1NFpFqMB,21.800.1,1,2452,1631,True,True,True
F6G000089,FMOD0023,TEST_KNOWN,1NFpFqMB,21.800.1,2,2452,1631,True,True,True
F6G000090,FMOD0023,TEST_KNOWN,q2lc2PLL,26.101.1,0,2235,1887,True,True,True
F6G000091,FMOD0023,TEST_KNOWN,q2lc2PLL,26.101.1,1,2235,1887,True,True,True
F6G000092,FMOD0023,TEST_KNOWN,q2lc2PLL,26.101.1,2,2235,1887,True,True,True
F6G000102,FMOD0025,TEST_KNOWN,SNCj2VQL,1.0.7,0,2,1,True,False,False
