query_id,stage,scenario,k_true,known_parent_count,unknown_parent_count,known_parent_ids,unknown_parent_ids,all_parent_ids,component_count,code_count,structured_count,image_count
Q6K00001,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0065""]",[],"[""FMOD0065""]",7,5,1,1
Q6K00002,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0101""]",[],"[""FMOD0101""]",7,5,1,1
Q6K00003,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0058""]",[],"[""FMOD0058""]",7,5,1,1
Q6K00004,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0082""]",[],"[""FMOD0082""]",7,5,1,1
Q6K00005,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0020""]",[],"[""FMOD0020""]",7,5,1,1
Q6K00006,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0081""]",[],"[""FMOD0081""]",7,5,1,1
Q6K00007,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0030""]",[],"[""FMOD0030""]",7,5,1,1
Q6K00008,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0056""]",[],"[""FMOD0056""]",7,5,1,1
Q6K00009,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0034""]",[],"[""FMOD0034""]",7,5,1,1
Q6K00010,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0020""]",[],"[""FMOD0020""]",7,5,1,1
Q6K00011,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0041""]",[],"[""FMOD0041""]",7,5,1,1
Q6K00012,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0045""]",[],"[""FMOD0045""]",7,5,1,1
Q6K00013,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0097""]",[],"[""FMOD0097""]",7,5,1,1
Q6K00014,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0081""]",[],"[""FMOD0081""]",7,5,1,1
Q6K00015,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0039""]",[],"[""FMOD0039""]",7,5,1,1
Q6K00016,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0041""]",[],"[""FMOD0041""]",7,5,1,1
Q6K00017,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0034""]",[],"[""FMOD0034""]",7,5,1,1
Q6K00018,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0082""]",[],"[""FMOD0082""]",7,5,1,1
Q6K00019,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0030""]",[],"[""FMOD0030""]",7,5,1,1
Q6K00020,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0034""]",[],"[""FMOD0034""]",7,5,1,1
Q6K00021,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0034""]",[],"[""FMOD0034""]",7,5,1,1
Q6K00022,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0002""]",[],"[""FMOD0002""]",7,5,1,1
Q6K00023,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0072""]",[],"[""FMOD0072""]",7,5,1,1
Q6K00024,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0052""]",[],"[""FMOD0052""]",7,5,1,1
Q6K00025,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0002""]",[],"[""FMOD0002""]",7,5,1,1
Q6K00026,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0056""]",[],"[""FMOD0056""]",7,5,1,1
Q6K00027,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0063""]",[],"[""FMOD0063""]",7,5,1,1
Q6K00028,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0072""]",[],"[""FMOD0072""]",7,5,1,1
Q6K00029,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0057""]",[],"[""FMOD0057""]",7,5,1,1
Q6K00030,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0034""]",[],"[""FMOD0034""]",7,5,1,1
Q6K00031,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0097""]",[],"[""FMOD0097""]",7,5,1,1
Q6K00032,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0059""]",[],"[""FMOD0059""]",7,5,1,1
Q6K00033,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0101""]",[],"[""FMOD0101""]",7,5,1,1
Q6K00034,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0056""]",[],"[""FMOD0056""]",7,5,1,1
Q6K00035,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0020""]",[],"[""FMOD0020""]",7,5,1,1
Q6K00036,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0030""]",[],"[""FMOD0030""]",7,5,1,1
Q6K00037,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0101""]",[],"[""FMOD0101""]",7,5,1,1
Q6K00038,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0059""]",[],"[""FMOD0059""]",7,5,1,1
Q6K00039,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0065""]",[],"[""FMOD0065""]",7,5,1,1
Q6K00040,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0065""]",[],"[""FMOD0065""]",7,5,1,1
Q6K00041,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0030""]",[],"[""FMOD0030""]",7,5,1,1
Q6K00042,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0045""]",[],"[""FMOD0045""]",7,5,1,1
Q6K00043,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0065""]",[],"[""FMOD0065""]",7,5,1,1
Q6K00044,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0045""]",[],"[""FMOD0045""]",7,5,1,1
Q6K00045,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0039""]",[],"[""FMOD0039""]",7,5,1,1
Q6K00046,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0045""]",[],"[""FMOD0045""]",7,5,1,1
Q6K00047,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0020""]",[],"[""FMOD0020""]",7,5,1,1
Q6K00048,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0057""]",[],"[""FMOD0057""]",7,5,1,1
Q6K00049,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0002""]",[],"[""FMOD0002""]",7,5,1,1
Q6K00050,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0081""]",[],"[""FMOD0081""]",7,5,1,1
Q6K00051,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0082""]",[],"[""FMOD0082""]",7,5,1,1
Q6K00052,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0101""]",[],"[""FMOD0101""]",7,5,1,1
Q6K00053,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0057""]",[],"[""FMOD0057""]",7,5,1,1
Q6K00054,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0072""]",[],"[""FMOD0072""]",7,5,1,1
Q6K00055,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0059""]",[],"[""FMOD0059""]",7,5,1,1
Q6K00056,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0041""]",[],"[""FMOD0041""]",7,5,1,1
Q6K00057,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0057""]",[],"[""FMOD0057""]",7,5,1,1
Q6K00058,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0059""]",[],"[""FMOD0059""]",7,5,1,1
Q6K00059,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0030""]",[],"[""FMOD0030""]",7,5,1,1
Q6K00060,CALIBRATION,CAL_KNOWN_K1,1,1,0,"[""FMOD0065""]",[],"[""FMOD0065""]",7,5,1,1
Q6K00061,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0020"", ""FMOD0058""]",[],"[""FMOD0020"", ""FMOD0058""]",7,5,1,1
Q6K00062,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0039"", ""FMOD0058""]",[],"[""FMOD0039"", ""FMOD0058""]",7,5,1,1
Q6K00063,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0052"", ""FMOD0097""]",[],"[""FMOD0052"", ""FMOD0097""]",7,5,1,1
Q6K00064,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0034"", ""FMOD0057""]",[],"[""FMOD0034"", ""FMOD0057""]",7,5,1,1
Q6K00065,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0030"", ""FMOD0041""]",[],"[""FMOD0030"", ""FMOD0041""]",7,5,1,1
Q6K00066,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0034"", ""FMOD0041""]",[],"[""FMOD0034"", ""FMOD0041""]",7,5,1,1
Q6K00067,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0056"", ""FMOD0058""]",[],"[""FMOD0056"", ""FMOD0058""]",7,5,1,1
Q6K00068,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0056"", ""FMOD0058""]",[],"[""FMOD0056"", ""FMOD0058""]",7,5,1,1
Q6K00069,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0030"", ""FMOD0101""]",[],"[""FMOD0030"", ""FMOD0101""]",7,5,1,1
Q6K00070,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0020"", ""FMOD0041""]",[],"[""FMOD0020"", ""FMOD0041""]",7,5,1,1
Q6K00071,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0057"", ""FMOD0082""]",[],"[""FMOD0057"", ""FMOD0082""]",7,5,1,1
Q6K00072,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0002"", ""FMOD0059""]",[],"[""FMOD0002"", ""FMOD0059""]",7,5,1,1
Q6K00073,CALIBRATION,CAL_KNOWN_K2,2,2,0,"[""FMOD0056"", ""FMOD0081""]",[],"[""FMOD0056"", ""FMOD0081""]",7,5,1,1
