query_id,node_id,stage,scenario,k_true,modality,ground_truth_label,source_fresh_id,source_version_id,source_version_number,source_fragment_id,source_fragment_node_id,source_relative_path,source_component_sha256,transform_recipe
Q6K00001,Q6K00001_N01,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0065,FMOD0065,uFf00jF4,2.1.4-mc1.21.11,F6G000331,,assets/simple_copper_pipes/textures/block/copper_pipe.png,b7c16d8c71a493654a8d15eb1e8d1a8608803bb0618a9b6f1e8cf508e23cd32e,LOSSLESS_REENCODE_PNG_V1
Q6K00001,Q6K00001_N02,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0065,FMOD0065,uFf00jF4,2.1.4-mc1.21.11,F6G000331,,data/simple_copper_pipes/recipe/waxed_weathered_copper_fitting.json,5386e48e36932f076626c548d4bfeea583726479612b06815d6ee59c48ec95f6,NONE
Q6K00001,Q6K00001_N03,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0065,FMOD0065,uFf00jF4,2.1.4-mc1.21.11,F6G000331,F6G000331_N0001,net/lunade/copper/SimpleCopperPipes.class,11fa72aa5c8e40ca043588b2067e6c412af4d3bb7680b3409078b0e929d88602,NONE
Q6K00001,Q6K00001_N04,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0065,FMOD0065,uFf00jF4,2.1.4-mc1.21.11,F6G000331,F6G000331_N0004,net/lunade/copper/registry/CopperPipeDispenseBehaviors.class,e5f5686aecdd5665727e2075e897f303cd339a4cac6ddf5f13f1c14d041f2808,NONE
Q6K00001,Q6K00001_N05,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0065,FMOD0065,uFf00jF4,2.1.4-mc1.21.11,F6G000331,F6G000331_N0003,net/lunade/copper/registry/TransferablePipeData.class,1af349dbb4e785675c100250d1078ca437b589b688e58c5794330d84e796fe45,NONE
Q6K00001,Q6K00001_N06,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0065,FMOD0065,uFf00jF4,2.1.4-mc1.21.11,F6G000331,F6G000331_N0002,net/lunade/copper/block/entity/leaking/LeakingPipeDripBehaviors.class,592c6cf2f78f14119046b75f1a542b816cb6d2138dc27215a21b95040d40cbf7,NONE
Q6K00001,Q6K00001_N07,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0065,FMOD0065,uFf00jF4,2.1.4-mc1.21.11,F6G000331,F6G000331_N0005,net/lunade/copper/registry/CopperPipeDispenseBehaviors$PoweredDispense.class,6bd18b3b4cf4242aecf009a3c0ae98f64543eee342d0049b8cb5db316c8a9b1c,NONE
Q6K00002,Q6K00002_N01,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0101,FMOD0101,uGHNJPDL,1.0.0,F6G000497,,assets/rootedtrees/icon.png,b8a7d4fadbd4c5f02486cb1f3b27ae62578d3a75f1a666496c752c20b57f72ca,LOSSLESS_REENCODE_PNG_V1
Q6K00002,Q6K00002_N02,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0101,FMOD0101,uGHNJPDL,1.0.0,F6G000497,F6G000497_N0001,com/weboyee/rootedtrees/mixin/TreeFeatureMixin.class,d0e782b6a0cc72e175f1704f0ee533cd4b8327e6ea7d541fa3f524fb0041f24a,NONE
Q6K00002,Q6K00002_N03,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0101,FMOD0101,uGHNJPDL,1.0.0,F6G000497,F6G000497_N0002,com/weboyee/rootedtrees/RootedTreesCommands.class,592dd739dc773f6252a1daa9e143d93019be51c698339abd09bcbccf314533a8,NONE
Q6K00002,Q6K00002_N04,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0101,FMOD0101,uGHNJPDL,1.0.0,F6G000497,F6G000497_N0004,com/weboyee/rootedtrees/RootedGrassBlock.class,dca32c527dd0e083b663d6caa774e388bd206c6ba16159c12c1d902cac1cda3b,NONE
Q6K00002,Q6K00002_N05,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0101,FMOD0101,uGHNJPDL,1.0.0,F6G000497,,assets/rootedtrees/items/rooted_podzol.json,c4ea33992faf350160c57abd5b57a56484781d1c54d1ca9151381798c4531072,NONE
Q6K00002,Q6K00002_N06,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0101,FMOD0101,uGHNJPDL,1.0.0,F6G000497,F6G000497_N0005,com/weboyee/rootedtrees/ModBlocks.class,d933c8b5a2ad7a6102542fe23dfd320c3a360a96251334775e3d4b9e8576bbd1,NONE
Q6K00002,Q6K00002_N07,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0101,FMOD0101,uGHNJPDL,1.0.0,F6G000497,F6G000497_N0003,com/weboyee/rootedtrees/RootGenerator.class,f0c96766f33f783a87d519c4a1206993eb61e5e514f85fa783cabcc944b1a329,NONE
Q6K00003,Q6K00003_N01,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0058,FMOD0058,iQzRWoPW,ColorLight-1.21.11-0.1.1,F6G000284,F6G000284_N0002,me/mrhikmen/colorlight/config/BlockSettings.class,c6951242f3d6b1c4fefa4acbf772aa4d7dd39b32d6a8d0871aab3747211e5004,NONE
Q6K00003,Q6K00003_N02,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0058,FMOD0058,iQzRWoPW,ColorLight-1.21.11-0.1.1,F6G000284,F6G000284_N0004,me/mrhikmen/colorlight/core/scanner/texture/PixelData.class,6aeb9a797eca870bd4920cdee4bd4469b64c64802213a702bf7236989f304787,NONE
Q6K00003,Q6K00003_N03,CALIBRATION,CAL_KNOWN_K1,1,IMAGE,FMOD0058,FMOD0058,iQzRWoPW,ColorLight-1.21.11-0.1.1,F6G000284,,assets/colorlight/icon.png,d48d09879c7f29682fc820ee53ed8f2f429013059685cf460da3db4fe80de312,LOSSLESS_REENCODE_PNG_V1
Q6K00003,Q6K00003_N04,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0058,FMOD0058,iQzRWoPW,ColorLight-1.21.11-0.1.1,F6G000284,F6G000284_N0003,me/mrhikmen/colorlight/core/scanner/model/blockstate/VariantParser.class,ef26bfe91eee3bd6a69cf94d352482127f668235dc1cb818afb7d693d93f4013,NONE
Q6K00003,Q6K00003_N05,CALIBRATION,CAL_KNOWN_K1,1,STRUCTURED,FMOD0058,FMOD0058,iQzRWoPW,ColorLight-1.21.11-0.1.1,F6G000284,,fabric.mod.json,a8fe95a396e7a899a088a508dccc6bdd01d0559185700920718e9c54f9928bee,NONE
Q6K00003,Q6K00003_N06,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0058,FMOD0058,iQzRWoPW,ColorLight-1.21.11-0.1.1,F6G000284,F6G000284_N0001,me/mrhikmen/colorlight/config/ColorLightConfig.class,d04690c1a4c9aaa3a4ce1003710d7968617669bed838805143492c70ea635020,NONE
Q6K00003,Q6K00003_N07,CALIBRATION,CAL_KNOWN_K1,1,CODE_BINARY,FMOD0058,FMOD0058,iQzRWoPW,ColorLight-1.21.11-0.1.1,F6G000284,F6G000284_N0005,me/mrhikmen/colorlight/core/scanner/model/PathTextureBlock.class,a69d8e4449bfe17a0db4ef3f690b5cb8ed7ca25972ace9f0fc3ba784ec9917c0,NONE
