query_id,node_a,node_b
Q6K00001,Q6K00001_N03,Q6K00001_N04
Q6K00001,Q6K00001_N03,Q6K00001_N05
Q6K00001,Q6K00001_N03,Q6K00001_N06
Q6K00001,Q6K00001_N04,Q6K00001_N07
Q6K00002,Q6K00002_N02,Q6K00002_N07
Q6K00002,Q6K00002_N03,Q6K00002_N07
Q6K00002,Q6K00002_N04,Q6K00002_N06
Q6K00002,Q6K00002_N06,Q6K00002_N07
Q6K00003,Q6K00003_N01,Q6K00003_N07
Q6K00003,Q6K00003_N02,Q6K00003_N07
Q6K00003,Q6K00003_N04,Q6K00003_N07
Q6K00003,Q6K00003_N06,Q6K00003_N07
Q6K00004,Q6K00004_N01,Q6K00004_N05
Q6K00004,Q6K00004_N01,Q6K00004_N07
Q6K00004,Q6K00004_N02,Q6K00004_N03
Q6K00004,Q6K00004_N02,Q6K00004_N05
Q6K00004,Q6K00004_N03,Q6K00004_N05
Q6K00005,Q6K00005_N01,Q6K00005_N03
Q6K00005,Q6K00005_N01,Q6K00005_N04
Q6K00005,Q6K00005_N01,Q6K00005_N06
Q6K00005,Q6K00005_N01,Q6K00005_N07
Q6K00005,Q6K00005_N04,Q6K00005_N07
Q6K00006,Q6K00006_N01,Q6K00006_N02
Q6K00006,Q6K00006_N02,Q6K00006_N03
Q6K00006,Q6K00006_N02,Q6K00006_N04
Q6K00006,Q6K00006_N03,Q6K00006_N06
Q6K00007,Q6K00007_N01,Q6K00007_N03
Q6K00007,Q6K00007_N01,Q6K00007_N06
Q6K00007,Q6K00007_N03,Q6K00007_N06
Q6K00007,Q6K00007_N03,Q6K00007_N07
Q6K00007,Q6K00007_N04,Q6K00007_N06
Q6K00007,Q6K00007_N04,Q6K00007_N07
Q6K00007,Q6K00007_N06,Q6K00007_N07
Q6K00008,Q6K00008_N02,Q6K00008_N04
Q6K00008,Q6K00008_N02,Q6K00008_N05
Q6K00008,Q6K00008_N02,Q6K00008_N06
Q6K00008,Q6K00008_N04,Q6K00008_N07
Q6K00009,Q6K00009_N01,Q6K00009_N04
Q6K00009,Q6K00009_N02,Q6K00009_N04
Q6K00009,Q6K00009_N02,Q6K00009_N05
Q6K00009,Q6K00009_N05,Q6K00009_N07
Q6K00010,Q6K00010_N01,Q6K00010_N07
Q6K00010,Q6K00010_N02,Q6K00010_N03
Q6K00010,Q6K00010_N02,Q6K00010_N07
Q6K00010,Q6K00010_N06,Q6K00010_N07
Q6K00011,Q6K00011_N01,Q6K00011_N05
Q6K00011,Q6K00011_N03,Q6K00011_N05
Q6K00011,Q6K00011_N04,Q6K00011_N06
Q6K00011,Q6K00011_N05,Q6K00011_N06
Q6K00012,Q6K00012_N01,Q6K00012_N03
Q6K00012,Q6K00012_N01,Q6K00012_N04
Q6K00012,Q6K00012_N02,Q6K00012_N03
Q6K00012,Q6K00012_N02,Q6K00012_N04
Q6K00012,Q6K00012_N02,Q6K00012_N06
Q6K00012,Q6K00012_N03,Q6K00012_N04
Q6K00012,Q6K00012_N04,Q6K00012_N06
Q6K00013,Q6K00013_N01,Q6K00013_N02
Q6K00013,Q6K00013_N02,Q6K00013_N04
Q6K00013,Q6K00013_N02,Q6K00013_N05
Q6K00013,Q6K00013_N02,Q6K00013_N07
Q6K00013,Q6K00013_N04,Q6K00013_N05
Q6K00014,Q6K00014_N04,Q6K00014_N06
Q6K00014,Q6K00014_N05,Q6K00014_N06
Q6K00014,Q6K00014_N06,Q6K00014_N07
Q6K00015,Q6K00015_N01,Q6K00015_N05
Q6K00015,Q6K00015_N03,Q6K00015_N06
Q6K00015,Q6K00015_N03,Q6K00015_N07
Q6K00015,Q6K00015_N05,Q6K00015_N06
Q6K00016,Q6K00016_N01,Q6K00016_N05
Q6K00016,Q6K00016_N02,Q6K00016_N05
Q6K00016,Q6K00016_N04,Q6K00016_N05
Q6K00016,Q6K00016_N05,Q6K00016_N06
Q6K00017,Q6K00017_N01,Q6K00017_N02
Q6K00017,Q6K00017_N01,Q6K00017_N04
Q6K00017,Q6K00017_N01,Q6K00017_N07
Q6K00017,Q6K00017_N02,Q6K00017_N04
Q6K00017,Q6K00017_N02,Q6K00017_N05
Q6K00017,Q6K00017_N02,Q6K00017_N07
Q6K00017,Q6K00017_N04,Q6K00017_N07
Q6K00017,Q6K00017_N05,Q6K00017_N07
Q6K00018,Q6K00018_N01,Q6K00018_N03
Q6K00018,Q6K00018_N02,Q6K00018_N03
Q6K00018,Q6K00018_N03,Q6K00018_N04
Q6K00018,Q6K00018_N03,Q6K00018_N06
