query_id,fresh_id,gallery_role,included,hidden_as_pseudo_unknown
Q6K00001,FMOD0002,KNOWN,True,False
Q6K00001,FMOD0012,KNOWN,True,False
Q6K00001,FMOD0019,KNOWN,True,False
Q6K00001,FMOD0020,KNOWN,True,False
Q6K00001,FMOD0021,KNOWN,True,False
Q6K00001,FMOD0030,KNOWN,True,False
Q6K00001,FMOD0034,KNOWN,True,False
Q6K00001,FMOD0039,KNOWN,True,False
Q6K00001,FMOD0041,KNOWN,True,False
Q6K00001,FMOD0045,KNOWN,True,False
Q6K00001,FMOD0052,KNOWN,True,False
Q6K00001,FMOD0056,KNOWN,True,False
Q6K00001,FMOD0057,KNOWN,True,False
Q6K00001,FMOD0058,KNOWN,True,False
Q6K00001,FMOD0059,KNOWN,True,False
Q6K00001,FMOD0063,KNOWN,True,False
Q6K00001,FMOD0064,KNOWN,True,False
Q6K00001,FMOD0065,KNOWN,False,True
Q6K00001,FMOD0071,KNOWN,True,False
Q6K00001,FMOD0072,KNOWN,True,False
Q6K00001,FMOD0078,KNOWN,True,False
Q6K00001,FMOD0081,KNOWN,True,False
Q6K00001,FMOD0082,KNOWN,True,False
Q6K00001,FMOD0097,KNOWN,True,False
Q6K00001,FMOD0101,KNOWN,True,False
Q6K00001,FMOD0010,BACKGROUND,True,False
Q6K00001,FMOD0018,BACKGROUND,True,False
Q6K00001,FMOD0026,BACKGROUND,True,False
Q6K00001,FMOD0029,BACKGROUND,True,False
Q6K00001,FMOD0037,BACKGROUND,True,False
Q6K00001,FMOD0042,BACKGROUND,True,False
Q6K00001,FMOD0098,BACKGROUND,True,False
Q6K00001,FMOD0103,BACKGROUND,True,False
Q6K00001,FMOD0107,BACKGROUND,True,False
Q6K00001,FMOD0108,BACKGROUND,True,False
Q6K00001,FMOD0111,BACKGROUND,True,False
Q6K00001,FMOD0112,BACKGROUND,True,False
Q6K00001,FMOD0114,BACKGROUND,True,False
Q6K00001,FMOD0117,BACKGROUND,True,False
Q6K00001,FMOD0118,BACKGROUND,True,False
Q6K00002,FMOD0002,KNOWN,True,False
Q6K00002,FMOD0012,KNOWN,True,False
Q6K00002,FMOD0019,KNOWN,True,False
Q6K00002,FMOD0020,KNOWN,True,False
Q6K00002,FMOD0021,KNOWN,True,False
Q6K00002,FMOD0030,KNOWN,True,False
Q6K00002,FMOD0034,KNOWN,True,False
Q6K00002,FMOD0039,KNOWN,True,False
Q6K00002,FMOD0041,KNOWN,True,False
Q6K00002,FMOD0045,KNOWN,True,False
Q6K00002,FMOD0052,KNOWN,True,False
Q6K00002,FMOD0056,KNOWN,True,False
Q6K00002,FMOD0057,KNOWN,True,False
Q6K00002,FMOD0058,KNOWN,True,False
Q6K00002,FMOD0059,KNOWN,True,False
Q6K00002,FMOD0063,KNOWN,True,False
Q6K00002,FMOD0064,KNOWN,True,False
Q6K00002,FMOD0065,KNOWN,True,False
Q6K00002,FMOD0071,KNOWN,True,False
Q6K00002,FMOD0072,KNOWN,True,False
Q6K00002,FMOD0078,KNOWN,True,False
Q6K00002,FMOD0081,KNOWN,True,False
Q6K00002,FMOD0082,KNOWN,True,False
Q6K00002,FMOD0097,KNOWN,True,False
Q6K00002,FMOD0101,KNOWN,False,True
Q6K00002,FMOD0010,BACKGROUND,True,False
Q6K00002,FMOD0018,BACKGROUND,True,False
Q6K00002,FMOD0026,BACKGROUND,True,False
Q6K00002,FMOD0029,BACKGROUND,True,False
Q6K00002,FMOD0037,BACKGROUND,True,False
Q6K00002,FMOD0042,BACKGROUND,True,False
Q6K00002,FMOD0098,BACKGROUND,True,False
Q6K00002,FMOD0103,BACKGROUND,True,False
Q6K00002,FMOD0107,BACKGROUND,True,False
Q6K00002,FMOD0108,BACKGROUND,True,False
Q6K00002,FMOD0111,BACKGROUND,True,False
Q6K00002,FMOD0112,BACKGROUND,True,False
Q6K00002,FMOD0114,BACKGROUND,True,False
Q6K00002,FMOD0117,BACKGROUND,True,False
Q6K00002,FMOD0118,BACKGROUND,True,False
Q6K00003,FMOD0002,KNOWN,True,False
Q6K00003,FMOD0012,KNOWN,True,False
Q6K00003,FMOD0019,KNOWN,True,False
Q6K00003,FMOD0020,KNOWN,True,False
Q6K00003,FMOD0021,KNOWN,True,False
Q6K00003,FMOD0030,KNOWN,True,False
Q6K00003,FMOD0034,KNOWN,True,False
Q6K00003,FMOD0039,KNOWN,True,False
Q6K00003,FMOD0041,KNOWN,True,False
Q6K00003,FMOD0045,KNOWN,True,False
Q6K00003,FMOD0052,KNOWN,True,False
Q6K00003,FMOD0056,KNOWN,True,False
Q6K00003,FMOD0057,KNOWN,True,False
Q6K00003,FMOD0058,KNOWN,False,True
Q6K00003,FMOD0059,KNOWN,True,False
Q6K00003,FMOD0063,KNOWN,True,False
Q6K00003,FMOD0064,KNOWN,True,False
Q6K00003,FMOD0065,KNOWN,True,False
Q6K00003,FMOD0071,KNOWN,True,False
Q6K00003,FMOD0072,KNOWN,True,False
Q6K00003,FMOD0078,KNOWN,True,False
Q6K00003,FMOD0081,KNOWN,True,False
Q6K00003,FMOD0082,KNOWN,True,False
Q6K00003,FMOD0097,KNOWN,True,False
Q6K00003,FMOD0101,KNOWN,True,False
Q6K00003,FMOD0010,BACKGROUND,True,False
Q6K00003,FMOD0018,BACKGROUND,True,False
Q6K00003,FMOD0026,BACKGROUND,True,False
Q6K00003,FMOD0029,BACKGROUND,True,False
Q6K00003,FMOD0037,BACKGROUND,True,False
Q6K00003,FMOD0042,BACKGROUND,True,False
Q6K00003,FMOD0098,BACKGROUND,True,False
Q6K00003,FMOD0103,BACKGROUND,True,False
Q6K00003,FMOD0107,BACKGROUND,True,False
Q6K00003,FMOD0108,BACKGROUND,True,False
Q6K00003,FMOD0111,BACKGROUND,True,False
Q6K00003,FMOD0112,BACKGROUND,True,False
Q6K00003,FMOD0114,BACKGROUND,True,False
Q6K00003,FMOD0117,BACKGROUND,True,False
Q6K00003,FMOD0118,BACKGROUND,True,False
Q6K00004,FMOD0002,KNOWN,True,False
Q6K00004,FMOD0012,KNOWN,True,False
Q6K00004,FMOD0019,KNOWN,True,False
Q6K00004,FMOD0020,KNOWN,True,False
Q6K00004,FMOD0021,KNOWN,True,False
Q6K00004,FMOD0030,KNOWN,True,False
Q6K00004,FMOD0034,KNOWN,True,False
Q6K00004,FMOD0039,KNOWN,True,False
Q6K00004,FMOD0041,KNOWN,True,False
Q6K00004,FMOD0045,KNOWN,True,False
Q6K00004,FMOD0052,KNOWN,True,False
Q6K00004,FMOD0056,KNOWN,True,False
Q6K00004,FMOD0057,KNOWN,True,False
Q6K00004,FMOD0058,KNOWN,True,False
Q6K00004,FMOD0059,KNOWN,True,False
Q6K00004,FMOD0063,KNOWN,True,False
Q6K00004,FMOD0064,KNOWN,True,False
Q6K00004,FMOD0065,KNOWN,True,False
Q6K00004,FMOD0071,KNOWN,True,False
Q6K00004,FMOD0072,KNOWN,True,False
Q6K00004,FMOD0078,KNOWN,True,False
Q6K00004,FMOD0081,KNOWN,True,False
Q6K00004,FMOD0082,KNOWN,False,True
Q6K00004,FMOD0097,KNOWN,True,False
Q6K00004,FMOD0101,KNOWN,True,False
Q6K00004,FMOD0010,BACKGROUND,True,False
Q6K00004,FMOD0018,BACKGROUND,True,False
Q6K00004,FMOD0026,BACKGROUND,True,False
Q6K00004,FMOD0029,BACKGROUND,True,False
Q6K00004,FMOD0037,BACKGROUND,True,False
Q6K00004,FMOD0042,BACKGROUND,True,False
Q6K00004,FMOD0098,BACKGROUND,True,False
Q6K00004,FMOD0103,BACKGROUND,True,False
Q6K00004,FMOD0107,BACKGROUND,True,False
Q6K00004,FMOD0108,BACKGROUND,True,False
Q6K00004,FMOD0111,BACKGROUND,True,False
Q6K00004,FMOD0112,BACKGROUND,True,False
Q6K00004,FMOD0114,BACKGROUND,True,False
Q6K00004,FMOD0117,BACKGROUND,True,False
Q6K00004,FMOD0118,BACKGROUND,True,False
Q6K00005,FMOD0002,KNOWN,True,False
Q6K00005,FMOD0012,KNOWN,True,False
Q6K00005,FMOD0019,KNOWN,True,False
Q6K00005,FMOD0020,KNOWN,False,True
Q6K00005,FMOD0021,KNOWN,True,False
Q6K00005,FMOD0030,KNOWN,True,False
Q6K00005,FMOD0034,KNOWN,True,False
Q6K00005,FMOD0039,KNOWN,True,False
Q6K00005,FMOD0041,KNOWN,True,False
Q6K00005,FMOD0045,KNOWN,True,False
Q6K00005,FMOD0052,KNOWN,True,False
Q6K00005,FMOD0056,KNOWN,True,False
Q6K00005,FMOD0057,KNOWN,True,False
Q6K00005,FMOD0058,KNOWN,True,False
Q6K00005,FMOD0059,KNOWN,True,False
Q6K00005,FMOD0063,KNOWN,True,False
Q6K00005,FMOD0064,KNOWN,True,False
Q6K00005,FMOD0065,KNOWN,True,False
Q6K00005,FMOD0071,KNOWN,True,False
Q6K00005,FMOD0072,KNOWN,True,False
Q6K00005,FMOD0078,KNOWN,True,False
Q6K00005,FMOD0081,KNOWN,True,False
Q6K00005,FMOD0082,KNOWN,True,False
Q6K00005,FMOD0097,KNOWN,True,False
Q6K00005,FMOD0101,KNOWN,True,False
Q6K00005,FMOD0010,BACKGROUND,True,False
Q6K00005,FMOD0018,BACKGROUND,True,False
Q6K00005,FMOD0026,BACKGROUND,True,False
Q6K00005,FMOD0029,BACKGROUND,True,False
Q6K00005,FMOD0037,BACKGROUND,True,False
Q6K00005,FMOD0042,BACKGROUND,True,False
Q6K00005,FMOD0098,BACKGROUND,True,False
Q6K00005,FMOD0103,BACKGROUND,True,False
Q6K00005,FMOD0107,BACKGROUND,True,False
Q6K00005,FMOD0108,BACKGROUND,True,False
Q6K00005,FMOD0111,BACKGROUND,True,False
Q6K00005,FMOD0112,BACKGROUND,True,False
