query_id,original_k_true,hidden_parent,visible_true_parent_count,pseudo_unknown_parent_count,visible_true_parents,pseudo_unknown_component_count,visible_known_component_count
Q6K00001,1,FMOD0065,0,1,[],7,0
Q6K00002,1,FMOD0101,0,1,[],7,0
Q6K00003,1,FMOD0058,0,1,[],7,0
Q6K00004,1,FMOD0082,0,1,[],7,0
Q6K00005,1,FMOD0020,0,1,[],7,0
Q6K00006,1,FMOD0081,0,1,[],7,0
Q6K00007,1,FMOD0030,0,1,[],7,0
Q6K00008,1,FMOD0056,0,1,[],7,0
Q6K00009,1,FMOD0034,0,1,[],7,0
Q6K00010,1,FMOD0020,0,1,[],7,0
Q6K00011,1,FMOD0041,0,1,[],7,0
Q6K00012,1,FMOD0045,0,1,[],7,0
Q6K00013,1,FMOD0097,0,1,[],7,0
Q6K00014,1,FMOD0081,0,1,[],7,0
Q6K00015,1,FMOD0039,0,1,[],7,0
Q6K00016,1,FMOD0041,0,1,[],7,0
Q6K00017,1,FMOD0034,0,1,[],7,0
Q6K00018,1,FMOD0082,0,1,[],7,0
Q6K00019,1,FMOD0030,0,1,[],7,0
Q6K00020,1,FMOD0034,0,1,[],7,0
Q6K00021,1,FMOD0034,0,1,[],7,0
Q6K00022,1,FMOD0002,0,1,[],7,0
Q6K00023,1,FMOD0072,0,1,[],7,0
Q6K00024,1,FMOD0052,0,1,[],7,0
Q6K00025,1,FMOD0002,0,1,[],7,0
Q6K00026,1,FMOD0056,0,1,[],7,0
Q6K00027,1,FMOD0063,0,1,[],7,0
Q6K00028,1,FMOD0072,0,1,[],7,0
Q6K00029,1,FMOD0057,0,1,[],7,0
Q6K00030,1,FMOD0034,0,1,[],7,0
Q6K00031,1,FMOD0097,0,1,[],7,0
Q6K00032,1,FMOD0059,0,1,[],7,0
Q6K00033,1,FMOD0101,0,1,[],7,0
Q6K00034,1,FMOD0056,0,1,[],7,0
Q6K00035,1,FMOD0020,0,1,[],7,0
Q6K00036,1,FMOD0030,0,1,[],7,0
Q6K00037,1,FMOD0101,0,1,[],7,0
