query_id,node_id,modality,pseudo_ground_truth_label,is_pseudo_unknown,hidden_parent,best_visible_parent,best_fused_parent_distance,second_fused_parent_distance,distance_margin,best_mean_regret,representation_count,visible_project_count
Q6K00001,Q6K00001_N01,IMAGE,UNKNOWN,True,FMOD0065,FMOD0082,0.2529374957084656,0.3027312457561493,0.049793750047683716,0.016612499952316284,4,39
Q6K00001,Q6K00001_N02,STRUCTURED,UNKNOWN,True,FMOD0065,FMOD0063,0.1484375,0.1640625,0.015625,0.0,1,39
Q6K00001,Q6K00001_N03,CODE_BINARY,UNKNOWN,True,FMOD0065,FMOD0081,0.109375,0.1875,0.078125,0.013020833022892475,3,39
Q6K00001,Q6K00001_N04,CODE_BINARY,UNKNOWN,True,FMOD0065,FMOD0029,0.2369791716337204,0.2630208432674408,0.026041671633720398,0.010416666977107525,3,39
Q6K00001,Q6K00001_N05,CODE_BINARY,UNKNOWN,True,FMOD0065,FMOD0029,0.203125,0.2317708283662796,0.028645828366279602,0.0078125,3,39
Q6K00001,Q6K00001_N06,CODE_BINARY,UNKNOWN,True,FMOD0065,FMOD0029,0.2291666716337204,0.2369791716337204,0.0078125,0.010416666977107525,3,39
Q6K00001,Q6K00001_N07,CODE_BINARY,UNKNOWN,True,FMOD0065,FMOD0002,0.0,0.0,0.0,0.0,3,39
Q6K00002,Q6K00002_N01,IMAGE,UNKNOWN,True,FMOD0101,FMOD0082,0.25789374113082886,0.2841250002384186,0.02623125910758972,0.009575001895427704,4,39
Q6K00002,Q6K00002_N02,CODE_BINARY,UNKNOWN,True,FMOD0101,FMOD0029,0.2578125,0.2630208432674408,0.005208343267440796,0.013020833022892475,3,39
Q6K00002,Q6K00002_N03,CODE_BINARY,UNKNOWN,True,FMOD0101,FMOD0029,0.1822916716337204,0.2265625,0.0442708283662796,0.0,3,39
Q6K00002,Q6K00002_N04,CODE_BINARY,UNKNOWN,True,FMOD0101,FMOD0029,0.21875,0.234375,0.015625,0.0078125,3,39
Q6K00002,Q6K00002_N05,STRUCTURED,UNKNOWN,True,FMOD0101,FMOD0020,0.0,0.0,0.0,0.0,1,39
Q6K00002,Q6K00002_N06,CODE_BINARY,UNKNOWN,True,FMOD0101,FMOD0029,0.234375,0.2421875,0.0078125,0.010416666977107525,3,39
Q6K00002,Q6K00002_N07,CODE_BINARY,UNKNOWN,True,FMOD0101,FMOD0029,0.1666666716337204,0.1875,0.020833328366279602,0.0052083334885537624,3,39
Q6K00003,Q6K00003_N01,CODE_BINARY,UNKNOWN,True,FMOD0058,FMOD0029,0.1432291716337204,0.2161458283662796,0.0729166567325592,0.0,3,39
Q6K00003,Q6K00003_N02,CODE_BINARY,UNKNOWN,True,FMOD0058,FMOD0029,0.140625,0.1484375,0.0078125,0.02083333395421505,3,39
Q6K00003,Q6K00003_N03,IMAGE,UNKNOWN,True,FMOD0058,FMOD0030,0.21968749165534973,0.23897500336170197,0.019287511706352234,0.00390625,4,39
Q6K00003,Q6K00003_N04,CODE_BINARY,UNKNOWN,True,FMOD0058,FMOD0010,0.2239583283662796,0.2239583283662796,0.0,0.015625,3,39
Q6K00003,Q6K00003_N05,STRUCTURED,UNKNOWN,True,FMOD0058,FMOD0039,0.125,0.15625,0.03125,0.0,1,39
Q6K00003,Q6K00003_N06,CODE_BINARY,UNKNOWN,True,FMOD0058,FMOD0029,0.2552083432674408,0.2890625,0.033854156732559204,0.0,3,39
Q6K00003,Q6K00003_N07,CODE_BINARY,UNKNOWN,True,FMOD0058,FMOD0029,0.265625,0.2864583432674408,0.020833343267440796,0.015625,3,39
Q6K00004,Q6K00004_N01,CODE_BINARY,UNKNOWN,True,FMOD0082,FMOD0030,0.2395833283662796,0.25,0.010416671633720398,0.0,3,39
Q6K00004,Q6K00004_N02,CODE_BINARY,UNKNOWN,True,FMOD0082,FMOD0029,0.0520833320915699,0.0989583358168602,0.0468750037252903,0.0,3,39
Q6K00004,Q6K00004_N03,CODE_BINARY,UNKNOWN,True,FMOD0082,FMOD0041,0.2421875,0.2447916716337204,0.002604171633720398,0.02083333395421505,3,39
Q6K00004,Q6K00004_N04,IMAGE,UNKNOWN,True,FMOD0082,FMOD0112,0.17968124151229858,0.2011687457561493,0.021487504243850708,0.009543750435113907,4,39
Q6K00004,Q6K00004_N05,CODE_BINARY,UNKNOWN,True,FMOD0082,FMOD0029,0.1666666716337204,0.203125,0.0364583283662796,0.0,3,39
Q6K00004,Q6K00004_N06,STRUCTURED,UNKNOWN,True,FMOD0082,FMOD0021,0.15625,0.1640625,0.0078125,0.0,1,39
Q6K00004,Q6K00004_N07,CODE_BINARY,UNKNOWN,True,FMOD0082,FMOD0030,0.1119791641831398,0.1380208283662796,0.0260416641831398,0.0078125,3,39
Q6K00005,Q6K00005_N01,CODE_BINARY,UNKNOWN,True,FMOD0020,FMOD0029,0.1796875,0.1979166716337204,0.018229171633720398,0.0,3,39
Q6K00005,Q6K00005_N02,IMAGE,UNKNOWN,True,FMOD0020,FMOD0082,0.2244812548160553,0.2289687544107437,0.0044874995946884155,0.026468750089406967,4,39
Q6K00005,Q6K00005_N03,CODE_BINARY,UNKNOWN,True,FMOD0020,FMOD0030,0.1796875,0.1848958283662796,0.005208328366279602,0.03125,3,39
Q6K00005,Q6K00005_N04,CODE_BINARY,UNKNOWN,True,FMOD0020,FMOD0029,0.2057291716337204,0.2369791716337204,0.03125,0.0,3,39
Q6K00005,Q6K00005_N05,STRUCTURED,UNKNOWN,True,FMOD0020,FMOD0063,0.1171875,0.140625,0.0234375,0.0,1,39
Q6K00005,Q6K00005_N06,CODE_BINARY,UNKNOWN,True,FMOD0020,FMOD0112,0.2161458283662796,0.2291666716337204,0.013020843267440796,0.0026041667442768812,3,39
Q6K00005,Q6K00005_N07,CODE_BINARY,UNKNOWN,True,FMOD0020,FMOD0029,0.2473958283662796,0.2578125,0.010416671633720398,0.01822916604578495,3,39
Q6K00006,Q6K00006_N01,CODE_BINARY,UNKNOWN,True,FMOD0081,FMOD0029,0.2317708283662796,0.2421875,0.010416671633720398,0.0390625,3,39
Q6K00006,Q6K00006_N02,CODE_BINARY,UNKNOWN,True,FMOD0081,FMOD0030,0.2239583283662796,0.2369791716337204,0.013020843267440796,0.013020833022892475,3,39
Q6K00006,Q6K00006_N03,CODE_BINARY,UNKNOWN,True,FMOD0081,FMOD0029,0.2109375,0.234375,0.0234375,0.0,3,39
Q6K00006,Q6K00006_N04,CODE_BINARY,UNKNOWN,True,FMOD0081,FMOD0029,0.2526041567325592,0.2682291567325592,0.015625,0.0,3,39
