query_id,k_true,true_parent_set,top3_parent_recall,top3_all_true_parents_present,top3_candidate_pool,top4_parent_recall,top4_all_true_parents_present,top4_candidate_pool,top5_parent_recall,top5_all_true_parents_present,top5_candidate_pool,top6_parent_recall,top6_all_true_parents_present,top6_candidate_pool,top8_parent_recall,top8_all_true_parents_present,top8_candidate_pool,top10_parent_recall,top10_all_true_parents_present,top10_candidate_pool
Q6K00001,1,"[""FMOD0065""]",1.0,True,"[""FMOD0065"", ""FMOD0029"", ""FMOD0056""]",1.0,True,"[""FMOD0065"", ""FMOD0029"", ""FMOD0056"", ""FMOD0030""]",1.0,True,"[""FMOD0065"", ""FMOD0029"", ""FMOD0056"", ""FMOD0030"", ""FMOD0082""]",1.0,True,"[""FMOD0065"", ""FMOD0029"", ""FMOD0056"", ""FMOD0030"", ""FMOD0082"", ""FMOD0112""]",1.0,True,"[""FMOD0065"", ""FMOD0029"", ""FMOD0056"", ""FMOD0030"", ""FMOD0082"", ""FMOD0112"", ""FMOD0041"", ""FMOD0114""]",1.0,True,"[""FMOD0065"", ""FMOD0029"", ""FMOD0056"", ""FMOD0030"", ""FMOD0082"", ""FMOD0112"", ""FMOD0041"", ""FMOD0114"", ""FMOD0002"", ""FMOD0010""]"
Q6K00002,1,"[""FMOD0101""]",1.0,True,"[""FMOD0101"", ""FMOD0030"", ""FMOD0020""]",1.0,True,"[""FMOD0101"", ""FMOD0030"", ""FMOD0020"", ""FMOD0039""]",1.0,True,"[""FMOD0101"", ""FMOD0030"", ""FMOD0020"", ""FMOD0039"", ""FMOD0097""]",1.0,True,"[""FMOD0101"", ""FMOD0030"", ""FMOD0020"", ""FMOD0039"", ""FMOD0097"", ""FMOD0029""]",1.0,True,"[""FMOD0101"", ""FMOD0030"", ""FMOD0020"", ""FMOD0039"", ""FMOD0097"", ""FMOD0029"", ""FMOD0114"", ""FMOD0056""]",1.0,True,"[""FMOD0101"", ""FMOD0030"", ""FMOD0020"", ""FMOD0039"", ""FMOD0097"", ""FMOD0029"", ""FMOD0114"", ""FMOD0056"", ""FMOD0112"", ""FMOD0041""]"
Q6K00003,1,"[""FMOD0058""]",1.0,True,"[""FMOD0058"", ""FMOD0029"", ""FMOD0078""]",1.0,True,"[""FMOD0058"", ""FMOD0029"", ""FMOD0078"", ""FMOD0056""]",1.0,True,"[""FMOD0058"", ""FMOD0029"", ""FMOD0078"", ""FMOD0056"", ""FMOD0114""]",1.0,True,"[""FMOD0058"", ""FMOD0029"", ""FMOD0078"", ""FMOD0056"", ""FMOD0114"", ""FMOD0010""]",1.0,True,"[""FMOD0058"", ""FMOD0029"", ""FMOD0078"", ""FMOD0056"", ""FMOD0114"", ""FMOD0010"", ""FMOD0117"", ""FMOD0081""]",1.0,True,"[""FMOD0058"", ""FMOD0029"", ""FMOD0078"", ""FMOD0056"", ""FMOD0114"", ""FMOD0010"", ""FMOD0117"", ""FMOD0081"", ""FMOD0030"", ""FMOD0065""]"
Q6K00004,1,"[""FMOD0082""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056"", ""FMOD0030""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056"", ""FMOD0030"", ""FMOD0081""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056"", ""FMOD0030"", ""FMOD0081"", ""FMOD0065""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056"", ""FMOD0030"", ""FMOD0081"", ""FMOD0065"", ""FMOD0010"", ""FMOD0112""]",1.0,True,"[""FMOD0082"", ""FMOD0029"", ""FMOD0056"", ""FMOD0030"", ""FMOD0081"", ""FMOD0065"", ""FMOD0010"", ""FMOD0112"", ""FMOD0114"", ""FMOD0097""]"
Q6K00005,1,"[""FMOD0020""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0030""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0030"", ""FMOD0056""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0030"", ""FMOD0056"", ""FMOD0114""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0030"", ""FMOD0056"", ""FMOD0114"", ""FMOD0026""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0030"", ""FMOD0056"", ""FMOD0114"", ""FMOD0026"", ""FMOD0112"", ""FMOD0041""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0030"", ""FMOD0056"", ""FMOD0114"", ""FMOD0026"", ""FMOD0112"", ""FMOD0041"", ""FMOD0078"", ""FMOD0010""]"
Q6K00006,1,"[""FMOD0081""]",1.0,True,"[""FMOD0081"", ""FMOD0030"", ""FMOD0082""]",1.0,True,"[""FMOD0081"", ""FMOD0030"", ""FMOD0082"", ""FMOD0072""]",1.0,True,"[""FMOD0081"", ""FMOD0030"", ""FMOD0082"", ""FMOD0072"", ""FMOD0029""]",1.0,True,"[""FMOD0081"", ""FMOD0030"", ""FMOD0082"", ""FMOD0072"", ""FMOD0029"", ""FMOD0041""]",1.0,True,"[""FMOD0081"", ""FMOD0030"", ""FMOD0082"", ""FMOD0072"", ""FMOD0029"", ""FMOD0041"", ""FMOD0112"", ""FMOD0114""]",1.0,True,"[""FMOD0081"", ""FMOD0030"", ""FMOD0082"", ""FMOD0072"", ""FMOD0029"", ""FMOD0041"", ""FMOD0112"", ""FMOD0114"", ""FMOD0097"", ""FMOD0056""]"
Q6K00007,1,"[""FMOD0030""]",1.0,True,"[""FMOD0030"", ""FMOD0029"", ""FMOD0041""]",1.0,True,"[""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010""]",1.0,True,"[""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010"", ""FMOD0012""]",1.0,True,"[""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010"", ""FMOD0012"", ""FMOD0020""]",1.0,True,"[""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010"", ""FMOD0012"", ""FMOD0020"", ""FMOD0081"", ""FMOD0042""]",1.0,True,"[""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010"", ""FMOD0012"", ""FMOD0020"", ""FMOD0081"", ""FMOD0042"", ""FMOD0072"", ""FMOD0039""]"
Q6K00008,1,"[""FMOD0056""]",1.0,True,"[""FMOD0056"", ""FMOD0081"", ""FMOD0082""]",1.0,True,"[""FMOD0056"", ""FMOD0081"", ""FMOD0082"", ""FMOD0010""]",1.0,True,"[""FMOD0056"", ""FMOD0081"", ""FMOD0082"", ""FMOD0010"", ""FMOD0114""]",1.0,True,"[""FMOD0056"", ""FMOD0081"", ""FMOD0082"", ""FMOD0010"", ""FMOD0114"", ""FMOD0029""]",1.0,True,"[""FMOD0056"", ""FMOD0081"", ""FMOD0082"", ""FMOD0010"", ""FMOD0114"", ""FMOD0029"", ""FMOD0117"", ""FMOD0112""]",1.0,True,"[""FMOD0056"", ""FMOD0081"", ""FMOD0082"", ""FMOD0010"", ""FMOD0114"", ""FMOD0029"", ""FMOD0117"", ""FMOD0112"", ""FMOD0030"", ""FMOD0065""]"
Q6K00009,1,"[""FMOD0034""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0081""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0081"", ""FMOD0030""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0081"", ""FMOD0030"", ""FMOD0029"", ""FMOD0063""]",1.0,True,"[""FMOD0034"", ""FMOD0039"", ""FMOD0082"", ""FMOD0065"", ""FMOD0081"", ""FMOD0030"", ""FMOD0029"", ""FMOD0063"", ""FMOD0020"", ""FMOD0010""]"
Q6K00010,1,"[""FMOD0020""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0101""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0101"", ""FMOD0010""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0101"", ""FMOD0010"", ""FMOD0030""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0101"", ""FMOD0010"", ""FMOD0030"", ""FMOD0112""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0101"", ""FMOD0010"", ""FMOD0030"", ""FMOD0112"", ""FMOD0114"", ""FMOD0081""]",1.0,True,"[""FMOD0020"", ""FMOD0029"", ""FMOD0101"", ""FMOD0010"", ""FMOD0030"", ""FMOD0112"", ""FMOD0114"", ""FMOD0081"", ""FMOD0056"", ""FMOD0065""]"
Q6K00011,1,"[""FMOD0041""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029"", ""FMOD0082""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029"", ""FMOD0082"", ""FMOD0010""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029"", ""FMOD0082"", ""FMOD0010"", ""FMOD0045""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029"", ""FMOD0082"", ""FMOD0010"", ""FMOD0045"", ""FMOD0020"", ""FMOD0081""]",1.0,True,"[""FMOD0041"", ""FMOD0030"", ""FMOD0029"", ""FMOD0082"", ""FMOD0010"", ""FMOD0045"", ""FMOD0020"", ""FMOD0081"", ""FMOD0114"", ""FMOD0112""]"
Q6K00012,1,"[""FMOD0045""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029"", ""FMOD0041""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010"", ""FMOD0065""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010"", ""FMOD0065"", ""FMOD0082"", ""FMOD0056""]",1.0,True,"[""FMOD0045"", ""FMOD0030"", ""FMOD0029"", ""FMOD0041"", ""FMOD0010"", ""FMOD0065"", ""FMOD0082"", ""FMOD0056"", ""FMOD0114"", ""FMOD0112""]"
Q6K00013,1,"[""FMOD0097""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117"", ""FMOD0114""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117"", ""FMOD0114"", ""FMOD0029""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078"", ""FMOD0065"", ""FMOD0112""]",1.0,True,"[""FMOD0097"", ""FMOD0056"", ""FMOD0117"", ""FMOD0114"", ""FMOD0029"", ""FMOD0078"", ""FMOD0065"", ""FMOD0112"", ""FMOD0081"", ""FMOD0026""]"
Q6K00014,1,"[""FMOD0081""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020"", ""FMOD0030""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020"", ""FMOD0030"", ""FMOD0082""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020"", ""FMOD0030"", ""FMOD0082"", ""FMOD0112""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020"", ""FMOD0030"", ""FMOD0082"", ""FMOD0112"", ""FMOD0056"", ""FMOD0114""]",1.0,True,"[""FMOD0081"", ""FMOD0029"", ""FMOD0020"", ""FMOD0030"", ""FMOD0082"", ""FMOD0112"", ""FMOD0056"", ""FMOD0114"", ""FMOD0041"", ""FMOD0097""]"
