method,component_accuracy,parent_set_f1,parent_set_exact,k_accuracy,k_mae,unknown_precision,unknown_recall,unknown_f1,k_true,queries
Independent_Component,0.7916666666666666,0.7172222222222222,0.25833333333333336,0.25833333333333336,0.9583333333333334,0.8167420814479638,0.8595238095238096,0.8375870069605569,1,120
Independent_Component,0.7714285714285715,0.823968253968254,0.3,0.3333333333333333,0.8333333333333334,0.6,0.8571428571428571,0.7058823529411764,2,120
Independent_Component,0.7642857142857142,0.8510449735449735,0.3,0.38333333333333336,0.775,0.4330708661417323,0.8461538461538461,0.5729166666666667,3,120
Hierarchical_Content_Top10_Beta0,0.8297619047619048,0.7902777777777777,0.39166666666666666,0.39166666666666666,0.65,0.8227571115973742,0.8952380952380953,0.8574686431014824,1,120
Hierarchical_Content_Top10_Beta0,0.8178571428571428,0.8852777777777778,0.5,0.5416666666666666,0.4583333333333333,0.6047297297297297,0.8817733990147784,0.717434869739479,2,120
Hierarchical_Content_Top10_Beta0,0.7738095238095238,0.8550793650793651,0.35,0.5083333333333333,0.49166666666666664,0.41818181818181815,0.8846153846153846,0.5679012345679012,3,120
Final_Graph_Beta0.1,0.8273809523809523,0.7930555555555555,0.4,0.4,0.6416666666666667,0.8231441048034934,0.8976190476190476,0.8587699316628701,1,120
Final_Graph_Beta0.1,0.819047619047619,0.8869444444444444,0.5083333333333333,0.55,0.45,0.6060606060606061,0.8866995073891626,0.72,2,120
Final_Graph_Beta0.1,0.7714285714285715,0.8526984126984127,0.35,0.5083333333333333,0.49166666666666664,0.41818181818181815,0.8846153846153846,0.5679012345679012,3,120
Oracle_KnownParentCount_Content,0.8714285714285714,0.8583333333333333,0.6416666666666667,0.6416666666666667,0.35833333333333334,0.825147347740668,1.0,0.9041980624327233,1,120
Oracle_KnownParentCount_Content,0.8285714285714286,0.8963888888888889,0.6083333333333333,0.6666666666666666,0.3333333333333333,0.6107594936708861,0.9507389162561576,0.74373795761079,2,120
Oracle_KnownParentCount_Content,0.7773809523809524,0.8642063492063491,0.425,0.575,0.425,0.4352517985611511,0.9307692307692308,0.5931372549019608,3,120
