method,component_accuracy,parent_set_f1,parent_set_exact,k_accuracy,k_mae,unknown_precision,unknown_recall,unknown_f1,scenario,queries
Independent_Component,0.7238095238095238,0.6899999999999998,0.18333333333333332,0.18333333333333332,1.05,0.0,0.0,0.0,TEST_KNOWN_K1,60
Independent_Component,0.75,0.7817460317460316,0.13333333333333333,0.16666666666666666,1.05,0.0,0.0,0.0,TEST_KNOWN_K2,60
Independent_Component,0.7476190476190476,0.7988756613756611,0.08333333333333333,0.2,1.0,0.0,0.0,0.0,TEST_KNOWN_K3,60
Independent_Component,0.7928571428571428,0.8661904761904762,0.4666666666666667,0.5,0.6166666666666667,0.8055555555555556,0.8571428571428571,0.8305489260143198,TEST_MIXED_1K1U,60
Independent_Component,0.780952380952381,0.9032142857142857,0.5166666666666667,0.5666666666666667,0.55,0.6432748538011696,0.8461538461538461,0.7308970099667773,TEST_MIXED_2K1U,60
Independent_Component,0.8595238095238096,0.7444444444444442,0.3333333333333333,0.3333333333333333,0.8666666666666667,1.0,0.8595238095238096,0.9244558258642765,TEST_UNKNOWN_K1,60
Hierarchical_Content_Top10_Beta0,0.7642857142857142,0.7499999999999999,0.2833333333333333,0.2833333333333333,0.7833333333333333,0.0,0.0,0.0,TEST_KNOWN_K1,60
Hierarchical_Content_Top10_Beta0,0.8071428571428572,0.8433333333333332,0.31666666666666665,0.38333333333333336,0.6166666666666667,0.0,0.0,0.0,TEST_KNOWN_K2,60
Hierarchical_Content_Top10_Beta0,0.75,0.7926984126984125,0.1,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,TEST_KNOWN_K3,60
Hierarchical_Content_Top10_Beta0,0.8285714285714286,0.9272222222222221,0.6833333333333333,0.7,0.3,0.8099547511312217,0.8817733990147784,0.8443396226415095,TEST_MIXED_1K1U,60
Hierarchical_Content_Top10_Beta0,0.7976190476190477,0.9174603174603174,0.6,0.6833333333333333,0.31666666666666665,0.6353591160220995,0.8846153846153846,0.7395498392282958,TEST_MIXED_2K1U,60
Hierarchical_Content_Top10_Beta0,0.8952380952380953,0.8305555555555554,0.5,0.5,0.5166666666666667,1.0,0.8952380952380953,0.9447236180904524,TEST_UNKNOWN_K1,60
Final_Graph_Beta0.1,0.7571428571428571,0.7499999999999999,0.2833333333333333,0.2833333333333333,0.7833333333333333,0.0,0.0,0.0,TEST_KNOWN_K1,60
Final_Graph_Beta0.1,0.8095238095238095,0.8433333333333332,0.31666666666666665,0.38333333333333336,0.6166666666666667,0.0,0.0,0.0,TEST_KNOWN_K2,60
Final_Graph_Beta0.1,0.7452380952380953,0.7879365079365077,0.1,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,TEST_KNOWN_K3,60
Final_Graph_Beta0.1,0.8285714285714286,0.9305555555555555,0.7,0.7166666666666667,0.2833333333333333,0.8108108108108109,0.8866995073891626,0.8470588235294119,TEST_MIXED_1K1U,60
Final_Graph_Beta0.1,0.7976190476190477,0.9174603174603174,0.6,0.6833333333333333,0.31666666666666665,0.6353591160220995,0.8846153846153846,0.7395498392282958,TEST_MIXED_2K1U,60
Final_Graph_Beta0.1,0.8976190476190476,0.8361111111111109,0.5166666666666667,0.5166666666666667,0.5,1.0,0.8976190476190476,0.9460476787954831,TEST_UNKNOWN_K1,60
Oracle_KnownParentCount_Content,0.7428571428571429,0.7166666666666666,0.2833333333333333,0.2833333333333333,0.7166666666666667,0.0,0.0,0.0,TEST_KNOWN_K1,60
Oracle_KnownParentCount_Content,0.8047619047619048,0.8399999999999999,0.31666666666666665,0.35,0.65,0.0,0.0,0.0,TEST_KNOWN_K2,60
Oracle_KnownParentCount_Content,0.7476190476190476,0.7984126984126981,0.1,0.25,0.75,0.0,0.0,0.0,TEST_KNOWN_K3,60
Oracle_KnownParentCount_Content,0.8523809523809524,0.9527777777777778,0.9,0.9833333333333333,0.016666666666666666,0.8041666666666667,0.9507389162561576,0.8713318284424381,TEST_MIXED_1K1U,60
Oracle_KnownParentCount_Content,0.8071428571428572,0.9299999999999999,0.75,0.9,0.1,0.6436170212765957,0.9307692307692308,0.761006289308176,TEST_MIXED_2K1U,60
Oracle_KnownParentCount_Content,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,TEST_UNKNOWN_K1,60
