source_project,removed_queries,retained_queries,component_accuracy,delta_component_accuracy,parent_set_f1,delta_parent_set_f1,parent_set_exact,delta_parent_set_exact,k_accuracy,delta_k_accuracy,k_mae,delta_k_mae,unknown_precision,delta_unknown_precision,unknown_recall,delta_unknown_recall,unknown_f1,delta_unknown_f1
FMOD0001,11,349,0.8100695865738846,0.004117205621503639,0.8467321599126777,0.0024993556798710292,0.4297994269340974,0.010354982489652942,0.49570200573065903,0.00959089461954793,0.5157593123209169,-0.012018465456860916,0.6660019940179461,0.013574809551926692,0.8918558077436582,-0.0005744711408038894,0.7625570776255708,0.008771323278963905
FMOD0003,12,348,0.8054187192118226,-0.0005336617405583555,0.8436781609195421,-0.0005546433132646023,0.4224137931034483,0.0029693486590038343,0.4885057471264368,0.0023946360153256907,0.5258620689655172,-0.0019157088122605526,0.658102766798419,0.005675582332399509,0.8939597315436242,0.001529452659162045,0.7581104154809334,0.004324661134326502
FMOD0004,11,349,0.8055669259107655,-0.00038545504161546784,0.8433619866284642,-0.0008708176043424887,0.4183381088825215,-0.0011063355619229664,0.48424068767908307,-0.0018704234320280344,0.5300859598853869,0.0023081821076090803,0.6567164179104478,0.004289233444428331,0.8918918918918919,-0.00053838699257025,0.7564469914040116,0.0026612370574047306
FMOD0005,16,344,0.8048172757475083,-0.0011351052048726995,0.8421096345514966,-0.0021231696813100998,0.4127906976744186,-0.006653746770025837,0.4796511627906977,-0.006459948320413411,0.5348837209302325,0.007105943152454719,0.6582914572864321,0.005864272820412686,0.891156462585034,-0.0012738162994281321,0.7572254335260116,0.0034396791794046866
FMOD0006,10,350,0.8028571428571428,-0.003095238095238151,0.8413061224489817,-0.002926681783824936,0.4085714285714286,-0.010873015873015868,0.47714285714285715,-0.008968253968253959,0.5371428571428571,0.009365079365079354,0.6373850868232891,-0.015042097642730345,0.887624466571835,-0.004805812312627111,0.7419738406658739,-0.011811913680732977
FMOD0007,12,348,0.8054187192118226,-0.0005336617405583555,0.8430760810071172,-0.0011567232256894933,0.4166666666666667,-0.002777777777777768,0.4827586206896552,-0.0033524904214559115,0.5316091954022989,0.003831417624521105,0.6455566905005107,-0.006870493965508762,0.8901408450704226,-0.0022894338140395654,0.7483718176435761,-0.005413936703030808
FMOD0009,13,347,0.8027995059695348,-0.003152874982846221,0.8413064361191179,-0.0029263681136887376,0.4092219020172911,-0.01022254242715337,0.4783861671469741,-0.007724943964137032,0.5360230547550432,0.008245276977265403,0.6391752577319587,-0.013251926734060726,0.8857142857142857,-0.00671599317017646,0.7425149700598801,-0.011270784286726787
FMOD0011,11,349,0.8100695865738846,0.004117205621503639,0.8443989630236068,0.00016615879080017493,0.42406876790830944,0.004624323463864988,0.4871060171919771,0.0009949060808659982,0.5272206303724928,-0.0005571474052850078,0.6646646646646647,0.012237480198645234,0.8924731182795699,4.283939510774104e-05,0.761904761904762,0.008119007558155089
FMOD0014,7,353,0.8057466612707406,-0.00020571968164040388,0.8452853095912607,0.0010525053584540256,0.42492917847025496,0.0054847340258105115,0.48725212464589235,0.0011410135347812433,0.5269121813031161,-0.0008655964746616673,0.6575342465753424,0.005107062109322991,0.8924302788844621,0.0,0.7571830985915492,0.003397344244942313
FMOD0016,19,341,0.8173439463762044,0.011391565423823469,0.8471023600055874,0.0028695557727806964,0.4340175953079179,0.014573150863473439,0.49853372434017595,0.01242261322906485,0.5161290322580645,-0.011648745519713288,0.6788321167883211,0.026404932322301677,0.8905608755129959,-0.0018694033714662384,0.7704142011834318,0.01662844683682496
FMOD0022,17,343,0.8017492711370262,-0.004203109815354766,0.8412605858670015,-0.0029722183658051904,0.4110787172011662,-0.008365727243278276,0.47230320699708456,-0.013807904114026548,0.5422740524781341,0.014496274700356304,0.6519558676028084,-0.0004713168632110021,0.8904109589041096,-0.002019319980352541,0.7527504342790967,-0.0010353200675101704
FMOD0023,17,343,0.8075801749271136,0.001627793974732672,0.8458142440649745,0.0015814398321678524,0.43440233236151604,0.014957887917071588,0.5014577259475219,0.01534661483641081,0.5131195335276968,-0.014658244250080998,0.6623505976095617,0.009923413143542281,0.8986486486486487,0.006218369764186549,0.7626146788990825,0.008828924552475637
FMOD0025,22,338,0.8055790363482671,-0.0003733446041138677,0.842490842490844,-0.0017419617419626165,0.4171597633136095,-0.0022846811308349646,0.47633136094674555,-0.009779750164365553,0.5384615384615384,0.010683760683760646,0.6565349544072948,0.004107769941275374,0.8937931034482759,0.0013628245638137582,0.7570093457943925,0.003223591447785612
