query_id,source_projects,source_project_count,anchor_source_project
Q6K00181,"[""FMOD0077""]",1,FMOD0077
Q6K00182,"[""FMOD0001""]",1,FMOD0001
Q6K00183,"[""FMOD0023""]",1,FMOD0023
Q6K00184,"[""FMOD0004""]",1,FMOD0004
Q6K00185,"[""FMOD0096""]",1,FMOD0096
Q6K00186,"[""FMOD0077""]",1,FMOD0077
Q6K00187,"[""FMOD0086""]",1,FMOD0086
Q6K00188,"[""FMOD0001""]",1,FMOD0001
Q6K00189,"[""FMOD0087""]",1,FMOD0087
Q6K00190,"[""FMOD0050""]",1,FMOD0050
Q6K00191,"[""FMOD0086""]",1,FMOD0086
Q6K00192,"[""FMOD0086""]",1,FMOD0086
Q6K00193,"[""FMOD0025""]",1,FMOD0025
Q6K00194,"[""FMOD0083""]",1,FMOD0083
Q6K00195,"[""FMOD0061""]",1,FMOD0061
Q6K00196,"[""FMOD0050""]",1,FMOD0050
Q6K00197,"[""FMOD0069""]",1,FMOD0069
Q6K00198,"[""FMOD0043""]",1,FMOD0043
Q6K00199,"[""FMOD0067""]",1,FMOD0067
Q6K00200,"[""FMOD0051""]",1,FMOD0051
Q6K00201,"[""FMOD0066""]",1,FMOD0066
Q6K00202,"[""FMOD0087""]",1,FMOD0087
Q6K00203,"[""FMOD0079""]",1,FMOD0079
Q6K00204,"[""FMOD0050""]",1,FMOD0050
Q6K00205,"[""FMOD0051""]",1,FMOD0051
Q6K00206,"[""FMOD0016""]",1,FMOD0016
Q6K00207,"[""FMOD0023""]",1,FMOD0023
Q6K00208,"[""FMOD0079""]",1,FMOD0079
Q6K00209,"[""FMOD0089""]",1,FMOD0089
Q6K00210,"[""FMOD0023""]",1,FMOD0023
Q6K00211,"[""FMOD0053""]",1,FMOD0053
Q6K00212,"[""FMOD0060""]",1,FMOD0060
Q6K00213,"[""FMOD0087""]",1,FMOD0087
Q6K00214,"[""FMOD0044""]",1,FMOD0044
Q6K00215,"[""FMOD0025""]",1,FMOD0025
Q6K00216,"[""FMOD0016""]",1,FMOD0016
Q6K00217,"[""FMOD0016""]",1,FMOD0016
Q6K00218,"[""FMOD0083""]",1,FMOD0083
Q6K00219,"[""FMOD0060""]",1,FMOD0060
Q6K00220,"[""FMOD0074""]",1,FMOD0074
Q6K00221,"[""FMOD0023""]",1,FMOD0023
Q6K00222,"[""FMOD0061""]",1,FMOD0061
Q6K00223,"[""FMOD0003""]",1,FMOD0003
Q6K00224,"[""FMOD0074""]",1,FMOD0074
Q6K00225,"[""FMOD0074""]",1,FMOD0074
Q6K00226,"[""FMOD0053""]",1,FMOD0053
Q6K00227,"[""FMOD0096""]",1,FMOD0096
Q6K00228,"[""FMOD0011""]",1,FMOD0011
Q6K00229,"[""FMOD0086""]",1,FMOD0086
Q6K00230,"[""FMOD0036""]",1,FMOD0036
Q6K00231,"[""FMOD0079""]",1,FMOD0079
Q6K00232,"[""FMOD0060""]",1,FMOD0060
Q6K00233,"[""FMOD0055""]",1,FMOD0055
Q6K00234,"[""FMOD0001""]",1,FMOD0001
Q6K00235,"[""FMOD0096""]",1,FMOD0096
Q6K00236,"[""FMOD0036""]",1,FMOD0036
Q6K00237,"[""FMOD0067""]",1,FMOD0067
Q6K00238,"[""FMOD0079""]",1,FMOD0079
Q6K00239,"[""FMOD0055""]",1,FMOD0055
Q6K00240,"[""FMOD0069""]",1,FMOD0069
Q6K00241,"[""FMOD0011"", ""FMOD0025""]",2,FMOD0011
Q6K00242,"[""FMOD0025"", ""FMOD0089""]",2,FMOD0089
Q6K00243,"[""FMOD0044"", ""FMOD0067""]",2,FMOD0067
Q6K00244,"[""FMOD0023"", ""FMOD0089""]",2,FMOD0023
Q6K00245,"[""FMOD0022"", ""FMOD0086""]",2,FMOD0022
Q6K00246,"[""FMOD0005"", ""FMOD0053""]",2,FMOD0005
Q6K00247,"[""FMOD0060"", ""FMOD0069""]",2,FMOD0069
Q6K00248,"[""FMOD0035"", ""FMOD0040""]",2,FMOD0035
Q6K00249,"[""FMOD0040"", ""FMOD0074""]",2,FMOD0040
Q6K00250,"[""FMOD0096"", ""FMOD0099""]",2,FMOD0096
Q6K00251,"[""FMOD0044"", ""FMOD0067""]",2,FMOD0067
Q6K00252,"[""FMOD0043"", ""FMOD0086""]",2,FMOD0086
Q6K00253,"[""FMOD0016"", ""FMOD0051""]",2,FMOD0051
Q6K00254,"[""FMOD0040"", ""FMOD0083""]",2,FMOD0083
Q6K00255,"[""FMOD0016"", ""FMOD0053""]",2,FMOD0053
Q6K00256,"[""FMOD0083"", ""FMOD0087""]",2,FMOD0083
Q6K00257,"[""FMOD0043"", ""FMOD0077""]",2,FMOD0077
Q6K00258,"[""FMOD0001"", ""FMOD0096""]",2,FMOD0001
Q6K00259,"[""FMOD0043"", ""FMOD0089""]",2,FMOD0089
Q6K00260,"[""FMOD0001"", ""FMOD0099""]",2,FMOD0001
Q6K00261,"[""FMOD0022"", ""FMOD0067""]",2,FMOD0067
Q6K00262,"[""FMOD0060"", ""FMOD0069""]",2,FMOD0069
Q6K00263,"[""FMOD0043"", ""FMOD0096""]",2,FMOD0096
Q6K00264,"[""FMOD0043"", ""FMOD0066""]",2,FMOD0066
Q6K00265,"[""FMOD0004"", ""FMOD0074""]",2,FMOD0004
Q6K00266,"[""FMOD0005"", ""FMOD0061""]",2,FMOD0005
Q6K00267,"[""FMOD0022"", ""FMOD0069""]",2,FMOD0069
Q6K00268,"[""FMOD0050"", ""FMOD0077""]",2,FMOD0077
Q6K00269,"[""FMOD0025"", ""FMOD0087""]",2,FMOD0087
Q6K00270,"[""FMOD0043"", ""FMOD0079""]",2,FMOD0079
Q6K00271,"[""FMOD0044"", ""FMOD0086""]",2,FMOD0044
Q6K00272,"[""FMOD0025"", ""FMOD0087""]",2,FMOD0025
Q6K00273,"[""FMOD0023"", ""FMOD0043""]",2,FMOD0023
