concurrency,request_index,query_id,success,status_code,client_latency_ms,server_internal_total_ms,predicted_k,error
1,1,Q6K00432,True,200,33.1089,0.8596,3,
1,2,Q6K00495,True,200,11.5895,0.9272,2,
1,3,Q6K00378,True,200,12.1161,1.0011,3,
1,4,Q6K00310,True,200,39.982,0.9848,3,
1,5,Q6K00202,True,200,12.2282,0.9422,2,
1,6,Q6K00229,True,200,13.4189,0.9376,1,
1,7,Q6K00351,True,200,34.9534,0.9766,4,
1,8,Q6K00273,True,200,31.4453,0.9225,3,
1,9,Q6K00433,True,200,34.6582,1.2648,3,
1,10,Q6K00271,True,200,13.6814,1.0838,3,
1,11,Q6K00531,True,200,12.7019,0.8354,1,
1,12,Q6K00421,True,200,42.1456,2.342,3,
1,13,Q6K00487,True,200,13.9566,0.9958,2,
1,14,Q6K00528,True,200,41.218,0.8582,1,
1,15,Q6K00248,True,200,28.9107,1.018,3,
1,16,Q6K00394,True,200,31.072,0.9933,3,
1,17,Q6K00300,True,200,12.9928,1.019,3,
1,18,Q6K00514,True,200,32.1689,1.1153,2,
1,19,Q6K00386,True,200,11.7599,0.9227,3,
1,20,Q6K00302,True,200,12.3496,0.9642,4,
1,21,Q6K00226,True,200,11.3525,0.8722,2,
1,22,Q6K00394,True,200,10.9622,0.8291,3,
1,23,Q6K00330,True,200,29.6275,0.8698,3,
1,24,Q6K00500,True,200,11.8697,0.9833,2,
1,25,Q6K00474,True,200,35.1665,0.9544,3,
1,26,Q6K00325,True,200,32.3808,0.9521,4,
1,27,Q6K00352,True,200,31.36,0.9405,4,
1,28,Q6K00468,True,200,12.2516,0.9543,3,
1,29,Q6K00529,True,200,11.3122,0.7893,1,
1,30,Q6K00501,True,200,36.3484,0.901,1,
1,31,Q6K00531,True,200,31.1934,0.8461,1,
1,32,Q6K00385,True,200,12.0901,0.8615,2,
1,33,Q6K00522,True,200,12.2883,0.8753,1,
1,34,Q6K00386,True,200,22.1346,0.9191,3,
1,35,Q6K00359,True,200,30.5288,0.922,4,
1,36,Q6K00424,True,200,32.0062,0.9414,2,
1,37,Q6K00451,True,200,30.8902,1.0003,3,
1,38,Q6K00285,True,200,11.6712,1.0769,2,
1,39,Q6K00498,True,200,11.3253,0.8609,2,
1,40,Q6K00353,True,200,23.2476,1.008,3,
1,41,Q6K00337,True,200,11.3986,0.9785,3,
1,42,Q6K00496,True,200,35.7551,0.8784,1,
1,43,Q6K00404,True,200,31.0593,0.8822,2,
1,44,Q6K00380,True,200,45.3542,1.0172,2,
1,45,Q6K00478,True,200,11.865,0.8943,3,
1,46,Q6K00239,True,200,11.3515,0.8896,2,
1,47,Q6K00319,True,200,11.2629,0.9052,4,
1,48,Q6K00417,True,200,11.1659,0.9036,2,
1,49,Q6K00474,True,200,11.4197,0.9045,3,
1,50,Q6K00509,True,200,35.9571,0.8116,1,
1,51,Q6K00386,True,200,11.1462,0.8745,3,
1,52,Q6K00532,True,200,35.8273,0.9205,2,
1,53,Q6K00292,True,200,30.1983,0.946,2,
1,54,Q6K00359,True,200,12.1719,0.8897,4,
1,55,Q6K00330,True,200,34.7069,0.9114,3,
1,56,Q6K00345,True,200,29.8233,0.9152,4,
1,57,Q6K00268,True,200,31.8158,0.9788,2,
1,58,Q6K00212,True,200,31.6789,1.0276,2,
1,59,Q6K00315,True,200,12.5309,1.0054,3,
1,60,Q6K00538,True,200,32.9196,0.8928,2,
1,61,Q6K00492,True,200,11.3054,0.8867,2,
1,62,Q6K00530,True,200,36.043,0.9259,2,
1,63,Q6K00434,True,200,11.3082,0.8409,2,
1,64,Q6K00511,True,200,36.7588,0.9697,2,
1,65,Q6K00349,True,200,13.6449,0.9869,4,
1,66,Q6K00283,True,200,11.8371,0.9829,3,
1,67,Q6K00240,True,200,36.3844,0.9828,2,
1,68,Q6K00386,True,200,12.5743,1.0011,3,
1,69,Q6K00320,True,200,34.5429,1.0706,3,
1,70,Q6K00238,True,200,11.7801,0.9603,3,
1,71,Q6K00351,True,200,33.268,0.9504,4,
1,72,Q6K00407,True,200,30.8056,0.9193,2,
1,73,Q6K00338,True,200,13.2529,0.9466,4,
1,74,Q6K00524,True,200,11.5815,0.8996,2,
1,75,Q6K00484,True,200,12.8958,0.8404,1,
1,76,Q6K00462,True,200,12.4754,1.1441,3,
1,77,Q6K00259,True,200,26.4372,1.0054,2,
1,78,Q6K00416,True,200,30.2947,0.8626,2,
1,79,Q6K00480,True,200,11.2188,0.9034,3,
1,80,Q6K00250,True,200,35.9931,0.989,3,
1,81,Q6K00444,True,200,33.7672,1.1484,3,
1,82,Q6K00356,True,200,20.4929,1.1528,4,
1,83,Q6K00303,True,200,28.7823,1.0544,4,
1,84,Q6K00239,True,200,16.2599,0.9775,2,
1,85,Q6K00394,True,200,14.7272,1.1301,3,
1,86,Q6K00213,True,200,15.0066,0.9355,2,
1,87,Q6K00454,True,200,15.1678,1.0428,3,
1,88,Q6K00198,True,200,30.6954,1.0301,1,
1,89,Q6K00390,True,200,13.6065,1.1287,3,
1,90,Q6K00523,True,200,33.3246,0.8998,1,
1,91,Q6K00524,True,200,30.4303,0.9342,2,
1,92,Q6K00337,True,200,33.2059,1.1005,3,
1,93,Q6K00341,True,200,25.9693,0.9686,3,
1,94,Q6K00303,True,200,13.4122,0.9518,4,
1,95,Q6K00472,True,200,34.6932,0.8919,4,
1,96,Q6K00346,True,200,12.2837,0.9724,4,
1,97,Q6K00382,True,200,33.9663,0.912,2,
1,98,Q6K00384,True,200,31.0757,0.8857,2,
1,99,Q6K00426,True,200,11.7405,0.8682,3,
1,100,Q6K00468,True,200,34.7869,0.9341,3,
1,101,Q6K00493,True,200,13.0489,0.9902,2,
1,102,Q6K00300,True,200,32.7821,0.9381,3,
1,103,Q6K00335,True,200,11.9176,0.9761,4,
1,104,Q6K00471,True,200,12.5707,0.8767,3,
1,105,Q6K00470,True,200,13.7649,1.2446,3,
1,106,Q6K00402,True,200,12.8277,1.0533,2,
1,107,Q6K00365,True,200,12.3893,0.9473,2,
1,108,Q6K00462,True,200,29.1415,0.9622,3,
1,109,Q6K00243,True,200,30.204,0.9592,3,
1,110,Q6K00239,True,200,12.2335,0.9854,2,
1,111,Q6K00512,True,200,34.6965,1.0714,2,
1,112,Q6K00190,True,200,12.1446,1.0327,2,
1,113,Q6K00501,True,200,10.7833,0.7933,1,
1,114,Q6K00453,True,200,10.8677,0.873,3,
1,115,Q6K00201,True,200,10.9764,0.8967,2,
1,116,Q6K00346,True,200,34.3917,0.9116,4,
1,117,Q6K00299,True,200,29.9333,0.9205,3,
1,118,Q6K00462,True,200,31.2524,0.9041,3,
1,119,Q6K00486,True,200,32.0205,0.9099,2,
1,120,Q6K00411,True,200,11.1504,1.0154,2,
1,121,Q6K00538,True,200,36.2612,0.8823,2,
1,122,Q6K00196,True,200,12.2761,1.134,1,
1,123,Q6K00410,True,200,11.6515,0.848,2,
1,124,Q6K00466,True,200,11.6112,0.9453,3,
1,125,Q6K00478,True,200,25.8765,0.9123,3,
1,126,Q6K00223,True,200,11.3814,1.0305,1,
1,127,Q6K00182,True,200,35.5115,0.9694,2,
1,128,Q6K00408,True,200,30.7983,0.9247,2,
1,129,Q6K00276,True,200,47.931,0.9486,2,
1,130,Q6K00364,True,200,28.6742,0.8934,2,
1,131,Q6K00192,True,200,12.3901,0.955,2,
1,132,Q6K00202,True,200,13.7694,0.9934,2,
1,133,Q6K00295,True,200,37.3985,0.9972,3,
1,134,Q6K00526,True,200,12.17,0.826,1,
1,135,Q6K00418,True,200,11.7789,0.9298,2,
1,136,Q6K00467,True,200,37.0658,0.9611,3,
1,137,Q6K00249,True,200,32.5628,0.9553,2,
1,138,Q6K00331,True,200,11.7941,0.8952,2,
1,139,Q6K00513,True,200,12.2211,0.9207,3,
1,140,Q6K00278,True,200,37.2213,0.9253,3,
1,141,Q6K00326,True,200,29.6199,0.8922,4,
1,142,Q6K00477,True,200,11.4461,0.9199,3,
1,143,Q6K00386,True,200,34.6895,0.9253,3,
1,144,Q6K00305,True,200,13.1202,0.9983,3,
1,145,Q6K00231,True,200,12.1963,0.9636,3,
1,146,Q6K00277,True,200,11.6668,1.3296,2,
1,147,Q6K00531,True,200,25.0851,0.8467,1,
1,148,Q6K00353,True,200,32.7261,0.9513,3,
1,149,Q6K00286,True,200,31.0838,0.9756,3,
1,150,Q6K00306,True,200,31.1255,0.9206,4,
1,151,Q6K00525,True,200,31.688,0.8427,1,
1,152,Q6K00461,True,200,13.1243,0.9165,3,
1,153,Q6K00349,True,200,33.6291,1.1037,4,
1,154,Q6K00475,True,200,12.5343,1.033,4,
1,155,Q6K00195,True,200,12.7628,0.9648,1,
1,156,Q6K00262,True,200,41.2213,1.1631,3,
1,157,Q6K00319,True,200,27.4304,0.9461,4,
1,158,Q6K00469,True,200,29.0024,0.8805,2,
1,159,Q6K00350,True,200,32.9314,0.915,3,
1,160,Q6K00256,True,200,28.2943,1.0025,3,
1,161,Q6K00236,True,200,11.4562,0.9221,2,
1,162,Q6K00527,True,200,34.0562,1.0223,2,
1,163,Q6K00334,True,200,11.3254,0.9627,3,
1,164,Q6K00197,True,200,11.2642,1.1325,2,
1,165,Q6K00432,True,200,23.9454,0.908,3,
1,166,Q6K00414,True,200,11.2688,0.8524,2,
1,167,Q6K00421,True,200,35.067,0.8872,3,
1,168,Q6K00387,True,200,30.3322,0.9034,2,
1,169,Q6K00462,True,200,32.1079,0.9119,3,
1,170,Q6K00402,True,200,11.4293,0.9314,2,
