concurrency,request_index,query_id,success,client_latency_ms,search_ms,reconstruction_ms,server_total_ms,error
1,1,Q6K00364,True,29.5478,11.6951,0.9303,12.632,
1,2,Q6K00188,True,32.7328,12.153,1.0816,13.2431,
1,3,Q6K00283,True,29.1825,10.878,0.9966,11.9515,
1,4,Q6K00219,True,31.1439,11.9148,0.9286,12.8518,
1,5,Q6K00314,True,13.4549,10.5486,0.9711,11.5285,
1,6,Q6K00515,True,33.5071,11.1069,0.9343,12.0485,
1,7,Q6K00407,True,13.848,11.1243,0.9565,12.0878,
1,8,Q6K00395,True,14.1596,11.2508,1.0312,12.2893,
1,9,Q6K00277,True,13.9845,11.0744,1.105,12.1864,
1,10,Q6K00375,True,14.6349,11.361,1.2195,12.5926,
1,11,Q6K00233,True,14.4437,10.9812,1.1482,12.1435,
1,12,Q6K00496,True,14.3138,10.7689,0.979,11.7567,
1,13,Q6K00412,True,13.9099,10.9314,0.9873,11.9259,
1,14,Q6K00536,True,13.7211,10.5664,1.1905,11.7645,
1,15,Q6K00471,True,27.66,10.7194,0.9759,11.7022,
1,16,Q6K00399,True,13.9149,10.8842,1.0499,11.9427,
1,17,Q6K00233,True,13.4451,10.5765,0.9617,11.5461,
1,18,Q6K00417,True,34.6109,10.9344,0.9428,11.8844,
1,19,Q6K00357,True,30.5989,10.561,1.0136,11.5803,
1,20,Q6K00524,True,30.8864,10.7395,0.9464,11.6929,
1,21,Q6K00459,True,30.5306,10.7358,0.9933,11.7358,
1,22,Q6K00516,True,31.768,11.2828,0.9228,12.2127,
1,23,Q6K00506,True,13.7362,10.948,1.0065,11.9614,
1,24,Q6K00272,True,14.7557,10.766,1.1108,11.8845,
1,25,Q6K00249,True,13.6058,10.7461,1.1026,11.8558,
1,26,Q6K00482,True,35.0704,10.7152,0.9492,11.672,
1,27,Q6K00258,True,13.5969,10.6864,1.1023,11.7952,
1,28,Q6K00415,True,33.0071,11.471,0.9944,12.4717,
1,29,Q6K00399,True,29.4335,10.3901,0.9313,11.328,
1,30,Q6K00401,True,13.3997,10.8453,0.9985,11.8502,
1,31,Q6K00387,True,36.254,12.5272,0.9513,13.4849,
1,32,Q6K00447,True,13.4599,10.6799,0.9706,11.6577,
1,33,Q6K00526,True,13.6692,11.0269,0.8855,11.9201,
1,34,Q6K00431,True,33.237,11.1698,0.9769,12.1546,
1,35,Q6K00387,True,31.2949,11.3533,1.0987,12.4604,
1,36,Q6K00475,True,13.1385,9.6383,1.0593,10.7038,
1,37,Q6K00401,True,14.6158,11.5249,1.0478,12.5806,
1,38,Q6K00492,True,33.9291,11.4376,0.9746,12.4204,
1,39,Q6K00506,True,29.6173,11.1707,0.9936,12.1725,
1,40,Q6K00481,True,15.5575,11.8233,1.0262,12.8604,
1,41,Q6K00407,True,30.9978,10.9455,0.9551,11.9092,
1,42,Q6K00448,True,14.5579,11.6209,0.9915,12.6223,
1,43,Q6K00470,True,14.4436,11.3154,1.2756,12.611,
1,44,Q6K00494,True,33.3452,11.1112,0.9153,12.0331,
1,45,Q6K00358,True,14.2397,10.5194,0.9723,11.4977,
1,46,Q6K00402,True,31.2822,10.5089,0.9659,11.4812,
1,47,Q6K00295,True,13.3583,10.6647,1.064,11.7351,
1,48,Q6K00462,True,33.7085,10.6727,0.9743,11.6536,
1,49,Q6K00286,True,31.1036,10.7773,1.0184,11.8025,
1,50,Q6K00313,True,32.2045,26.9202,2.3108,29.2445,
1,51,Q6K00420,True,16.1921,12.9971,1.0119,14.017,
1,52,Q6K00499,True,31.9816,12.7892,1.1963,13.9941,
1,53,Q6K00318,True,17.9998,14.3985,1.3014,15.7101,
1,54,Q6K00520,True,17.3176,13.7554,1.1771,14.9429,
1,55,Q6K00207,True,16.7932,13.302,1.2585,14.5691,
1,56,Q6K00209,True,17.069,13.3616,1.1957,14.5675,
1,57,Q6K00473,True,49.1469,20.0985,2.7055,22.8196,
1,58,Q6K00400,True,24.1494,17.5467,2.347,19.9096,
1,59,Q6K00531,True,17.3741,13.2299,0.9773,14.2164,
1,60,Q6K00350,True,18.1967,14.162,1.7205,15.8948,
1,61,Q6K00254,True,15.74,11.4407,1.1161,12.5649,
1,62,Q6K00434,True,17.5015,12.0075,1.0637,13.0806,
1,63,Q6K00193,True,36.7496,12.1128,1.132,13.2539,
1,64,Q6K00540,True,14.8844,11.7066,0.976,12.6995,
1,65,Q6K00488,True,34.9139,12.8331,1.3249,14.1713,
1,66,Q6K00315,True,18.1508,13.4918,1.7677,15.2701,
1,67,Q6K00513,True,29.8976,15.1992,1.3158,16.529,
1,68,Q6K00458,True,38.782,19.6458,2.1394,21.8168,
1,69,Q6K00378,True,33.4531,26.6824,2.0155,28.7096,
1,70,Q6K00368,True,36.1173,14.4418,1.4268,15.8793,
1,71,Q6K00432,True,22.7156,17.1205,1.3534,18.4863,
1,72,Q6K00495,True,17.4449,13.567,1.2982,14.8763,
1,73,Q6K00378,True,32.5261,11.7951,1.1582,12.9614,
1,74,Q6K00310,True,15.8103,12.0029,1.2162,13.2282,
1,75,Q6K00202,True,17.6496,13.7878,1.518,15.318,
1,76,Q6K00229,True,20.0049,13.8579,1.6419,15.5276,
1,77,Q6K00351,True,45.944,17.0023,1.2293,18.2417,
1,78,Q6K00273,True,41.3774,13.5224,1.2852,14.8163,
1,79,Q6K00433,True,32.59,16.0967,1.3931,17.5081,
1,80,Q6K00271,True,23.4635,18.3414,2.2598,20.6207,
1,81,Q6K00531,True,23.3275,18.0914,1.3684,19.4725,
1,82,Q6K00421,True,29.9453,24.5993,1.3223,25.9328,
1,83,Q6K00487,True,28.6771,20.8755,3.5387,24.4434,
1,84,Q6K00528,True,23.5091,17.0759,2.1301,19.2177,
1,85,Q6K00248,True,23.9674,19.4268,1.3552,20.792,
1,86,Q6K00394,True,29.6107,24.8526,1.3146,26.1837,
1,87,Q6K00300,True,31.5362,13.3522,1.7562,15.1187,
1,88,Q6K00514,True,31.3448,14.2756,1.3944,15.6791,
1,89,Q6K00386,True,24.1991,19.9429,1.4329,21.3854,
1,90,Q6K00302,True,20.2613,16.5269,1.3313,17.8701,
1,91,Q6K00226,True,16.9409,12.7995,1.1887,13.9973,
1,92,Q6K00394,True,16.51,12.9065,1.2108,14.1275,
1,93,Q6K00330,True,29.7916,13.5631,1.4752,15.0473,
1,94,Q6K00500,True,52.8867,29.2283,3.4603,32.7426,
1,95,Q6K00474,True,55.8454,26.9547,2.5546,29.528,
1,96,Q6K00325,True,29.3686,23.2682,2.2583,25.5404,
1,97,Q6K00352,True,46.2254,23.9435,2.6947,26.6522,
1,98,Q6K00468,True,20.0304,15.5509,1.0983,16.658,
1,99,Q6K00529,True,38.3638,21.1731,1.9999,23.1878,
1,100,Q6K00501,True,39.7713,15.7424,1.2128,16.9656,
1,101,Q6K00531,True,18.2637,13.234,1.4731,14.7217,
1,102,Q6K00385,True,42.74,16.8921,1.2397,18.1436,
1,103,Q6K00522,True,26.8408,21.9451,2.153,24.1182,
1,104,Q6K00386,True,19.6416,16.0725,1.1584,17.2408,
1,105,Q6K00359,True,20.136,15.8361,1.2625,17.1102,
1,106,Q6K00424,True,21.3799,16.2127,1.2675,17.4896,
1,107,Q6K00451,True,33.9645,14.0962,1.2863,15.3906,
1,108,Q6K00285,True,17.5982,13.7808,1.1656,14.9563,
1,109,Q6K00498,True,43.8846,14.5944,2.0231,16.6306,
1,110,Q6K00353,True,21.9702,15.3663,2.7351,18.1138,
1,111,Q6K00337,True,21.1403,15.6794,1.5631,17.2552,
1,112,Q6K00496,True,30.3176,13.2779,1.1716,14.4589,
1,113,Q6K00404,True,30.3986,12.7742,1.4753,14.2629,
1,114,Q6K00380,True,16.5884,12.6109,1.5368,14.159,
1,115,Q6K00478,True,16.9964,12.9319,1.3031,14.2448,
1,116,Q6K00239,True,15.601,11.2694,1.2823,12.5595,
1,117,Q6K00319,True,39.4983,11.4791,1.069,12.5548,
1,118,Q6K00417,True,33.0762,12.2207,0.9492,13.1769,
1,119,Q6K00474,True,29.0247,11.251,0.9718,12.2293,
1,120,Q6K00509,True,31.1297,11.1859,0.9464,12.1413,
1,121,Q6K00386,True,13.1639,10.6671,0.9503,11.6232,
1,122,Q6K00532,True,13.5131,10.8423,1.058,11.9082,
1,123,Q6K00292,True,13.9056,10.9842,1.0108,12.0016,
1,124,Q6K00359,True,37.5985,11.032,0.9851,12.0244,
1,125,Q6K00330,True,13.7422,10.867,0.9729,11.8475,
1,126,Q6K00345,True,31.8483,11.1993,1.0048,12.2131,
1,127,Q6K00268,True,14.9887,11.8046,1.106,12.9187,
1,128,Q6K00212,True,14.6648,11.5461,1.1951,12.7509,
1,129,Q6K00315,True,14.601,11.4807,1.1001,12.5906,
1,130,Q6K00538,True,34.3725,11.2896,1.1388,12.4389,
1,131,Q6K00492,True,14.0884,10.676,1.3992,12.0839,
1,132,Q6K00530,True,32.9641,10.8532,1.3942,12.2568,
1,133,Q6K00434,True,32.1603,10.9762,1.0356,12.0193,
1,134,Q6K00511,True,29.7875,11.6232,1.1073,12.7387,
1,135,Q6K00349,True,14.7626,11.8532,1.1318,12.9924,
