concurrency,request_index,query_id,package_size_bytes,success,client_latency_ms,archive_manifest_ms,payload_read_ms,extraction_ms,search_ms,reconstruction_ms,server_total_ms,error
1,1,Q6K00227,70448,True,51.5978,0.3504,0.2724,35.1963,11.0067,1.088,48.001,
1,2,Q6K00341,95092,True,54.2635,0.3444,0.223,39.3017,11.0944,1.1178,52.2228,
1,3,Q6K00330,30747,True,62.9591,0.3414,0.2061,14.5635,28.4721,1.1164,44.8049,
1,4,Q6K00480,73191,True,50.0093,0.299,0.2913,34.8783,11.4626,1.0811,48.1252,
1,5,Q6K00290,34479,True,30.6949,0.3124,0.1883,16.5402,10.255,0.9986,28.3715,
1,6,Q6K00337,70539,True,55.5658,0.3387,0.2617,25.8949,13.4931,1.8897,41.9664,
1,7,Q6K00276,42802,True,45.848,0.3538,0.1867,14.2012,10.3658,1.1106,26.3011,
1,8,Q6K00240,8917,True,17.1977,0.321,0.1151,3.4184,10.4377,1.0226,15.3787,
1,9,Q6K00522,70737,True,46.7425,0.3661,0.2606,14.8347,11.0154,1.1033,27.6625,
1,10,Q6K00335,41277,True,35.4835,0.2995,0.2764,19.1872,11.5288,1.5751,32.9493,
1,11,Q6K00364,55702,True,48.3683,0.3464,0.2479,34.5174,10.2199,1.0245,46.4591,
1,12,Q6K00188,16057,True,30.6031,0.3325,0.1594,5.3406,10.959,1.1442,18.048,
1,13,Q6K00283,33784,True,34.5891,0.3452,0.2129,10.2006,10.5921,1.0373,22.4663,
1,14,Q6K00219,15692,True,19.6121,0.3013,0.1388,5.8395,10.1364,1.1066,17.5823,
1,15,Q6K00314,24077,True,42.5851,0.3442,0.1656,9.9379,9.9968,1.1015,21.6236,
1,16,Q6K00515,931170,True,72.0866,0.3544,0.7409,35.1683,10.3529,0.9224,47.6403,
1,17,Q6K00407,49299,True,45.5429,0.4266,0.2702,18.6333,10.6257,1.4643,31.5318,
1,18,Q6K00395,44758,True,43.5748,0.35,0.1751,16.8116,10.4416,1.1298,28.9797,
1,19,Q6K00277,119672,True,70.3602,0.3339,0.4242,54.8405,11.4389,1.1045,68.2808,
1,20,Q6K00375,32360,True,50.1465,0.537,0.2967,11.9421,10.3156,1.0785,24.2406,
1,21,Q6K00233,95838,True,50.1203,0.2925,0.2354,36.0,10.3926,0.996,48.0967,
1,22,Q6K00496,25061,True,41.3722,0.3161,0.203,9.9558,11.1519,1.023,22.738,
1,23,Q6K00412,96855,True,87.0763,0.4023,0.3049,49.5089,10.49,1.0729,61.8917,
1,24,Q6K00536,42791,True,22.4419,0.3032,0.1696,9.1789,9.8982,1.0319,20.6548,
1,25,Q6K00471,71531,True,39.6117,0.2723,0.2728,23.1437,12.1743,1.2152,37.1602,
1,26,Q6K00399,47120,True,36.1441,0.3285,0.2274,21.2003,11.0961,1.0459,33.9726,
1,27,Q6K00233,95838,True,78.1656,0.5057,0.2446,38.9208,10.5017,1.3901,51.8365,
1,28,Q6K00417,16209,True,20.8589,0.3149,0.1582,5.9572,11.2496,1.2752,19.06,
1,29,Q6K00357,29758,True,29.4181,0.298,0.1937,15.0833,10.6446,1.1408,27.4304,
1,30,Q6K00524,32862,True,21.8806,0.3066,0.171,8.5978,9.9662,1.1004,20.2081,
1,31,Q6K00459,23680,True,25.4615,0.266,0.1598,11.2001,10.8407,1.106,23.6846,
1,32,Q6K00516,222817,True,103.5224,0.2947,0.4389,88.8738,10.9449,0.948,101.6095,
1,33,Q6K00506,20727,True,22.092,0.3025,0.1513,5.3992,12.7632,1.3616,20.0381,
1,34,Q6K00272,101320,True,71.2981,0.3554,0.3318,35.9517,9.9784,1.324,48.045,
1,35,Q6K00249,24211,True,23.4439,0.3721,0.16,9.2833,10.3883,1.3328,21.604,
1,36,Q6K00482,18577,True,18.7433,0.2938,0.128,4.9522,10.6084,0.969,17.0164,
1,37,Q6K00258,40940,True,30.1953,0.305,0.2326,16.6671,10.123,1.0383,28.4449,
1,38,Q6K00415,64409,True,58.7226,0.3528,0.2502,25.1307,10.7861,1.0864,37.7027,
1,39,Q6K00399,47120,True,36.6786,0.3062,0.2712,22.1111,10.5222,1.2037,34.5172,
1,40,Q6K00401,55005,True,38.5218,0.5265,0.2154,7.753,10.5761,1.0461,20.1839,
1,41,Q6K00387,926534,True,50.0,0.3057,0.7042,33.5731,11.7496,1.0904,47.5005,
1,42,Q6K00447,31530,True,26.447,0.3491,0.25,11.8693,10.473,1.0902,24.1092,
1,43,Q6K00526,28779,True,26.7786,0.3144,0.3108,12.433,10.3121,1.0135,24.4544,
1,44,Q6K00431,52653,True,39.0349,0.2942,0.328,24.6284,10.5781,0.9795,36.8992,
1,45,Q6K00387,926534,True,48.942,0.2835,0.6347,34.2025,10.5279,1.1548,46.897,
1,46,Q6K00475,109572,True,58.3097,0.3445,0.2981,44.9764,9.3329,1.2866,56.3283,
1,47,Q6K00401,55005,True,20.6437,0.3091,0.1791,7.4895,9.9169,1.0544,19.0103,
1,48,Q6K00492,29507,True,23.105,0.2638,0.1997,9.7252,10.0455,0.9918,21.2928,
1,49,Q6K00506,20727,True,19.2328,0.2979,0.158,5.2757,10.3151,1.0823,17.1896,
1,50,Q6K00481,29491,True,34.0229,0.4346,0.1904,9.3639,10.3366,1.0879,21.4986,
1,51,Q6K00407,49299,True,32.4271,0.3914,0.2246,17.6953,10.815,1.0955,30.2998,
