query_id,package_path,package_size_bytes,package_sha256,component_count
Q6K00181,results\phase9e_packages\Q6K00181.zip,65985,b620fe643a9e5b193a0f0cdf06d07191e4a12b4d97ede1f3be25c92a77058484,7
Q6K00182,results\phase9e_packages\Q6K00182.zip,16082,f4e93289eb24d0314918a51d2403dfed292a3dc998c6a0cadeede2e6dd6589d7,7
Q6K00183,results\phase9e_packages\Q6K00183.zip,45073,e6a19dd18b75538ce7af6658001ecae278fe952cd21e9fbf33fca2d174769c07,7
Q6K00184,results\phase9e_packages\Q6K00184.zip,1941223,e047adea10e6fd405942741595acbc2b2e2b65dc0faca4a87f567d5ef290b31b,7
Q6K00185,results\phase9e_packages\Q6K00185.zip,54497,7ca97f025daf8508862175dd19bd30845179d2d842c2c7824ae6a3f1873c2a3f,7
Q6K00186,results\phase9e_packages\Q6K00186.zip,66499,d87ef5165ad31be7cfd69269c5e05f10d21a0143370ec8013f74d0ef5609d9f7,7
Q6K00187,results\phase9e_packages\Q6K00187.zip,87908,5c40118cb78f6acb2a05a76ff5c963d6ed03786e70d38b153ba62e1de938de34,7
Q6K00188,results\phase9e_packages\Q6K00188.zip,16057,82fe4e7a50273fa9ba77708785f687481e03bcb8a4227cb0fc4e9ac761cc20e1,7
Q6K00189,results\phase9e_packages\Q6K00189.zip,28845,917bb9d6461350a9d25d84e0819be627b2236b2137f401ab59ce8075fc850c35,7
Q6K00190,results\phase9e_packages\Q6K00190.zip,35342,50674e6bdf81fb35e8abc935dcbfb781242de024f88e399d4cca424e08336705,7
Q6K00191,results\phase9e_packages\Q6K00191.zip,75876,c291617a1cc061a44b2b4f7378445652ea263e5e6b04f93a2b2938998b53eccf,7
Q6K00192,results\phase9e_packages\Q6K00192.zip,52600,0809f8ae292a5fc6d90933ea9b09a969aa78c791809ec7f6ac92f252ebed711a,7
Q6K00193,results\phase9e_packages\Q6K00193.zip,40864,fc05993f65704628faef41c78f2e0820a34bbe80ad5e6939c12e386616d7222f,7
Q6K00194,results\phase9e_packages\Q6K00194.zip,84275,179d4c9eec4c75edb0943fcc4bb63ee8bae4f46edcbfba47cd139ee30f7699f7,7
Q6K00195,results\phase9e_packages\Q6K00195.zip,37127,cf55d950b6487e7cbe3a2d39433c2d2e955f9d0b02e592d8595c2311b5c7ecdf,7
Q6K00196,results\phase9e_packages\Q6K00196.zip,15373,502da7d0dded31124307a17c729fa7cfcdc1c3fffe01f947bea815c5be1333d5,7
Q6K00197,results\phase9e_packages\Q6K00197.zip,68988,5baa4de3c719d80b37621111bb7d4e92331b7c96a41c2f54b5183a44e167b030,7
Q6K00198,results\phase9e_packages\Q6K00198.zip,41933,7bb163b66194236f48ccba0e8fca337ceda3ce79e8a8f676505ddb3cb258adf7,7
Q6K00199,results\phase9e_packages\Q6K00199.zip,73892,1e14728887535ab1f6b8d78693d1548efa55ab6290b8cd256305acfe9fbbc04a,7
Q6K00200,results\phase9e_packages\Q6K00200.zip,30371,9e63284e8df1e092937bc89c8d12d4c44958b32c9e4431d0b692f85f5f56a875,7
Q6K00201,results\phase9e_packages\Q6K00201.zip,47146,c6fc7ede5c799e5cc8889510fe7655403ebdbb329cfe40dc243157f2d370efb2,7
Q6K00202,results\phase9e_packages\Q6K00202.zip,28249,5e03ae2162f2b88ee974a7df2fa816646624ad8a91904e5a37120db20cbcaf81,7
Q6K00203,results\phase9e_packages\Q6K00203.zip,30533,24192c2da938117efe38cf10713a83a3961cb9784e87c5369dc57c9be712bfca,7
Q6K00204,results\phase9e_packages\Q6K00204.zip,30004,524aeca5e1d56dd3ca59f224c7f72211736ea810ab22d9964f85494969d4a06c,7
Q6K00205,results\phase9e_packages\Q6K00205.zip,23655,48a7cecdf68fde30278387caa97b8f37882aafa23fa75c8d197d168de50b6ea0,7
Q6K00206,results\phase9e_packages\Q6K00206.zip,25679,12b17d8de58effa648b0ab513cd8bcccc3f13cf18f712f2fddee08dd535d3689,7
Q6K00207,results\phase9e_packages\Q6K00207.zip,37321,805a8503064eeef1810a5ce408cb9e0eb444361fa2f618b2eeecf71edfeab173,7
Q6K00208,results\phase9e_packages\Q6K00208.zip,35560,81ffb53017f5239b2aa3067e4e3b830bfb8b408c03f2fe1ddc4f82b6092be65a,7
Q6K00209,results\phase9e_packages\Q6K00209.zip,25901,185855cd74df5c0a45f8e0c42facf35c6e85e2ab84dfe4106e42c4d7bba91126,7
Q6K00210,results\phase9e_packages\Q6K00210.zip,45374,14f826ae2c45254820759a66e1049cd8b967c4bcf9751ad5fc555ba7ae9e4269,7
Q6K00211,results\phase9e_packages\Q6K00211.zip,64169,a58651ad267279a404dca0843440f61afe21cdeca7573231158683e2e8a98ac7,7
Q6K00212,results\phase9e_packages\Q6K00212.zip,20116,46f3a60d87067b69edaddec902e602d727bb68d0fe9f13872aad57ed7ed9ee8a,7
Q6K00213,results\phase9e_packages\Q6K00213.zip,35472,1e2162d5a9719a56744cdbc5633b7e73997c930a00aed4994ba22f81bb73b40e,7
Q6K00214,results\phase9e_packages\Q6K00214.zip,56806,c7397bbd6528eb0de6c675182cce47094876739999a0bf2a78f4b7f2180b28fd,7
Q6K00215,results\phase9e_packages\Q6K00215.zip,131765,898af02a57affb939801584532bb465b6c7added75e13ad3d7a2e23ed057dfaa,7
Q6K00216,results\phase9e_packages\Q6K00216.zip,29680,fa254215f0db03df4387dd6f660cd569abfe374d018702b42044643ac860ba62,7
Q6K00217,results\phase9e_packages\Q6K00217.zip,29993,3bdee82e45d7732781b3f61b6b5f1406e13256101756a1a2a14bd60653f3ee5e,7
Q6K00218,results\phase9e_packages\Q6K00218.zip,67683,c0059566f928f9d6be52f375ac97ee0e1bb9b99e69294d759642913080f2c321,7
Q6K00219,results\phase9e_packages\Q6K00219.zip,15692,f435fe427b232954a9b1840745f5a59480cccbcc264287c1218492845535fb62,7
Q6K00220,results\phase9e_packages\Q6K00220.zip,38683,7839edfcbf59dd62a2d099fb798ec39b12a8167b5a4fb09bd4cd82fc846dfb90,7
Q6K00221,results\phase9e_packages\Q6K00221.zip,31951,8cb6ebfb2f1d8d6ee06c316dc44f6c762894d37099e594bf2b2c50175e0444bf,7
Q6K00222,results\phase9e_packages\Q6K00222.zip,38211,8eff1afa0d21d2244d87d15513e7a0d49e032dc573023cf2e2eb24dc4ce70cc5,7
Q6K00223,results\phase9e_packages\Q6K00223.zip,30437,54f43990aa39f11d2ea2bf72f89041a70f65e9dd29fd1d02257a9465d9b947f3,7
Q6K00224,results\phase9e_packages\Q6K00224.zip,37313,e22760f51df862b49e27c5d7bcaf3cb44d518ebc78c0580d2197e8f7bc0cae9e,7
Q6K00225,results\phase9e_packages\Q6K00225.zip,23168,407fe8c82b423cc87e32222bee338044ab9cc946be74aba2bfcf7d297704dba1,7
Q6K00226,results\phase9e_packages\Q6K00226.zip,64913,a6a650a5b876b9ccbe51191ec7bf93f530caf29ea688e44f39f67f12e244f0b9,7
Q6K00227,results\phase9e_packages\Q6K00227.zip,70448,f952cba221565bee81cbd53409dcfa094bfc39ff1fb25d5e0571b09ac34dae66,7
Q6K00228,results\phase9e_packages\Q6K00228.zip,21296,07348ff6736488dc1ac0a610f0808bf952f907a51c6794eccdefe067ad8ea2fe,7
Q6K00229,results\phase9e_packages\Q6K00229.zip,90055,d35aea46d846552c0c48b36ff5dc7526d692cfacb0696146237f90a546cf0844,7
Q6K00230,results\phase9e_packages\Q6K00230.zip,104756,fc02a553db134342b29bf9ce352e7a66e101c35657f61046bdfaf38fb09467ab,7
Q6K00231,results\phase9e_packages\Q6K00231.zip,35777,cfbd335b722e76488cf03a796170c25cc217ba61f0b30045ea526d173e1571aa,7
Q6K00232,results\phase9e_packages\Q6K00232.zip,36421,3b4fc4ba4cb8d9a6eb8af6a1f5a25e5500fb8b371442c3dda5deb9938968aea1,7
Q6K00233,results\phase9e_packages\Q6K00233.zip,95838,a806ad0ea2e009376fe83049f986a08227bd1ddfc79a8b3e48cb5aed07ef141d,7
Q6K00234,results\phase9e_packages\Q6K00234.zip,16670,6c0158992f4d6d59b22b8e5adfcec185d91441df7c914c5e1772ce3a4b2141d6,7
Q6K00235,results\phase9e_packages\Q6K00235.zip,63577,59d7d369e95a25fdfb55dd6a302dc21b7085ebafc6039fc752e68ae7187673b1,7
Q6K00236,results\phase9e_packages\Q6K00236.zip,102539,936477f45bc2411a9db9e4503cd352568d299e00d8ec0ac21668c0b35a2d4cc5,7
Q6K00237,results\phase9e_packages\Q6K00237.zip,105395,0902ecdb113d9e7211f0942640af4bc70aec7d88fae6d701991ca0a0a4f5c97f,7
Q6K00238,results\phase9e_packages\Q6K00238.zip,35389,668d84b12eccf2bc00598a711315fd316f6ffb26bb629331efe6cfc1fe76ca8a,7
Q6K00239,results\phase9e_packages\Q6K00239.zip,90649,3d5500ef2ea13ad82113040c02f1e795ff486bde6f47ed91e9393c4a53e032fa,7
Q6K00240,results\phase9e_packages\Q6K00240.zip,8917,2f8d68f45fda06ec3edf6a87ca96757d41663363b169ca6304c0f7d2887a5f84,7
Q6K00241,results\phase9e_packages\Q6K00241.zip,36891,991935bd4097bb90daca0f32f58066331c18d23cdf08a6d637bcdf9810ba5cae,7
Q6K00242,results\phase9e_packages\Q6K00242.zip,20518,1f0bf2da08d568ebae2e88b222a589a5227e4711c7528b6c01943f2fa7d152fc,7
Q6K00243,results\phase9e_packages\Q6K00243.zip,74070,8937027440f66f0a3d48e52d9056bf0c68fa3a4bb6674b91e9ac47600b749aed,7
Q6K00244,results\phase9e_packages\Q6K00244.zip,24132,e2f4e98072b75b137afb8b8bc3dc33afe67c6693205cb17e2c1ef1fc7cdef273,7
Q6K00245,results\phase9e_packages\Q6K00245.zip,52119,af9e6ca33684079de5d2403abc884c51c21fd20e9348676695fd8cc2f3137d30,7
Q6K00246,results\phase9e_packages\Q6K00246.zip,40723,3f2c5a4c7edbd178ff4a0c52f97f9e53201c8602900b9014d0ea79b45c43d2c2,7
Q6K00247,results\phase9e_packages\Q6K00247.zip,34868,997d23397d82e19ab9a3633ac3992f632be992783d0bb0f67e47431b5a03d327,7
Q6K00248,results\phase9e_packages\Q6K00248.zip,19345,9229af94980f48f17948319e2772d527db2e2a0d973ded29091a22691bf0a546,7
Q6K00249,results\phase9e_packages\Q6K00249.zip,24211,82dd93d3c3875c780157dab9af0f39e880611fc4dd5d2e5ea3ac92fa24a46fd4,7
Q6K00250,results\phase9e_packages\Q6K00250.zip,65228,bce22a717686c4e3a963922166a5e5d3c430e255db87f42b25206a58e7d3accc,7
Q6K00251,results\phase9e_packages\Q6K00251.zip,89512,fb275f621f5e385cbe782c0ad1a08b5ca5788d2e35db93029ad12b6bcbe0cf73,7
Q6K00252,results\phase9e_packages\Q6K00252.zip,59777,b85222bff9400430da6e177a7a4a2031623aaa07f74b939cbb3454defc14ce68,7
Q6K00253,results\phase9e_packages\Q6K00253.zip,28093,7137d4f3405ad99aa99548f12d96b1eeb9beea4ac057b48f61ec413ef823310d,7
Q6K00254,results\phase9e_packages\Q6K00254.zip,49280,e0fccec4cc15bc320fa8f0a109bcd43f22c99ea533101eb9d078e4bf7b7834f8,7
Q6K00255,results\phase9e_packages\Q6K00255.zip,47338,f161b2ffae3e45f931757e3e3f26c7ef8bd9e930344df2951eae87285e2f3be1,7
Q6K00256,results\phase9e_packages\Q6K00256.zip,35388,5b1c90f4f44a916cc7ee78409a61a69887f7300d9fc07e4c3e696cd6da8fb20e,7
Q6K00257,results\phase9e_packages\Q6K00257.zip,64428,da44b3ab22e00bd12c95889f41fb0b7ff54be0625f72f7bf39741d14f411c629,7
Q6K00258,results\phase9e_packages\Q6K00258.zip,40940,5bdafae8d6a6591c5e4d3a2847392ccf8926aa073ae87903da933090bdc78e1a,7
Q6K00259,results\phase9e_packages\Q6K00259.zip,46752,4e72297e55c6c44b6e0c59d2e1cff5eed05938fcc704279527470e90d156aae6,7
Q6K00260,results\phase9e_packages\Q6K00260.zip,23467,700e06f83f13208cf06778d5cd15748e0399dd3899de688d1d495567038e415c,7
Q6K00261,results\phase9e_packages\Q6K00261.zip,36162,703bd16f0d893114036846267fc455313a91bc0f6aca1f77166b5052d7306dd6,7
Q6K00262,results\phase9e_packages\Q6K00262.zip,38865,1f6ba7b98cf3b0d9227dc21610c16f7cac11c00ec2bc76a54e92b8a8535d01e9,7
Q6K00263,results\phase9e_packages\Q6K00263.zip,56391,3add851f0dee217fa4d370c0b0f160d4858d4c488b3acdb7fb9581f2e51d5a75,7
Q6K00264,results\phase9e_packages\Q6K00264.zip,90754,6bea3336747ba2db2cf0ab6c17b5292a41d19866e98b95ae64c1116c94f8e8a6,7
Q6K00265,results\phase9e_packages\Q6K00265.zip,1921101,d46d6f6df6ba6a5a1e9dd5e9a273413275727535694e40c1643f593e45e1034e,7
Q6K00266,results\phase9e_packages\Q6K00266.zip,33734,8e7deca3abf1f523693832a05d4632aecf6d423d4f9ab949d7cea8a790b0b51a,7
Q6K00267,results\phase9e_packages\Q6K00267.zip,31881,1400281122ad6b2ca6b1838c7aaab0ade59afa47cae9f921a2e3792c79eebc36,7
Q6K00268,results\phase9e_packages\Q6K00268.zip,51425,edacf45b558c7347f6c35b1704df9856ff49cd21f4d7f862d88c5227732c8294,7
Q6K00269,results\phase9e_packages\Q6K00269.zip,57850,53c260309a1438b03214603c870d5eb2b115949c3961ecedf0e76f935be4d7c7,7
