gallery_scale_projects,concurrency,request_index,query_id,success,client_latency_ms,gallery_components,search_ms,reconstruction_ms,server_total_ms,error
20,1,1,Q6K00432,True,20.2267,16282,4.6508,0.8397,5.4998,
20,1,2,Q6K00495,True,11.4032,16282,7.7862,0.8853,8.6808,
20,1,3,Q6K00378,True,10.2694,16282,6.3125,1.1808,7.5076,
20,1,4,Q6K00310,True,12.7995,16282,7.5807,1.4559,9.0556,
20,1,5,Q6K00202,True,34.1949,16282,8.9101,1.3987,10.3258,
20,1,6,Q6K00229,True,34.1529,16282,4.8595,0.657,5.5259,
20,1,7,Q6K00351,True,10.6152,16282,4.8581,0.7486,5.6153,
20,1,8,Q6K00273,True,27.4306,16282,5.5281,0.8096,6.3589,
20,1,9,Q6K00433,True,9.6141,16282,5.0934,1.3119,6.4308,
20,1,10,Q6K00271,True,8.9591,16282,5.2691,0.6897,5.9681,
20,1,11,Q6K00531,True,8.843,16282,5.0528,0.8068,5.8688,
20,1,12,Q6K00421,True,32.9868,16282,4.6233,1.1064,5.7446,
20,1,13,Q6K00487,True,6.9281,16282,4.3029,0.6219,4.9324,
20,1,14,Q6K00528,True,6.3345,16282,4.1434,0.6445,4.7954,
20,1,15,Q6K00248,True,6.739,16282,4.413,0.6902,5.109,
20,1,16,Q6K00394,True,24.4889,16282,4.1725,0.6156,4.7952,
20,1,17,Q6K00300,True,31.0085,16282,4.5149,0.6053,5.1273,
20,1,18,Q6K00514,True,30.296,16282,4.4066,0.7186,5.1329,
20,1,19,Q6K00386,True,32.0737,16282,5.1573,0.6449,5.8103,
20,1,20,Q6K00302,True,31.4782,16282,5.1712,0.7438,5.923,
20,1,21,Q6K00226,True,6.2003,16282,4.0763,0.5856,4.6679,
20,1,22,Q6K00394,True,6.1834,16282,4.1419,0.5738,4.7215,
20,1,23,Q6K00330,True,5.8832,16282,3.9364,0.6586,4.6001,
20,1,24,Q6K00500,True,5.9231,16282,3.8735,0.7622,4.6409,
20,1,25,Q6K00474,True,20.0435,16282,4.5455,0.6311,5.1843,
20,1,26,Q6K00325,True,5.9558,16282,3.9061,0.6186,4.5314,
20,1,27,Q6K00352,True,6.0238,16282,4.076,0.6066,4.6887,
20,1,28,Q6K00468,True,19.1133,16282,4.264,0.7847,5.0582,
20,1,29,Q6K00529,True,6.2588,16282,4.0962,0.5855,4.6883,
20,1,30,Q6K00501,True,24.2294,16282,4.739,0.6279,5.3751,
20,1,31,Q6K00531,True,6.4968,16282,4.1837,0.5756,4.7659,
20,1,32,Q6K00385,True,5.8301,16282,3.968,0.5721,4.546,
20,1,33,Q6K00522,True,6.2906,16282,4.336,0.6653,5.0085,
20,1,34,Q6K00386,True,27.7167,16282,4.1317,0.6425,4.7817,
20,1,35,Q6K00359,True,7.0905,16282,4.3171,0.6439,4.9673,
20,1,36,Q6K00424,True,26.8659,16282,6.3454,0.7242,7.078,
20,1,37,Q6K00451,True,29.2433,16282,25.6322,0.9902,26.6332,
20,1,38,Q6K00285,True,33.5395,16282,7.0879,0.8908,7.9897,
20,1,39,Q6K00498,True,9.8521,16282,5.8756,0.9703,6.862,
20,1,40,Q6K00353,True,9.7794,16282,6.027,0.8671,6.9047,
20,1,41,Q6K00337,True,11.4552,16282,6.5228,1.2774,7.8219,
20,1,42,Q6K00496,True,13.1948,16282,7.3188,1.1614,8.503,
20,1,43,Q6K00404,True,34.0406,16282,6.1995,1.0487,7.2626,
20,1,44,Q6K00380,True,9.5405,16282,6.0809,0.9441,7.0359,
20,1,45,Q6K00478,True,10.7346,16282,6.0421,0.7309,6.792,
20,1,46,Q6K00239,True,9.667,16282,5.3719,0.7709,6.1521,
20,1,47,Q6K00319,True,28.4274,16282,5.0267,0.8432,5.8801,
