gallery_scale_projects,gallery_components,concurrency,requests,success_count,failure_count,success_rate,wall_seconds,throughput_requests_per_second,client_p50_ms,client_p95_ms,search_mean_ms,search_p50_ms,search_p95_ms,search_p99_ms,reconstruction_p50_ms,reconstruction_p95_ms,server_total_mean_ms,server_total_p50_ms,server_total_p95_ms,server_total_p99_ms,rss_before_bytes,rss_after_bytes,rss_delta_bytes
20,16282,1,200,200,0,1.0,3.2658035999993444,61.24066983086189,9.577300000000001,33.392085,4.9524055,4.3530999999999995,7.481775,8.681112999999998,0.68035,1.0495999999999996,5.681637499999999,5.0545,8.511889999999998,9.431730999999992,151388160,150863872,-524288
20,16282,4,200,200,0,1.0,0.9577788999995391,208.81646066758856,16.932949999999998,35.061174999999984,11.8191235,11.7,15.54856,30.82282899999999,0.66315,0.7880499999999997,12.496488499999998,12.334150000000001,16.154594999999997,31.504721999999994,150863872,153165824,2301952
40,21694,1,200,200,0,1.0,4.0552153999997245,49.31920509081061,16.00295,34.585224999999994,8.112304,7.89255,9.741159999999999,10.592308999999998,0.8466,0.97024,8.971078,8.7847,10.636455,11.373061999999997,153165824,153890816,724992
40,21694,4,200,200,0,1.0,1.1782897000011872,169.73754417084228,21.4052,41.25884999999996,15.521010500000003,15.208200000000001,19.23137,32.587913999999984,0.83775,1.0192400000000001,16.3891485,16.0438,20.10082,33.473472999999984,153890816,158380032,4489216
60,26329,1,200,200,0,1.0,4.432789200000116,45.11831963495913,14.420950000000001,36.33113,11.081605,10.878,12.256759999999998,13.431574999999974,1.0233500000000002,1.162805,12.2132845,11.9405,13.373219999999998,17.577484999999907,158380032,153882624,-4497408
60,26329,4,200,200,0,1.0,1.4924877000012202,134.00445444196055,24.933500000000002,46.912389999999995,19.154805500000002,19.0021,23.698189999999997,38.30580099999999,1.02055,1.18407,20.198727,20.0741,24.660594999999997,39.38483499999998,153882624,155340800,1458176
80,41903,1,200,200,0,1.0,6.6039638000002014,30.284841961125515,24.0287,47.930465,19.9771745,19.7437,21.137365,23.120861999999953,1.1999499999999999,1.3679599999999998,21.211039,20.9606,22.326009999999997,25.05919799999996,155340800,155443200,102400
80,41903,4,200,200,0,1.0,2.44540440000128,81.78606368741927,44.095299999999995,73.184205,37.4249035,33.605850000000004,60.06966499999997,81.58728099999998,1.3167,2.383969999999999,38.884619,34.870149999999995,63.135815,83.28505999999997,155443200,155197440,-245760
100,48376,1,200,200,0,1.0,7.072599999999511,28.278143822641436,35.73125,48.57182,21.745026,21.456850000000003,23.842584999999996,25.256778999999987,1.4228999999999998,1.6965649999999997,23.206637,22.8682,25.324914999999994,27.794425999999998,155258880,158101504,2842624
100,48376,4,200,200,0,1.0,2.269688000000315,88.11783822268623,39.897999999999996,63.46235499999999,34.731154,33.8404,49.127969999999976,58.74960899999999,1.4129,1.6805799999999997,36.176365499999996,35.24795,50.44607499999997,60.302870999999996,158101504,160342016,2240512
