mod_id,title,role,historical_version_id,historical_version,date_published,component_count,unchanged_same_path,unchanged_moved_path,changed_or_removed,exact_correct_parent,exact_no_match,exact_ambiguous,exact_wrong_parent,exact_parent_recall
MOD0001,Fabric API,BACKGROUND_LIBRARY,vmQp7ixA,0.157.0+26.2,2026-08-10T12:56:05.057944Z,2,1,0,1,1,1,0,0,0.5
MOD0001,Fabric API,BACKGROUND_LIBRARY,Pp6ugxbI,0.156.3+26.3,2026-08-05T17:31:06.730137Z,2,1,0,1,1,1,0,0,0.5
MOD0001,Fabric API,BACKGROUND_LIBRARY,zdqH5grm,0.156.2+26.3,2026-08-04T15:21:05.435743Z,2,1,0,1,1,1,0,0,0.5
MOD0002,Mod Menu,TARGET_MOD,njXb639R,20.0.1,2026-07-09T21:54:21.377948Z,171,165,0,6,165,6,0,0,0.9649122807017544
MOD0002,Mod Menu,TARGET_MOD,j2vTurvl,17.0.1-beta.1,2026-07-09T02:48:13.704315Z,165,46,0,119,46,119,0,0,0.2787878787878788
MOD0002,Mod Menu,TARGET_MOD,3rsoV1bk,18.0.0,2026-07-09T01:33:58.960387Z,166,91,0,75,91,75,0,0,0.5481927710843374
MOD0003,Fabric Language Kotlin,BACKGROUND_LIBRARY,Pd0xrHCw,1.13.12+kotlin.2.4.0,2026-06-03T10:40:44.954667Z,5,4,0,1,4,1,0,0,0.8
MOD0003,Fabric Language Kotlin,BACKGROUND_LIBRARY,2i87JpYj,1.13.11+kotlin.2.3.21,2026-04-24T07:48:19.118369Z,5,1,0,4,1,4,0,0,0.2
MOD0003,Fabric Language Kotlin,BACKGROUND_LIBRARY,21TRTKmh,1.13.10+kotlin.2.3.20,2026-03-26T08:54:12.652592Z,5,1,0,4,1,4,0,0,0.2
MOD0004,Reese's Sodium Options,TARGET_MOD,laVM31w1,mc26.1.2-2.2.3+fabric,2026-07-11T07:28:06.342389Z,122,116,0,6,116,6,0,0,0.9508196721311475
MOD0004,Reese's Sodium Options,TARGET_MOD,P0MH4cn0,mc1.21.11-2.2.3+fabric,2026-07-11T07:25:52.672937Z,122,21,0,101,21,101,0,0,0.1721311475409836
MOD0004,Reese's Sodium Options,TARGET_MOD,jDOK2MQs,mc1.21.1-2.2.3+fabric,2026-07-11T07:24:26.399009Z,122,21,0,101,21,101,0,0,0.1721311475409836
MOD0005,Just Enough Items (JEI),BACKGROUND_LIBRARY,DPLgZYg3,11.39.0.1067,2026-08-11T09:31:37.171572Z,1054,6,36,1012,42,1012,0,0,0.03984819734345351
MOD0005,Just Enough Items (JEI),BACKGROUND_LIBRARY,HMZVMjWH,15.49.0.188,2026-08-11T09:28:17.882861Z,1090,54,1,1035,55,1035,0,0,0.05045871559633028
MOD0005,Just Enough Items (JEI),BACKGROUND_LIBRARY,HWSzfi9w,19.44.0.401,2026-08-11T09:24:47.326591Z,1130,42,36,1052,78,1052,0,0,0.06902654867256637
MOD0006,Geckolib,BACKGROUND_LIBRARY,L6bn4TS8,5.5.3,2026-06-27T05:00:06.183400Z,425,0,0,425,0,425,0,0,0.0
MOD0006,Geckolib,BACKGROUND_LIBRARY,XZTmZlwb,5.5.2,2026-06-27T03:08:02.328389Z,424,0,0,424,0,424,0,0,0.0
MOD0006,Geckolib,BACKGROUND_LIBRARY,sLlRgyS8,4.9.1,2026-06-23T22:48:07.914570Z,284,282,0,2,282,2,0,0,0.9929577464788732
MOD0007,Dynamic FPS,TARGET_MOD,tDptM9tq,3.11.8,2026-06-16T15:13:37.344863Z,8,7,0,1,7,1,0,0,0.875
MOD0007,Dynamic FPS,TARGET_MOD,wMNsaKHd,3.11.8,2026-06-16T13:49:42.861010Z,135,1,0,134,1,134,0,0,0.007407407407407408
MOD0007,Dynamic FPS,TARGET_MOD,HV67Kt1R,3.11.7,2026-05-28T10:43:36.178541Z,8,7,0,1,7,1,0,0,0.875
MOD0008,Mouse Tweaks,TARGET_MOD,EBIKCzuP,26.1-2.31-fabric,2026-03-29T13:39:14.830868Z,28,26,0,2,26,2,0,0,0.9285714285714286
MOD0008,Mouse Tweaks,TARGET_MOD,i1duwnJl,1.21.11-2.30-fabric,2025-12-12T07:53:41.251879Z,28,2,0,26,2,26,0,0,0.07142857142857142
MOD0008,Mouse Tweaks,TARGET_MOD,ULOi34Uh,1.21.9-2.29-fabric,2025-10-05T20:04:35.334114Z,29,2,0,27,2,27,0,0,0.06896551724137931
MOD0009,Chat Heads,TARGET_MOD,uQ4oSnyu,1.2.8,2026-08-09T15:46:04.657750Z,67,16,0,51,16,51,0,0,0.23880597014925373
MOD0009,Chat Heads,TARGET_MOD,wbQl9Dig,1.2.8,2026-08-09T15:45:44.295728Z,66,16,0,50,16,50,0,0,0.24242424242424243
MOD0009,Chat Heads,TARGET_MOD,6HkzfAoc,0.15.6,2026-08-09T15:45:23.220633Z,56,9,0,47,9,47,0,0,0.16071428571428573
MOD0010,oωo (owo-lib),BACKGROUND_LIBRARY,m3XmDd8j,0.13.0-alpha.15+1.21,2026-04-29T10:41:06.572479Z,1090,63,0,1027,63,1027,0,0,0.05779816513761468
MOD0010,oωo (owo-lib),BACKGROUND_LIBRARY,QmA84JcU,0.13.0+26.1,2026-03-24T21:31:00.612873Z,1128,1070,0,58,1070,58,0,0,0.9485815602836879
