mod_id,title,role,json_identifiers,json_unresolved,indexed_resource_identifiers,class_identifiers,class_unresolved,class_external_minecraft,json_internal_resolvable,json_external_minecraft
MOD0001,Fabric API,BACKGROUND_LIBRARY,4.0,4.0,0,,,,,
MOD0002,Mod Menu,TARGET_MOD,4.0,4.0,162,23.0,23.0,,,
MOD0003,Fabric Language Kotlin,BACKGROUND_LIBRARY,4.0,4.0,0,13.0,13.0,,,
MOD0004,Reese's Sodium Options,TARGET_MOD,10.0,10.0,40,12.0,12.0,,,
MOD0005,Just Enough Items (JEI),BACKGROUND_LIBRARY,20.0,20.0,186,721.0,721.0,,,
MOD0006,Geckolib,BACKGROUND_LIBRARY,3.0,3.0,0,99.0,99.0,1.0,,
MOD0007,Dynamic FPS,TARGET_MOD,3.0,3.0,2,,,,,
MOD0008,Mouse Tweaks,TARGET_MOD,3.0,3.0,0,,,,,
MOD0009,Chat Heads,TARGET_MOD,1.0,1.0,30,3.0,3.0,,,
MOD0010,oωo (owo-lib),BACKGROUND_LIBRARY,21.0,21.0,134,313.0,313.0,,,
MOD0011,Indium,TARGET_MOD,3.0,3.0,0,1.0,1.0,,,
MOD0012,BadOptimizations,TARGET_MOD,5.0,5.0,0,9.0,9.0,,,
MOD0013,Language Reload,TARGET_MOD,31.0,31.0,54,2.0,2.0,,,
MOD0014,Searchables,BACKGROUND_LIBRARY,3.0,3.0,54,35.0,35.0,,,
MOD0015,Controlling,TARGET_MOD,3.0,3.0,48,4.0,4.0,,,
MOD0016,Clumps,TARGET_MOD,3.0,3.0,0,3.0,3.0,,,
MOD0017,Shulker Box Tooltip,TARGET_MOD,4.0,4.0,36,103.0,103.0,,,
MOD0018,Concurrent Chunk Management Engine (Fabric),TARGET_MOD,4.0,4.0,0,,,,,
MOD0019,Resourceful Lib,BACKGROUND_LIBRARY,3.0,3.0,0,194.0,194.0,,,
MOD0020,BetterF3,TARGET_MOD,10.0,10.0,218,124.0,124.0,1.0,,
MOD0021,Visuality,TARGET_MOD,51.0,45.0,140,17.0,17.0,17.0,6.0,
MOD0022,EMI,BACKGROUND_LIBRARY,706.0,677.0,144,158.0,158.0,14.0,29.0,568.0
MOD0023,Packet Fixer,TARGET_MOD,3.0,3.0,0,3.0,3.0,,,
MOD0024,MidnightLib,BACKGROUND_LIBRARY,6.0,6.0,30,2.0,2.0,,,
MOD0025,Falling Leaves,TARGET_MOD,36.0,35.0,48,29.0,29.0,2.0,1.0,24.0
MOD0026,Cubes Without Borders,TARGET_MOD,52.0,52.0,24,13.0,13.0,3.0,,
MOD0027,playerAnimator,BACKGROUND_LIBRARY,7.0,7.0,2,18.0,18.0,,,
MOD0028,Euphoria Patches,TARGET_MOD,,,0,1795.0,1795.0,7.0,,
MOD0029,Roughly Enough Items (REI),TARGET_MOD,28.0,28.0,184,466.0,466.0,,,
MOD0030,Puzzle,BACKGROUND_LIBRARY,3.0,3.0,28,1.0,1.0,,,
